date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-02-09,-0.0004612,0.0008404,0.0012704,0.0,0.0006152,0.0,0.0007042,0.0,0.0,0.0,-0.0005358,-6.36e-05
2000-02-10,0.0005478,0.0025,0.003381,0.0,0.003732,-0.0034786,0.000353,-0.0014126,0.0063256,0.003713,0.0012628,-3.18e-05
2000-02-11,-0.0004046,-0.0029198,-0.0027002,0.0,-0.0033414,0.0062454,-0.000353,0.0029318,-0.003201,0.0009176,-0.0004744,-0.0001272
2000-02-14,0.0008988,0.0004198,-9.56e-05,0.0,0.0004252,0.0020502,0.009758,-0.0032076,-0.0016518,0.0059664,0.001618,-0.0002856
2000-02-15,8.72e-05,0.0,0.001429,0.0,-0.0017268,0.0157328,0.0037384,0.0041754,-0.004451,-0.0004274,-0.0005408,7.94e-05
2000-02-16,-0.0003192,0.0004188,-0.000285,0.0,0.0003512,0.0138568,0.0073014,0.0043924,0.0005862,0.001916,-0.0009824,-3.18e-05
2000-02-17,-0.0003188,-0.0008386,0.000285,0.0,0.0017652,-0.0004582,-0.0042596,-0.0045856,-0.000782,-0.0048608,-0.0001896,0.0001904
2000-02-18,0.0002894,-0.0006312,0.0022652,0.0,0.006048,-0.0012368,0.001925,-0.008771,0.0022724,-0.0011612,0.0013308,-0.0001746
2000-02-22,-0.001888,-0.0010566,-0.0002818,0.0,-0.0018554,0.0310794,-0.0026898,0.0024486,0.000258,0.0025312,0.0011798,-0.000507
2000-02-23,-0.0002042,0.0042828,-0.0059136,0.0,-0.000181,-0.0254612,0.0,-0.0102314,-0.0035122,0.0013608,0.0012512,0.0003802
2000-02-24,-0.0009888,0.0015094,0.00231,0.0,0.0011974,-0.0055748,0.0015326,-0.0069642,-0.0009866,0.0017058,0.0016156,-0.000491
2000-02-25,-0.0007528,0.0028124,0.0033776,0.0,0.0023062,-0.0021458,0.0085594,-0.007938,-0.0043328,0.0024618,6.48e-05,-0.0002688
2000-02-28,0.0001446,0.0006546,0.0002918,0.0,-0.001065,0.009441,0.005005,0.0057962,-0.0002022,-0.0011216,0.0006826,0.000332
2000-02-29,8.68e-05,-0.003037,-0.002415,0.0,-0.0033772,-0.0024686,-0.0042432,0.0028796,6.74e-05,0.0027924,-0.0017184,-9.5e-05
2000-03-01,-0.000318,0.000863,0.0022206,0.0,-0.0020422,-0.007891,-0.002277,-0.0010858,-0.0005402,0.0078842,0.0046708,6.34e-05
2000-03-02,0.001159,-0.0006476,-0.0013546,0.0,0.0,-0.0072582,0.0030418,-0.0056092,-0.0025174,0.000466,-0.000989,4.74e-05
2000-03-03,-0.0004354,-0.0017168,-0.0013456,0.0,-0.003813,-0.00276,-0.0022858,0.0048674,0.0004104,-0.0003994,-0.0004598,0.0
2000-03-06,-8.7e-05,-0.0027586,-0.0016218,0.0,0.002074,0.0,0.0022858,-0.000175,-0.000616,0.0035656,0.0022766,0.0
2000-03-07,0.000203,0.0031864,0.0023896,0.0,0.0064272,0.0047824,0.001925,0.002565,0.0029932,0.0116316,-0.0004972,0.0
2000-03-08,0.0004066,-0.0008548,-0.0018186,0.0,0.001997,0.0120388,-0.001925,-0.0005624,-0.0021724,-0.0188954,-0.0019764,0.0
2000-03-09,0.0001744,-0.0010632,-0.0002856,0.0,-0.0055578,-0.0048524,-0.0003828,0.0003462,0.0016316,0.003298,-0.001827,0.0
2000-03-10,8.72e-05,0.0006372,0.0025856,0.0,0.0007392,0.0037874,-0.0030362,0.000949,-0.0017682,-0.0008026,0.00013,0.0
2000-03-13,0.000436,-0.0035848,0.0048562,0.0,0.00227,-0.0043766,-0.0041008,0.0026082,0.001022,0.0010696,-0.0003568,0.0
2000-03-14,0.000437,0.0057676,0.0030806,0.0,0.0031206,0.0014696,0.0041008,-0.0003396,-0.0012954,-0.0018754,3.24e-05,0.0
2000-03-15,0.0004088,-0.0014264,-0.0014876,0.0,-0.0048024,0.0026182,-0.0007518,-8.48e-05,6.84e-05,-0.004698,0.0008762,0.0
2000-03-16,0.0009668,-0.0006144,0.0002798,0.0,-0.0090056,0.0040058,-0.0022388,0.0012256,0.001856,0.001715,0.0004558,0.0
2000-03-17,-0.0004108,0.004262,0.0041504,0.0,-0.001396,-0.0008516,0.0022388,-0.0008828,0.001386,-0.001218,0.0017994,0.0
