date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,0.6585,0.6621,0.6582,0.6621,6902.0,25344.0,0.0056,0.005756,0.005751
2000-01-04,2000H,2000M,0.6582,0.6593,0.6557,0.6561,6033.0,25677.0,0.0056,-0.009103,-0.009096
2000-01-05,2000H,2000M,0.6584,0.6603,0.6556,0.6584,2501.0,27141.0,0.0058,0.0034990000000000004,0.0034969999999999997
2000-01-06,2000H,2000M,0.657,0.6572,0.6541,0.6557,2221.0,27670.0,0.0056,-0.004109000000000001,-0.004106
2000-01-07,2000H,2000M,0.6539,0.6562,0.6535,0.6561,971.0,27382.0,0.0054,0.00061,0.000609
2000-01-10,2000H,2000M,0.6568,0.6578,0.6562,0.657,2007.0,29075.0,0.0051,0.001371,0.00137
2000-01-11,2000H,2000M,0.6555,0.6595,0.655,0.6588,2093.0,30268.0,0.0053,0.002736,0.002734
2000-01-12,2000H,2000M,0.6596,0.66,0.6575,0.6588,1008.0,30682.0,0.0051,0.0,0.0
2000-01-13,2000H,2000M,0.6655,0.6693,0.6648,0.6689,11423.0,39894.0,0.0065,0.015215000000000001,0.015203
2000-01-14,2000H,2000M,0.6675,0.6679999999999999,0.6663,0.6673,2012.0,39831.0,0.006,-0.002395,-0.002393
2000-01-18,2000H,2000M,0.664,0.6662,0.6629999999999999,0.6656,1213.0,40477.0,0.0058,-0.0025510000000000003,-0.002549
2000-01-19,2000H,2000M,0.6647,0.6651,0.6629999999999999,0.6639,759.0,40443.0,0.0054,-0.0025570000000000002,-0.002555
2000-01-20,2000H,2000M,0.665,0.6683,0.665,0.6661,1539.0,41102.0,0.0056,0.0033079999999999997,0.0033060000000000003
2000-01-21,2000H,2000M,0.6639,0.6656,0.6622,0.6638,1656.0,40486.0,0.0055,-0.0034590000000000003,-0.0034560000000000003
2000-01-24,2000H,2000M,0.6557,0.6573,0.6525,0.6542,5366.0,38935.0,0.0058,-0.014568000000000001,-0.014556999999999999
2000-01-25,2000H,2000M,0.6563,0.6568,0.6545,0.6553,1645.0,38331.0,0.0055,0.00168,0.001679
2000-01-26,2000H,2000M,0.6558,0.6559999999999999,0.6505,0.6519,3648.0,36983.0,0.0059,-0.005202,-0.0051979999999999995
2000-01-27,2000H,2000M,0.6523,0.6562,0.6521,0.6547,1550.0,36872.0,0.006,0.004286,0.0042829999999999995
2000-01-28,2000H,2000M,0.6488,0.6496,0.6225,0.6316,22104.0,33583.0,0.0108,-0.035920999999999995,-0.035893
2000-01-31,2000H,2000M,0.634,0.6385,0.6338,0.6352,10845.0,32159.0,0.0109,0.005684000000000001,0.005679
2000-02-01,2000H,2000M,0.6358,0.6374,0.63,0.6317,6207.0,33232.0,0.011000000000000001,-0.005525,-0.005363000000000001
2000-02-02,2000H,2000M,0.6365,0.6392,0.6348,0.6381,3849.0,32433.0,0.0112,0.01008,0.010071
2000-02-03,2000H,2000M,0.6333,0.6405,0.6333,0.6368,1981.0,32316.0,0.0113,-0.002039,-0.002037
