date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2006-07-19,,,,,,,,,,,
2006-07-20,,,,,,,,,,,
2006-07-21,,,,,,,,,,,
2006-07-24,,,,,,,,,,,
2006-07-25,,,,,,,,,,,
2006-07-26,,,,,,,,,,,
2006-07-27,,,,,,,,,,,
2006-07-28,,,,,,,,,,,
2006-07-31,,,,,,,,,,,
2006-08-01,2006Q,,68.6,68.8,68.6,68.8,15.0,15.0,0.0086,-0.002903,0.0
2006-08-02,2006Q,,68.6,68.6,68.6,68.6,0.0,15.0,0.0074,-0.002911,0.0
2006-08-03,2006Q,,68.45,68.45,68.45,68.45,0.0,15.0,0.0063,-0.002189,0.0
2006-08-04,2006Q,,68.75,68.75,68.75,68.75,0.0,15.0,0.006,0.004372999999999999,0.0
2006-08-07,2006Q,,70.3,70.3,70.3,70.3,0.0,15.0,0.0082,0.022295,0.0
2006-08-08,2006Q,,70.8,70.8,70.8,70.8,0.0,15.0,0.008,0.007087,0.0
2006-08-09,2006Q,,70.2,70.2,70.2,70.2,0.0,15.0,0.0069,-0.008511,0.0
2006-08-10,2006Q,,70.5,70.5,70.5,70.5,0.0,15.0,0.0065,0.004264,0.0
2006-08-11,2006Q,,70.9,70.9,70.9,71.5,5.0,20.0,0.0064,0.014085,0.0
2006-08-14,2006Q,,71.5,71.5,71.5,71.5,0.0,20.0,0.0055,0.0,0.0
2006-08-15,2006Q,,71.15,71.15,71.15,71.15,0.0,20.0,0.0048,-0.004907,0.0
2006-08-16,2006Q,2007F,71.0,71.0,71.0,71.0,0.0,20.0,0.0041,-0.0021100000000000003,-0.014034999999999999
2006-08-17,2006Q,2007F,70.25,70.25,70.25,70.25,0.0,20.0,0.0036,-0.010620000000000001,-0.013519
2006-08-18,2006Q,2007F,70.0,70.0,70.0,70.0,0.0,20.0,0.0031,-0.003565,-0.004307
2006-08-21,2006Q,2007F,70.0,70.0,70.0,70.0,0.0,20.0,0.0027,0.0,0.007168000000000001
2006-08-23,2006Q,2007F,70.5,70.5,70.5,70.5,0.0,20.0,0.0033,0.007117,0.003565
2006-08-24,2006Q,2007F,70.5,70.5,70.5,70.5,0.0,20.0,0.0029,0.0,0.017637
2006-08-25,,,,,,,,,,,
2006-08-28,2007F,,71.75,71.75,71.75,71.75,0.0,15.0,0.0043,0.0,0.0
2006-08-29,2007F,,70.35,70.35,70.35,70.35,0.0,15.0,0.0037,-0.019705,0.0
2006-08-30,2007F,,69.65,69.65,69.65,69.65,0.0,15.0,0.0032,-0.01,0.0
2006-08-31,,,,,,,,,,,
2006-09-01,,,,,,,,,,,
2006-09-04,,,,,,,,,,,
2006-09-05,,,,,,,,,,,
2006-09-06,,,,,,,,,,,
2006-09-07,,,,,,,,,,,
2006-09-08,,,,,,,,,,,
2006-09-11,,,,,,,,,,,
2006-09-12,,,,,,,,,,,
2006-09-13,,,,,,,,,,,
2006-09-14,,,,,,,,,,,
2006-09-15,,,,,,,,,,,
2006-09-18,,,,,,,,,,,
2006-09-19,,,,,,,,,,,
2006-09-20,,,,,,,,,,,
2006-09-21,,,,,,,,,,,
2006-09-22,,,,,,,,,,,
2006-09-25,,,,,,,,,,,
2006-09-26,,,,,,,,,,,
2006-09-27,,,,,,,,,,,
2006-09-28,,,,,,,,,,,
2006-09-29,,,,,,,,,,,
2006-10-02,2007G,2007H,67.25,67.25,67.25,67.25,0.0,35.0,0.0062,-0.025689,0.0
2006-10-03,,,,,,,,,,,
2006-10-04,,,,,,,,,,,
2006-10-05,2007H,,66.65,66.65,66.65,66.65,0.0,45.0,0.0,0.0,0.0
2006-10-06,,,,,,,,,,,
2006-10-09,,,,,,,,,,,
2006-10-10,,,,,,,,,,,
2006-10-11,,,,,,,,,,,
2006-10-12,,,,,,,,,,,
2006-10-13,,,,,,,,,,,
2006-10-16,,,,,,,,,,,
2006-10-17,,,,,,,,,,,
2006-10-18,,,,,,,,,,,
2006-10-19,,,,,,,,,,,
2006-10-20,,,,,,,,,,,
2006-10-23,,,,,,,,,,,
2006-10-24,,,,,,,,,,,
2006-10-25,,,,,,,,,,,
2006-10-26,,,,,,,,,,,
2006-10-27,,,,,,,,,,,
2006-10-30,,,,,,,,,,,
2006-10-31,,,,,,,,,,,
2006-11-01,,,,,,,,,,,
2006-11-02,,,,,,,,,,,
2006-11-03,,,,,,,,,,,
2006-11-06,,,,,,,,,,,
2006-11-07,,,,,,,,,,,
2006-11-08,,,,,,,,,,,
2006-11-09,,,,,,,,,,,
2006-11-10,,,,,,,,,,,
2006-11-13,,,,,,,,,,,
2006-11-14,,,,,,,,,,,
2006-11-15,,,,,,,,,,,
2006-11-16,,,,,,,,,,,
2006-11-17,,,,,,,,,,,
2006-11-20,,,,,,,,,,,
2006-11-21,,,,,,,,,,,
2006-11-22,,,,,,,,,,,
2006-11-23,,,,,,,,,,,
2006-11-24,,,,,,,,,,,
2006-11-27,,,,,,,,,,,
