date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000G,2000H,23.9,24.7,23.89,24.39,32509.0,55140.0,0.0231,-0.027898000000000003,-0.015498
2000-01-05,2000G,2000H,24.25,24.37,23.7,23.73,30310.0,52632.0,0.0238,-0.027433,-0.020038999999999998
2000-01-06,2000G,2000H,23.55,24.22,23.35,23.62,44662.0,49545.0,0.0257,-0.004646,-0.006481000000000001
2000-01-07,2000G,2000H,23.57,23.98,23.05,23.09,34826.0,43925.0,0.0278,-0.022694,-0.018373
2000-01-10,2000G,2000H,23.04,23.78,23.04,23.73,26388.0,46789.0,0.0286,0.027339999999999996,0.022698
2000-01-11,2000G,2000H,23.9,24.67,23.83,24.62,28002.0,38851.0,0.03,0.036819,0.035195
2000-01-12,2000H,2000J,23.74,24.57,23.56,24.23,35748.0,72936.0,0.0285,0.009538,0.007647
2000-01-13,2000H,2000J,24.28,24.74,24.15,24.53,46345.0,77750.0,0.0277,0.012305,0.011361
2000-01-14,2000H,2000J,24.5,25.18,24.48,25.17,35490.0,82950.0,0.0274,0.025756,0.023161
2000-01-17,2000H,2000J,25.55,25.75,25.42,25.65,16286.0,79460.0,0.0264,0.018890999999999998,0.012594
2000-01-18,2000H,2000J,25.95,26.13,25.62,26.05,39950.0,78841.0,0.0252,0.015474000000000002,0.019589
2000-01-19,2000H,2000J,26.3,26.3,25.65,25.84,38024.0,75966.0,0.025,-0.008094,-0.007949
2000-01-20,2000H,2000J,25.98,26.43,25.63,26.1,47963.0,75520.0,0.0255,0.010012,0.006364
2000-01-21,2000H,2000J,26.55,27.11,25.9,26.35,46271.0,69870.0,0.0281,0.009533,0.006324000000000001
2000-01-24,2000H,2000J,26.68,26.85,25.88,26.06,37451.0,69766.0,0.0293,-0.011067,-0.009501
2000-01-25,2000H,2000J,25.88,26.65,25.58,26.54,39688.0,71925.0,0.0307,0.018251,0.017351
2000-01-26,2000H,2000J,26.9,26.95,26.05,26.13,37181.0,68240.0,0.0311,-0.015569,-0.018545
2000-01-27,2000H,2000J,25.9,26.38,25.45,25.62,34844.0,67824.0,0.0318,-0.019711000000000003,-0.016058000000000003
2000-01-28,2000H,2000J,25.45,25.92,25.38,25.68,22226.0,66958.0,0.0305,0.002339,-0.001215
2000-01-31,2000H,2000J,25.4,26.19,25.21,25.97,38608.0,69340.0,0.0315,0.01123,0.015280000000000002
2000-02-01,2000H,2000J,26.1,26.6,26.08,26.39,40335.0,66729.0,0.0305,0.016043,0.015443
2000-02-02,2000H,2000J,26.62,26.82,25.82,25.93,45900.0,62801.0,0.0317,-0.017585,-0.01784
2000-02-03,2000H,2000J,26.12,26.69,26.07,26.66,30382.0,61458.0,0.0311,0.027763999999999997,0.019803
2000-02-04,2000H,2000J,26.65,27.1,26.2,27.07,30917.0,61208.0,0.0312,0.015262000000000001,0.018264
2000-02-07,2000H,2000J,26.85,27.05,26.67,26.88,20018.0,56654.0,0.0288,-0.007044,-0.009284
2000-02-08,2000H,2000J,26.73,26.86,26.32,26.37,29000.0,54993.0,0.0276,-0.019156,-0.013696000000000002
2000-02-09,2000H,2000J,26.45,26.99,26.06,26.92,32440.0,50072.0,0.0284,0.020643,0.019122999999999998
2000-02-10,2000J,2000K,25.8,26.36,25.75,26.28,35382.0,82681.0,0.0258,0.015724000000000002,0.012683
2000-02-11,2000J,2000K,26.25,26.72,26.0,26.39,47279.0,89629.0,0.026000000000000002,0.004177,0.003146
2000-02-14,2000J,2000K,26.55,27.33,26.54,27.13,43662.0,89521.0,0.0271,0.027655000000000002,0.020595
2000-02-15,2000J,2000K,27.2,27.48,26.98,27.13,32353.0,88858.0,0.0257,0.0,0.005753
2000-02-16,2000J,2000K,27.25,27.47,26.9,27.37,28329.0,85566.0,0.0248,0.008806999999999999,0.0061
2000-02-17,2000J,2000K,27.15,27.16,26.55,26.67,30104.0,87493.0,0.0245,-0.025907999999999997,-0.025406
2000-02-18,2000J,2000K,26.65,26.75,26.2,26.22,21416.0,91356.0,0.024,-0.017016999999999997,-0.014135
2000-02-21,2000J,2000K,26.35,26.4,25.78,25.93,18426.0,90238.0,0.0241,-0.011122,-0.013134999999999999
2000-02-22,2000J,2000K,25.85,26.75,25.73,26.58,32877.0,90564.0,0.0261,0.024758000000000002,0.029605000000000003
2000-02-23,2000J,2000K,26.5,27.14,26.44,27.06,34468.0,82263.0,0.0262,0.017897999999999997,0.006977
2000-02-24,2000J,2000K,27.0,27.5,27.0,27.37,32288.0,79392.0,0.0251,0.011391,0.0046240000000000005
2000-02-25,2000J,2000K,27.25,27.61,27.12,27.48,29816.0,77081.0,0.0239,0.004011,0.0019199999999999998
2000-02-28,2000J,2000K,27.2,27.78,27.2,27.41,21133.0,73646.0,0.0234,-0.0025510000000000003,0.0023
2000-02-29,2000J,2000K,27.35,28.12,27.35,28.09,26415.0,71002.0,0.0238,0.024506,0.019337
2000-03-01,2000J,2000K,28.0,29.14,28.0,29.06,42114.0,69825.0,0.0258,0.033949,0.039033
2000-03-02,2000J,2000K,28.7,29.47,28.55,29.22,32684.0,65596.0,0.0264,0.005490999999999999,0.002885
2000-03-03,2000J,2000K,28.95,29.28,28.7,28.99,21037.0,65203.0,0.0253,-0.007902,-0.005416
2000-03-06,2000J,2000K,28.95,29.69,28.95,29.63,21034.0,62867.0,0.025,0.021836,0.020072
2000-03-07,2000J,2000K,30.1,31.95,30.1,31.9,30293.0,57664.0,0.0315,0.07381900000000001,0.071214
2000-03-08,2000K,2000M,29.75,29.75,26.83,27.47,34724.0,76204.0,0.0392,-0.096732,-0.077211
2000-03-09,2000K,2000M,27.85,28.3,26.9,27.75,34532.0,71402.0,0.0406,0.010140999999999999,0.002996
2000-03-10,2000K,2000M,27.55,27.81,27.2,27.41,25136.0,70409.0,0.0381,-0.012328,-0.018494999999999998
