date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,1.6162,1.6404,1.615,1.6394,14711.0,25010.0,0.0067,0.012522,0.012773
2000-01-04,2000H,2000M,1.6372,1.6416,1.632,1.6372,14380.0,27063.0,0.0066,-0.001343,-0.001343
2000-01-05,2000H,2000M,1.6362,1.6448,1.6346,1.642,11340.0,28105.0,0.0065,0.002928,0.0029289999999999997
2000-01-06,2000H,2000M,1.6414,1.651,1.6402,1.6476,8421.0,30432.0,0.0065,0.0034049999999999996,0.003406
2000-01-07,2000H,2000M,1.6469999999999998,1.65,1.6362,1.6386,13719.0,35107.0,0.0067,-0.005477,-0.0054789999999999995
2000-01-10,2000H,2000M,1.6386,1.6398,1.6334,1.6368,4881.0,35401.0,0.0064,-0.001099,-0.0011
2000-01-11,2000H,2000M,1.6366,1.649,1.6364,1.6480000000000001,5952.0,36930.0,0.0065,0.0068189999999999995,0.006822
2000-01-12,2000H,2000M,1.6482,1.6574,1.645,1.6480000000000001,4572.0,37475.0,0.0067,0.0,0.0
2000-01-13,2000H,2000M,1.6474,1.6506,1.6408,1.6466,4220.0,37948.0,0.0066,-0.00085,-0.00085
2000-01-14,2000H,2000M,1.6476,1.6478,1.633,1.6346,10820.0,36581.0,0.0069,-0.007314,-0.007317000000000001
2000-01-18,2000H,2000M,1.6338,1.6392,1.6322,1.6362,5909.0,36226.0,0.0065,0.000978,0.0009789999999999998
2000-01-19,2000H,2000M,1.6368,1.6456,1.6368,1.6434,3573.0,37482.0,0.0064,0.004391,0.004392
2000-01-20,2000H,2000M,1.6440000000000001,1.6578,1.6428,1.6538,12859.0,44200.0,0.0068,0.006308,0.00619
2000-01-21,2000H,2000M,1.6540000000000001,1.6578,1.6476,1.6494,6776.0,45347.0,0.0067,-0.002664,-0.002665
2000-01-24,2000H,2000M,1.6482,1.6552,1.6468,1.65,3239.0,44993.0,0.0065,0.000364,0.000364
2000-01-25,2000H,2000M,1.651,1.6532,1.643,1.6444,8288.0,47239.0,0.0064,-0.0034,-0.003401
2000-01-26,2000H,2000M,1.6444,1.6466,1.6352,1.6382,14989.0,42049.0,0.0065,-0.0037770000000000004,-0.003779
2000-01-27,2000H,2000M,1.6384,1.6404,1.6340000000000001,1.6384,4998.0,40701.0,0.0062,0.000122,0.000122
2000-01-28,2000H,2000M,1.639,1.6392,1.6152,1.6208,23637.0,40161.0,0.0073,-0.0108,-0.010806
2000-01-31,2000H,2000M,1.6224,1.6258,1.6118,1.6156,14832.0,34333.0,0.0075,-0.003213,-0.002844
2000-02-01,2000H,2000M,1.6159999999999999,1.6174,1.6084,1.615,13933.0,33922.0,0.0073,-0.000371,-0.000371
2000-02-02,2000H,2000M,1.6156,1.6159999999999999,1.6022,1.607,9978.0,34250.0,0.0075,-0.004966,-0.004966
