date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000K,205.5,205.75,200.5,200.75,44630.0,213948.0,0.0127,-0.018508,-0.015503999999999999
2000-01-04,2000H,2000N,201.5,203.5,200.75,203.0,34742.0,213371.0,0.0128,0.011146,0.008116
2000-01-05,2000H,2000N,202.75,203.25,201.0,203.0,29534.0,214820.0,0.0126,0.0,0.002307
2000-01-06,2000H,2000N,203.0,205.75,203.0,203.75,36686.0,216368.0,0.0127,0.0036880000000000003,0.00345
2000-01-07,2000H,2000N,203.25,207.75,202.75,207.0,46012.0,219250.0,0.0143,0.015825,0.013683
2000-01-10,2000H,2000N,205.5,209.25,204.75,208.5,46821.0,218442.0,0.0152,0.00722,0.007896
2000-01-11,2000H,2000N,208.0,209.25,206.25,207.25,40296.0,218977.0,0.0151,-0.006013,-0.00225
2000-01-12,2000H,2000N,213.0,216.75,212.5,215.5,121537.0,229517.0,0.019,0.039035,0.035401999999999996
2000-01-13,2000H,2000N,215.5,221.5,214.5,220.75,90082.0,227935.0,0.0206,0.024069999999999998,0.023632
2000-01-14,2000H,2000N,219.0,221.75,218.5,219.0,58391.0,225217.0,0.0197,-0.007959,-0.00639
2000-01-18,2000H,2000N,216.25,220.5,215.75,220.0,45990.0,222740.0,0.0198,0.004556,0.005328
2000-01-19,2000H,2000N,220.25,221.0,218.75,220.75,33135.0,219724.0,0.0183,0.003403,0.0031829999999999996
2000-01-20,2000H,2000N,220.75,221.5,218.75,220.75,31203.0,217721.0,0.0175,0.0,0.0
2000-01-21,2000H,2000N,221.0,223.0,220.0,222.75,39626.0,222340.0,0.0169,0.009019,0.008439
2000-01-24,2000H,2000N,224.5,227.5,223.75,227.25,56184.0,216039.0,0.0174,0.020000999999999998,0.015633
2000-01-25,2000H,2000N,227.0,228.25,226.0,227.5,47611.0,209786.0,0.0163,0.0011,0.002066
2000-01-26,2000H,2000N,226.0,226.0,222.75,223.0,40806.0,205223.0,0.016,-0.019978,-0.018751
2000-01-27,2000H,2000N,222.0,226.5,221.25,225.75,46859.0,207355.0,0.017,0.012256,0.0115
2000-01-28,2000H,2000N,225.5,226.75,222.75,223.5,29522.0,205210.0,0.017,-0.010017,-0.008351
2000-01-31,2000H,2000N,221.0,221.0,218.5,220.0,46724.0,204513.0,0.0164,-0.015784,-0.016914
2000-02-01,2000H,2000N,220.75,222.25,219.5,222.0,29885.0,201919.0,0.0159,0.00905,0.010605
