date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000G,2000H,25.05,25.69,24.75,25.55,74788.0,124650.0,0.0277,-0.001955,0.002015
2000-01-05,2000G,2000H,25.15,25.42,24.87,24.91,70944.0,123257.0,0.0271,-0.025368,-0.023214
2000-01-06,2000G,2000H,24.7,25.34,24.51,24.78,85252.0,120443.0,0.0283,-0.005232,-0.002888
2000-01-07,2000G,2000H,24.8,25.02,24.15,24.22,91828.0,116577.0,0.0296,-0.022858,-0.018349
2000-01-10,2000G,2000H,24.35,24.75,24.02,24.67,91828.0,116577.0,0.0297,0.018409000000000002,0.015452
2000-01-11,2000G,2000H,24.95,25.8,24.91,25.77,106490.0,88479.0,0.0318,0.043623,0.039810000000000005
2000-01-12,2000G,2000H,25.48,26.55,25.41,26.28,93757.0,80240.0,0.0333,0.019597,0.021667
2000-01-13,2000G,2000H,26.5,27.12,26.42,26.69,90217.0,83885.0,0.0328,0.015481,0.010081999999999999
2000-01-14,2000G,2000H,27.1,28.1,27.0,28.02,68806.0,93646.0,0.0348,0.04863,0.045994
2000-01-18,2000G,2000H,28.48,29.0,27.96,28.85,65196.0,57045.0,0.0343,0.029191,0.024027
2000-01-19,2000H,2000J,27.6,27.99,27.45,27.88,92624.0,126507.0,0.0284,0.002874,-0.001114
2000-01-20,2000H,2000J,27.8,28.37,27.36,27.97,109345.0,130777.0,0.0291,0.0032229999999999997,0.002226
2000-01-21,2000H,2000J,28.7,29.1,27.7,28.2,90972.0,133443.0,0.0315,0.008189,0.007753
2000-01-24,2000H,2000J,28.4,28.45,27.51,27.83,57640.0,133120.0,0.0317,-0.013207,-0.010351
2000-01-25,2000H,2000J,27.7,28.44,27.7,28.28,54486.0,131310.0,0.0309,0.016040000000000002,0.014755
2000-01-26,2000H,2000J,28.6,28.69,27.8,27.84,67173.0,135469.0,0.031,-0.015681,-0.016615
2000-01-27,2000H,2000J,27.85,28.1,27.19,27.32,89124.0,135134.0,0.0313,-0.018855,-0.01917
2000-01-28,2000H,2000J,27.4,27.55,26.95,27.22,67368.0,130615.0,0.0302,-0.003667,-0.0018989999999999999
2000-01-31,2000H,2000J,26.8,27.9,26.71,27.64,81841.0,133257.0,0.032,0.015312000000000001,0.015843
2000-02-01,2000H,2000J,27.8,28.4,27.7,28.22,76405.0,131731.0,0.0314,0.020766999999999997,0.020008
2000-02-02,2000H,2000J,28.55,28.65,27.45,27.55,97352.0,132322.0,0.0331,-0.024028,-0.021881
2000-02-03,2000H,2000J,27.9,28.4,27.67,28.03,77935.0,135151.0,0.0326,0.017273,0.017100999999999998
2000-02-04,2000H,2000J,28.08,28.87,27.75,28.82,67033.0,133051.0,0.0333,0.027794,0.025115000000000002
2000-02-07,2000H,2000J,28.65,28.9,28.25,28.45,60114.0,124657.0,0.0317,-0.012921,-0.012297
2000-02-08,2000H,2000J,28.38,28.49,27.91,28.02,66132.0,116894.0,0.0303,-0.01523,-0.014662999999999999
2000-02-09,2000H,2000J,27.8,28.84,27.71,28.77,86908.0,110162.0,0.0313,0.026414999999999998,0.02444
2000-02-10,2000H,2000J,28.7,29.5,28.65,29.43,75868.0,105550.0,0.0308,0.022681,0.018565
2000-02-11,2000H,2000J,29.8,29.94,29.02,29.44,0.0,0.0,0.0309,0.00033999999999999997,0.004588
2000-02-14,2000H,2000J,29.7,30.3,29.47,30.25,58300.0,93976.0,0.0303,0.027142000000000003,0.029832
2000-02-15,2000J,2000K,29.25,29.55,29.0,29.19,66963.0,117298.0,0.0268,-0.002395,-0.002137
2000-02-16,2000J,2000K,29.25,29.46,28.76,29.33,82544.0,127734.0,0.0262,0.004785,0.00958
2000-02-17,2000J,2000K,28.8,28.9,28.35,28.55,67391.0,132699.0,0.0252,-0.026954000000000002,-0.024304
2000-02-18,2000J,2000K,28.44,28.55,28.18,28.45,52920.0,141504.0,0.0236,-0.0035090000000000004,-0.005806
2000-02-22,2000J,2000K,27.95,29.0,27.9,28.92,86307.0,144387.0,0.0255,0.016385,0.012656
2000-02-23,2000J,2000K,28.83,29.45,28.75,29.39,54122.0,146758.0,0.0253,0.016121,0.006804000000000001
2000-02-24,2000J,2000K,29.44,30.15,29.4,29.97,70505.0,140963.0,0.0253,0.019542,0.008529
2000-02-25,2000J,2000K,29.8,30.83,29.7,30.35,75783.0,134579.0,0.0268,0.0126,0.012309
2000-02-28,2000J,2000K,30.01,30.59,29.82,30.13,56874.0,126006.0,0.0264,-0.007275,-0.005608
2000-02-29,2000J,2000K,30.35,30.63,30.3,30.43,50372.0,126784.0,0.0249,0.009908,0.013962
2000-03-01,2000J,2000K,30.6,31.8,30.45,31.77,73329.0,122978.0,0.0272,0.043093,0.039421
2000-03-02,2000J,2000K,31.75,32.15,31.38,31.69,58870.0,119026.0,0.0267,-0.0025210000000000002,0.00233
