date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000K,51.07,51.1,50.35,51.07,8033.0,32867.0,0.0161,0.006483,0.003827
2000-01-04,2000H,2000K,50.73,50.97,50.25,50.73,4709.0,32153.0,0.0157,-0.006679999999999999,-0.004594
2000-01-05,2000H,2000K,51.56,51.84,50.75,51.56,10464.0,32334.0,0.0164,0.016229,0.01353
2000-01-06,2000H,2000K,52.08,52.1,51.55,52.08,7247.0,30988.0,0.0155,0.010034999999999999,0.009982
2000-01-07,2000H,2000K,53.96,54.05,51.9,53.96,19389.0,30445.0,0.0188,0.035462,0.031907
2000-01-10,2000H,2000K,53.56,53.95,53.2,53.56,8349.0,29422.0,0.0181,-0.007441,-0.004001
2000-01-11,2000H,2000K,54.18,54.2,53.31,54.18,8698.0,28135.0,0.0177,0.011509,0.012497
2000-01-12,2000H,2000K,53.72,54.6,53.65,53.72,11455.0,28459.0,0.0176,-0.008526,-0.008314
2000-01-13,2000H,2000K,54.75,54.8,53.4,54.75,8413.0,27989.0,0.0185,0.018992,0.015309
2000-01-14,2000H,2000K,55.12,55.85,54.65,55.12,14981.0,28632.0,0.0189,0.006735,0.0053479999999999995
2000-01-18,2000H,2000K,54.76,55.1,54.26,54.76,5269.0,30494.0,0.0184,-0.006553,-0.000889
2000-01-19,2000H,2000K,57.75,57.76,55.1,57.75,18631.0,30690.0,0.023,0.053163,0.049129
2000-01-20,2000H,2000K,57.44,57.8,56.6,57.44,8938.0,34837.0,0.0225,-0.005382,-0.004584
2000-01-21,2000H,2000K,56.15,58.6,55.8,56.15,12250.0,35853.0,0.0261,-0.022713999999999998,-0.023766
2000-01-24,2000H,2000K,56.35,57.05,55.85,56.35,4199.0,37422.0,0.0253,0.003556,0.0031320000000000002
2000-01-25,2000H,2000K,57.86,58.0,56.1,57.86,6755.0,37634.0,0.0261,0.026444,0.023522
2000-01-26,2000H,2000K,57.42,58.75,56.7,57.42,6721.0,37853.0,0.0275,-0.007634,-0.004763
2000-01-27,2000H,2000K,57.53,57.9,56.56,57.53,5566.0,37709.0,0.0269,0.0019140000000000001,0.0028940000000000003
2000-01-28,2000H,2000K,57.45,57.8,56.9,57.45,4054.0,37567.0,0.0253,-0.001392,0.002038
2000-01-31,2000H,2000K,57.86,57.9,56.45,57.86,6238.0,37709.0,0.0252,0.007111,0.005752
2000-02-01,2000H,2000K,57.13,57.8,56.85,57.13,4042.0,37090.0,0.0241,-0.012697,-0.012733
2000-02-02,2000H,2000K,57.04,57.5,56.9,57.04,5365.0,36719.0,0.0223,-0.001577,-0.000342
2000-02-03,2000H,2000K,56.09,57.5,55.7,56.09,10230.0,36675.0,0.0236,-0.016794999999999997,-0.013594
2000-02-04,2000H,2000K,56.08,56.4,55.21,56.08,7717.0,34410.0,0.0234,-0.000178,-0.0005200000000000001
2000-02-07,2000H,2000K,56.18,56.38,55.65,56.18,6125.0,32662.0,0.0221,0.001782,0.002597
2000-02-08,2000H,2000K,55.3,55.9,55.25,55.3,5941.0,32118.0,0.0208,-0.015788,-0.013227000000000001
2000-02-09,2000H,2000K,55.8,55.9,55.05,55.8,10053.0,30500.0,0.0201,0.009001,0.010283
2000-02-10,2000H,2000K,57.54,57.8,55.65,57.54,12372.0,25699.0,0.0225,0.030706,0.032751
2000-02-11,2000H,2000K,56.97,57.7,56.9,56.97,6852.0,23648.0,0.0213,-0.009956,-0.011816
2000-02-14,2000H,2000K,57.26,59.1,56.65,57.26,8641.0,23026.0,0.0242,0.005077,0.007949
2000-02-15,2000H,2000K,55.74,57.0,55.71,55.74,8688.0,20664.0,0.024,-0.026904,-0.025767
2000-02-16,2000K,2000N,57.63,58.25,57.0,57.63,5281.0,30644.0,0.0219,-0.00381,-0.002877
2000-02-17,2000K,2000N,57.93,58.6,57.82,57.93,5832.0,30440.0,0.0213,0.0051920000000000004,0.007093
2000-02-18,2000K,2000N,59.75,59.8,57.93,59.75,9587.0,32256.0,0.0227,0.030933999999999996,0.029843
2000-02-22,2000K,2000N,61.17,61.5,59.4,61.17,12794.0,35167.0,0.0243,0.023488,0.025481
2000-02-23,2000K,2000N,60.65,61.5,60.5,60.65,8053.0,39271.0,0.0231,-0.008537000000000001,-0.009279
2000-02-24,2000K,2000N,60.33,60.5,59.26,60.33,5878.0,40532.0,0.0226,-0.0052899999999999996,-0.00451
2000-02-25,2000K,2000N,58.88,60.8,58.8,58.88,6945.0,40154.0,0.024,-0.024328,-0.021541
2000-02-28,2000K,2000N,59.59,59.6,58.3,59.59,4648.0,39960.0,0.0237,0.011986,0.009359000000000001
2000-02-29,2000K,2000N,58.53,59.1,58.15,58.53,6599.0,39302.0,0.0228,-0.017948,-0.016145
2000-03-01,2000K,2000N,61.51,61.53,58.55,61.51,11567.0,38420.0,0.0264,0.04966,0.044025999999999996
2000-03-02,2000K,2000N,60.68,61.4,60.61,60.68,5214.0,39096.0,0.0246,-0.013586,-0.013279
2000-03-03,2000K,2000N,61.06,61.2,60.42,61.06,3747.0,38927.0,0.0229,0.006243,0.005461
2000-03-06,2000K,2000N,61.32,62.0,61.26,61.32,5084.0,38969.0,0.0218,0.004249,0.00256
2000-03-07,2000K,2000N,61.64,61.99,60.65,61.64,5922.0,39689.0,0.0216,0.0052049999999999996,0.003986
2000-03-08,2000K,2000N,62.79,62.9,61.8,62.79,6892.0,39946.0,0.0214,0.018484999999999998,0.01704
2000-03-09,2000K,2000N,63.01,63.3,62.4,63.01,6531.0,40058.0,0.0203,0.003498,0.002968
2000-03-10,2000K,2000N,63.6,63.75,62.6,63.6,5869.0,40300.0,0.0199,0.00932,0.010705
2000-03-13,2000K,2000N,63.21,63.45,62.26,63.21,7016.0,41026.0,0.0197,-0.006151,-0.0061920000000000005
2000-03-14,2000K,2000N,63.36,63.8,62.75,63.36,4238.0,41073.0,0.0192,0.00237,0.001552
2000-03-15,2000K,2000N,63.22,63.95,62.8,63.22,5493.0,41613.0,0.019,-0.002212,0.00062
