date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,1.0144,1.0333,1.0105,1.0329,30538.0,54297.0,0.0082,0.016497,0.016388
2000-01-04,2000H,2000M,1.0356,1.0395,1.0322,1.0352,28600.0,52522.0,0.008,0.002224,0.002402
2000-01-05,2000H,2000M,1.0424,1.044,1.0351,1.0369,26208.0,55546.0,0.0081,0.001641,0.0016300000000000002
2000-01-06,2000H,2000M,1.0435,1.0444,1.0326,1.0349,21353.0,56235.0,0.0085,-0.0019309999999999998,-0.001918
2000-01-07,2000H,2000M,1.0336,1.0368,1.0305,1.0332,10876.0,56056.0,0.0081,-0.001644,-0.001537
2000-01-10,2000H,2000M,1.0276,1.0323,1.0272,1.0304,13442.0,59664.0,0.0077,-0.0027140000000000003,-0.002695
2000-01-11,2000H,2000M,1.0309,1.038,1.0307,1.0373,17617.0,63739.0,0.0077,0.006673999999999999,0.006629
2000-01-12,2000H,2000M,1.0351,1.0367,1.031,1.0359,22998.0,65729.0,0.0074,-0.001351,-0.0012460000000000001
2000-01-13,2000H,2000M,1.0317,1.0324,1.028,1.03,9945.0,66060.0,0.006999999999999999,-0.005712,-0.005672
2000-01-14,2000H,2000M,1.0266,1.0266,1.0155,1.0185,37618.0,61233.0,0.0075,-0.011228,-0.011149
2000-01-18,2000H,2000M,1.0136,1.018,1.012,1.0163,22297.0,61879.0,0.0073,-0.0021620000000000003,-0.002147
2000-01-19,2000H,2000M,1.0148,1.0168,1.0127,1.0164,7163.0,62650.0,0.0069,9.8e-05,9.8e-05
2000-01-20,2000H,2000M,1.0125,1.0224,1.0113,1.0205,16960.0,61429.0,0.0074,0.004026,0.003997
2000-01-21,2000H,2000M,1.0135,1.0143,1.0086,1.0136,14420.0,63167.0,0.0072,-0.006784,-0.006737000000000001
2000-01-24,2000H,2000M,1.0069,1.0081,1.0037,1.0079,19246.0,64759.0,0.0068,-0.005639,-0.0056
2000-01-25,2000H,2000M,1.0047,1.0109,1.003,1.0053,14217.0,65134.0,0.006999999999999999,-0.002583,-0.002663
2000-01-26,2000H,2000M,1.0055,1.0061,1.003,1.0048,9680.0,66414.0,0.0065,-0.0004969999999999999,-0.0004940000000000001
2000-01-27,2000H,2000M,0.9997,0.9998,0.9901,0.9908,23825.0,76941.0,0.0069,-0.014031,-0.014131999999999999
2000-01-28,2000H,2000M,0.987,0.9901,0.9768,0.9803,19068.0,76287.0,0.0078,-0.010654,-0.010579999999999999
2000-01-31,2000H,2000M,0.983,0.985,0.9698,0.9725,16797.0,74487.0,0.0089,-0.007989,-0.007932999999999999
2000-02-01,2000H,2000M,0.9741,0.9808,0.9718,0.9761,11773.0,73866.0,0.009000000000000001,0.0036950000000000004,0.003669
2000-02-02,2000H,2000M,0.9744,0.9828,0.9725,0.9784,15448.0,75406.0,0.0092,0.0023539999999999998,0.002337
2000-02-03,2000H,2000M,0.9769,0.9973,0.9762,0.9927,22436.0,76719.0,0.0108,0.014509999999999999,0.014409
2000-02-04,2000H,2000M,0.9859,0.9868,0.9776,0.985,17400.0,72861.0,0.0106,-0.0077870000000000005,-0.007732999999999999
2000-02-07,2000H,2000M,0.9790000000000001,0.9839,0.9779,0.9826,7660.0,70785.0,0.01,-0.00244,-0.0024230000000000002
2000-02-08,2000H,2000M,0.9933,0.9933,0.9869,0.9881,12623.0,68899.0,0.0101,0.005582,0.005543
2000-02-09,2000H,2000M,0.9947,0.9990000000000001,0.9909,0.9945,16824.0,66716.0,0.0102,0.006456,0.006412
2000-02-10,2000H,2000M,0.9894,0.9922,0.9853,0.9883,15368.0,66288.0,0.0098,-0.006254,-0.006211
2000-02-11,2000H,2000M,0.9817,0.9899,0.9814,0.9890000000000001,10025.0,66397.0,0.0096,0.000708,0.0007030000000000001
2000-02-14,2000H,2000M,0.9886,0.9886,0.9796,0.9832,15815.0,64749.0,0.0095,-0.005882,-0.005841
2000-02-15,2000H,2000M,0.9791,0.9879,0.9790000000000001,0.9831,10277.0,65152.0,0.0095,-0.000102,-0.000101
2000-02-16,2000H,2000M,0.9819,0.9888,0.981,0.9883,8572.0,64155.0,0.0093,0.005275,0.005239
2000-02-17,2000H,2000M,0.9937,0.9944,0.9852,0.9901,16428.0,63926.0,0.0093,0.00182,0.001807
2000-02-18,2000H,2000M,0.9872,0.9888,0.9826,0.9862,8715.0,64210.0,0.0089,-0.003947,-0.003919
2000-02-22,2000H,2000M,1.002,1.0094,1.002,1.0063,30534.0,67789.0,0.0108,0.020176,0.020038
2000-02-23,2000H,2000M,1.0077,1.0078,1.0023,1.0041,12808.0,65940.0,0.0101,-0.002189,-0.002372
2000-02-24,2000H,2000M,0.9906,0.9975,0.9899,0.9954,14512.0,66007.0,0.0097,-0.008702,-0.008643999999999999
2000-02-25,2000H,2000M,0.9822,0.9840000000000001,0.9735,0.9752,22731.0,66385.0,0.0099,-0.020502,-0.020465
2000-02-28,2000H,2000M,0.9641,0.9740000000000001,0.9635,0.9727,17618.0,63459.0,0.01,-0.0025670000000000003,-0.002652
2000-02-29,2000H,2000M,0.9721,0.9726,0.9632,0.9672,11438.0,61984.0,0.01,-0.0056700000000000006,-0.005633
2000-03-01,2000H,2000M,0.9675,0.9775,0.9655,0.9751,10724.0,61282.0,0.0103,0.008135,0.008081
2000-03-02,2000H,2000M,0.9726,0.975,0.9620000000000001,0.9670000000000001,13296.0,62935.0,0.0108,-0.008342,-0.008286
2000-03-03,2000H,2000M,0.9666,0.9683,0.9596,0.9621,14497.0,57336.0,0.0106,-0.0050799999999999994,-0.005149
2000-03-06,2000H,2000M,0.9639,0.9644,0.958,0.9596,16899.0,51032.0,0.0101,-0.002602,-0.002688
2000-03-07,2000H,2000M,0.9591,0.9627,0.9536,0.9576,10650.0,46111.0,0.01,-0.0020859999999999997,-0.002073
2000-03-08,2000H,2000M,0.9545,0.9628,0.953,0.9616,9874.0,40874.0,0.0101,0.004168,0.004141
2000-03-09,2000M,2000U,0.9682,0.9762,0.9674,0.9742,26972.0,43671.0,0.0094,0.006488,0.006449
2000-03-10,2000M,2000U,0.9662,0.9732,0.9662,0.9693,19277.0,48706.0,0.0091,-0.0050420000000000005,-0.005012
2000-03-13,2000M,2000U,0.9775,0.9783,0.9677,0.9708,16547.0,52149.0,0.0093,0.001546,0.001537
2000-03-14,2000M,2000U,0.9679,0.9744,0.9655,0.9733,11063.0,50440.0,0.0093,0.002572,0.0025559999999999997
2000-03-15,2000M,2000U,0.9715,0.9773,0.9715,0.9741,8734.0,50539.0,0.0088,0.000822,0.000817
2000-03-16,2000M,2000U,0.9724,0.98,0.9709,0.9775,15131.0,50826.0,0.0089,0.0034840000000000006,0.0034630000000000004
2000-03-17,2000M,2000U,0.9733,0.9791,0.9718,0.9787,9877.0,51858.0,0.0087,0.001227,0.00122
2000-03-20,2000M,2000U,0.9774,0.98,0.9745,0.9793,6365.0,51144.0,0.0083,0.0006129999999999999,0.000609
2000-03-21,2000M,2000U,0.9758,0.978,0.9692,0.9704,14256.0,50807.0,0.0084,-0.00913,-0.009075
2000-03-22,2000M,2000U,0.9657,0.9688,0.9637,0.966,12312.0,51643.0,0.008,-0.004545,-0.004517
2000-03-23,2000M,2000U,0.9711,0.9788,0.9708,0.9776,21512.0,50570.0,0.0087,0.011937,0.011865
2000-03-24,2000M,2000U,0.9762,0.9829,0.973,0.9807,14850.0,51154.0,0.0089,0.003166,0.003147
2000-03-27,2000M,2000U,0.9774,0.9785,0.9688,0.971,17359.0,51519.0,0.009000000000000001,-0.009940000000000001,-0.009778
2000-03-28,2000M,2000U,0.9737,0.9754,0.9653,0.9669,9179.0,51879.0,0.0092,-0.004231,-0.004103
2000-03-29,2000M,2000U,0.9617,0.9628,0.953,0.956,16050.0,54212.0,0.0093,-0.011337,-0.011266
2000-03-30,2000M,2000U,0.9591,0.9675,0.9563,0.9662,12126.0,52873.0,0.0097,0.010613,0.010443000000000001
2000-03-31,2000M,2000U,0.9603,0.9639,0.96,0.9607,8583.0,53871.0,0.009000000000000001,-0.0057090000000000005,-0.005673
2000-04-03,2000M,2000U,0.9619,0.9653,0.9576,0.963,13631.0,52818.0,0.0089,0.002391,0.002376
2000-04-04,2000M,2000U,0.9594,0.9805,0.9565,0.9686,20170.0,54727.0,0.011000000000000001,0.005797999999999999,0.005763
2000-04-05,2000M,2000U,0.972,0.9759,0.9657,0.9677,14667.0,53773.0,0.0109,-0.00093,-0.000924
2000-04-06,2000M,2000U,0.9667,0.9675,0.9613,0.9648,6491.0,54008.0,0.0103,-0.003001,-0.002983
2000-04-07,2000M,2000U,0.961,0.966,0.9582,0.9592,8069.0,52061.0,0.01,-0.005821,-0.005785
2000-04-10,2000M,2000U,0.9632,0.9671,0.9625,0.9658,9668.0,52732.0,0.0098,0.006856999999999999,0.006815000000000001
2000-04-11,2000M,2000U,0.9638,0.9689,0.9607,0.9632,16365.0,55641.0,0.0096,-0.002696,-0.002679
2000-04-12,2000M,2000U,0.9618,0.9627,0.9562,0.9604,11917.0,56526.0,0.0092,-0.002911,-0.002893
2000-04-13,2000M,2000U,0.9572,0.9615,0.9555,0.9583,8367.0,57045.0,0.0089,-0.002189,-0.0022789999999999998
2000-04-14,2000M,2000U,0.9578,0.966,0.9570000000000001,0.9626,19249.0,58322.0,0.0089,0.004477,0.004346
2000-04-17,2000M,2000U,0.9608,0.9629,0.9571,0.9575,18919.0,57364.0,0.0085,-0.005312,-0.00528
2000-04-18,2000M,2000U,0.9541,0.9547,0.9494,0.9512,14902.0,59271.0,0.0082,-0.006601,-0.006561
2000-04-19,2000M,2000U,0.9496,0.9507,0.9396,0.9432,15401.0,59891.0,0.0087,-0.008445999999999999,-0.0085
2000-04-20,2000M,2000U,0.9413,0.9433,0.9388,0.94,9002.0,60991.0,0.0082,-0.0033979999999999995,-0.003378
2000-04-24,2000M,2000U,0.9463,0.9483,0.9419,0.9429,5535.0,60168.0,0.0083,0.0030800000000000003,0.003062
2000-04-25,2000M,2000U,0.9334,0.9336,0.9195,0.9232,19319.0,63496.0,0.0092,-0.021113999999999997,-0.021200999999999998
2000-04-26,2000M,2000U,0.922,0.9278,0.9216,0.9268,10871.0,62910.0,0.0089,0.003892,0.0038689999999999996
2000-04-27,2000M,2000U,0.9195,0.9279,0.909,0.9137,26709.0,67696.0,0.0105,-0.014236000000000002,-0.014150999999999999
2000-04-28,2000M,2000U,0.9125,0.9165,0.9105,0.9122,11490.0,67554.0,0.01,-0.001643,-0.001524
2000-05-01,2000M,2000U,0.9123,0.9201,0.9101,0.9196,9706.0,69493.0,0.0102,0.00808,0.008029999999999999
2000-05-02,2000M,2000U,0.9142,0.9157,0.9062,0.9104,12788.0,68271.0,0.0102,-0.010055,-0.009884
2000-05-03,2000M,2000U,0.8925,0.8997,0.8913,0.8987,21076.0,70851.0,0.0101,-0.012934999999999999,-0.012963999999999998
2000-05-04,2000M,2000U,0.8976,0.8986,0.8917,0.8927,10805.0,68322.0,0.0098,-0.006698999999999999,-0.006768000000000001
2000-05-05,2000M,2000U,0.9024,0.9036,0.8931,0.9009999999999999,9807.0,67107.0,0.0102,0.009255,0.009198
2000-05-08,2000M,2000U,0.8978,0.9004,0.8943,0.8995,6810.0,66945.0,0.0097,-0.001666,-0.001656
2000-05-09,2000M,2000U,0.9,0.9104,0.8982,0.9091,8971.0,66101.0,0.0103,0.010616,0.010551999999999999
2000-05-10,2000M,2000U,0.9131,0.9152,0.9107,0.9114,11802.0,63860.0,0.0098,0.002527,0.002621
2000-05-11,2000M,2000U,0.9109,0.9118,0.9015,0.9018,11699.0,64021.0,0.01,-0.010589,-0.010523999999999999
2000-05-12,2000M,2000U,0.9056,0.9221,0.9051,0.9207,14287.0,63239.0,0.0116,0.020741,0.020615
2000-05-15,2000M,2000U,0.9167,0.9192,0.9144,0.9147,9339.0,62244.0,0.0107,-0.0065379999999999995,-0.006498
2000-05-16,2000M,2000U,0.9086,0.9095,0.9046,0.9055,8986.0,62951.0,0.01,-0.010109,-0.010047
2000-05-17,2000M,2000U,0.8946,0.899,0.8909,0.8971,15021.0,64596.0,0.0099,-0.00932,-0.009484000000000001
2000-05-18,2000M,2000U,0.8953,0.8989,0.8937,0.8951,5448.0,63697.0,0.0093,-0.002232,-0.002219
2000-05-19,2000M,2000U,0.8888,0.9018,0.888,0.9007,13039.0,65246.0,0.0102,0.0062369999999999995,0.006089
2000-05-22,2000M,2000U,0.9015,0.909,0.9,0.9064,14076.0,66595.0,0.0102,0.006308,0.006272
2000-05-23,2000M,2000U,0.9117,0.9138,0.9033,0.9075,12125.0,65712.0,0.0104,0.001213,0.001206
2000-05-24,2000M,2000U,0.9123,0.9142,0.907,0.9085,12747.0,65492.0,0.01,0.001101,0.001204
2000-05-25,2000M,2000U,0.9006,0.9138,0.9004,0.9137,18094.0,65748.0,0.0106,0.005707,0.005783
2000-05-26,2000M,2000U,0.9153,0.9344,0.9135,0.9327,23314.0,64607.0,0.0122,0.020581,0.020566
2000-05-30,2000M,2000U,0.9367,0.9390000000000001,0.9318,0.9331,17809.0,62697.0,0.0115,0.000429,0.000533
2000-05-31,2000M,2000U,0.9313,0.9378,0.9276,0.937,11335.0,62117.0,0.0114,0.004171,0.004146
2000-06-01,2000M,2000U,0.9336,0.9346,0.9293,0.9337,6866.0,62408.0,0.0106,-0.0035280000000000003,-0.0036130000000000003
2000-06-02,2000M,2000U,0.9364,0.9513,0.9345,0.943,16040.0,63367.0,0.0116,0.009911,0.009852
2000-06-05,2000M,2000U,0.9436,0.9498,0.9421,0.9493,10194.0,61204.0,0.0111,0.006659,0.006619
2000-06-06,2000M,2000U,0.9497,0.9608,0.9495,0.9556,20195.0,59132.0,0.0112,0.006615,0.006679999999999999
2000-06-07,2000M,2000U,0.956,0.9635,0.9544,0.9619,12601.0,55523.0,0.011000000000000001,0.006571,0.0066359999999999995
2000-06-08,2000M,2000U,0.9665,0.9688,0.9518,0.9572,26533.0,48584.0,0.0118,-0.004898,-0.00518
2000-06-09,2000M,2000U,0.9493,0.9547,0.9465,0.9542,12406.0,44317.0,0.0114,-0.003139,-0.003121
2000-06-12,2000M,2000U,0.9533,0.9562,0.9527,0.9538,8197.0,40242.0,0.0103,-0.00041900000000000005,-0.000417
2000-06-13,2000M,2000U,0.9581,0.9631,0.958,0.9609,14691.0,32925.0,0.0102,0.007416,0.0073739999999999995
2000-06-14,2000M,2000U,0.9634,0.965,0.9578,0.9607,14209.0,25067.0,0.0099,-0.00020800000000000001,-0.000207
2000-06-15,2000U,2000Z,0.9572,0.9607,0.9569,0.9591,10775.0,49369.0,0.0088,-0.007376000000000001,-0.0073349999999999995
2000-06-16,2000U,2000Z,0.9620000000000001,0.9713,0.9614,0.971,14245.0,54021.0,0.0093,0.012331,0.012366
2000-06-19,2000U,2000Z,0.9695,0.9695,0.9631,0.9646,11835.0,52683.0,0.009000000000000001,-0.006613,-0.006576
2000-06-20,2000U,2000Z,0.9591,0.9642,0.9590000000000001,0.9633,7257.0,53664.0,0.0085,-0.001349,-0.001444
2000-06-21,2000U,2000Z,0.9515,0.9527,0.9483,0.9502,13530.0,52470.0,0.008,-0.013692,-0.013616999999999999
2000-06-22,2000U,2000Z,0.9451,0.9490000000000001,0.9395,0.9429,14567.0,54863.0,0.0083,-0.007712,-0.007775
2000-06-23,2000U,2000Z,0.9461,0.9473,0.9389,0.9411,8013.0,54954.0,0.0084,-0.001911,-0.0019
2000-06-26,2000U,2000Z,0.937,0.9444,0.9369,0.943,8235.0,52825.0,0.0084,0.002017,0.002006
2000-06-27,2000U,2000Z,0.9452,0.9516,0.9423,0.9514,9690.0,51408.0,0.0086,0.008868000000000001,0.00882
2000-06-28,2000U,2000Z,0.9459,0.9514,0.9447,0.9479,7543.0,51700.0,0.0084,-0.003686,-0.0036659999999999996
2000-06-29,2000U,2000Z,0.9549,0.9582,0.9542,0.9567,9928.0,52613.0,0.0087,0.009241,0.009191
2000-06-30,2000U,2000Z,0.9602,0.9647,0.9567,0.9581,12167.0,52096.0,0.0086,0.001462,0.001454
2000-07-03,2000U,2000Z,0.9536,0.9575,0.9527,0.9552,5073.0,52156.0,0.0081,-0.003031,-0.003015
2000-07-05,2000U,2000Z,0.9583,0.9616,0.9561,0.9579,13782.0,53876.0,0.0079,0.002823,0.0026
2000-07-06,2000U,2000Z,0.9592,0.9609,0.9537,0.9548,11400.0,53652.0,0.0079,-0.0032409999999999995,-0.003225
2000-07-07,2000U,2000Z,0.9523,0.9568,0.95,0.951,11244.0,53971.0,0.0078,-0.003988,-0.003967
2000-07-10,2000U,2000Z,0.9557,0.9589,0.9549,0.9585,7794.0,54182.0,0.0078,0.007855,0.007815
2000-07-11,2000U,2000Z,0.9564,0.9576,0.9532,0.9559,8512.0,54470.0,0.0074,-0.002716,-0.002806
2000-07-12,2000U,2000Z,0.9532,0.9533,0.9431,0.9458,15934.0,54480.0,0.0079,-0.010622,-0.010673
2000-07-13,2000U,2000Z,0.9385,0.9413,0.9364,0.94,11191.0,54769.0,0.0075,-0.006151,-0.006226
2000-07-14,2000U,2000Z,0.9378,0.9426,0.9353,0.9413,7310.0,55273.0,0.0076,0.001382,0.001375
2000-07-17,2000U,2000Z,0.9387,0.9404,0.9375,0.9391,6010.0,55545.0,0.006999999999999999,-0.00234,-0.002328
2000-07-18,2000U,2000Z,0.9388,0.9393,0.9265,0.9299,13096.0,57473.0,0.0079,-0.009845,-0.009796
2000-07-19,2000U,2000Z,0.9252,0.9282,0.9226,0.9265,11213.0,57336.0,0.0077,-0.0036630000000000005,-0.003752
2000-07-20,2000U,2000Z,0.9258,0.9365,0.9251,0.9359999999999999,18983.0,59519.0,0.0083,0.010201,0.010151
2000-07-21,2000U,2000Z,0.9387,0.9411,0.9352,0.9401,5753.0,58813.0,0.008,0.004371,0.0042439999999999995
2000-07-24,2000U,2000Z,0.9357,0.9372,0.9341,0.9357,5661.0,59232.0,0.0074,-0.004691,-0.0046689999999999995
2000-07-25,2000U,2000Z,0.9433,0.9452,0.9406,0.941,11616.0,61431.0,0.0078,0.005647999999999999,0.005621
2000-07-26,2000U,2000Z,0.9425,0.9464,0.9420000000000001,0.9446,6238.0,61139.0,0.0075,0.0038179999999999998,0.0038
2000-07-27,2000U,2000Z,0.9417,0.9426,0.9344,0.9351,15445.0,60509.0,0.0076,-0.010108,-0.01006
2000-07-28,2000U,2000Z,0.9303,0.9307,0.9252,0.9261,11684.0,60015.0,0.0074,-0.009670999999999999,-0.009625
2000-07-31,2000U,2000Z,0.9266,0.9321,0.9264,0.9296,10089.0,60506.0,0.0073,0.0037719999999999997,0.003754
2000-08-01,2000U,2000Z,0.929,0.9317,0.9215,0.9229999999999999,12402.0,61157.0,0.0078,-0.007125,-0.007091
2000-08-02,2000U,2000Z,0.9167,0.9181,0.9139,0.9146,13344.0,61429.0,0.0074,-0.009142,-0.009207
2000-08-03,2000U,2000Z,0.9057,0.91,0.9024,0.9093,20678.0,67578.0,0.0076,-0.0058119999999999995,-0.005784
2000-08-04,2000U,2000Z,0.9043,0.9123,0.9037,0.9102,11996.0,65985.0,0.0078,0.000989,0.000875
2000-08-07,2000U,2000Z,0.9114,0.9134,0.9087,0.9106,5670.0,65961.0,0.0075,0.000439,0.000437
2000-08-08,2000U,2000Z,0.9068,0.907,0.9009,0.904,13317.0,67491.0,0.0074,-0.007273999999999999,-0.007240000000000001
2000-08-09,2000U,2000Z,0.8997,0.903,0.8988,0.9007,8551.0,67837.0,0.0071,-0.003657,-0.00375
2000-08-10,2000U,2000Z,0.9061,0.9117,0.9054,0.9097,9715.0,67886.0,0.0077,0.009943,0.009897
2000-08-11,2000U,2000Z,0.9151,0.9151,0.9042,0.9052,12075.0,67632.0,0.0083,-0.004959000000000001,-0.005046
2000-08-14,2000U,2000Z,0.9026,0.9086,0.9019,0.907,8263.0,68079.0,0.0082,0.001987,0.001978
2000-08-15,2000U,2000Z,0.9135,0.9157,0.9122,0.9149,9500.0,66772.0,0.0084,0.008672,0.008633
2000-08-16,2000U,2000Z,0.909,0.9174,0.9089,0.9173,15736.0,67655.0,0.0085,0.00262,0.002391
2000-08-17,2000U,2000Z,0.9163,0.9191,0.9151,0.9188,8776.0,67819.0,0.0079,0.001634,0.001627
2000-08-18,2000U,2000Z,0.9136,0.9137,0.9076,0.9082,15675.0,68003.0,0.0077,-0.011604000000000001,-0.011555
2000-08-21,2000U,2000Z,0.9037,0.9061,0.9023,0.9032,7168.0,68796.0,0.0073,-0.005521,-0.005497
2000-08-22,2000U,2000Z,0.8986,0.9005,0.8962,0.8987,8689.0,68666.0,0.006999999999999999,-0.004995,-0.004973
2000-08-23,2000U,2000Z,0.8945,0.9016,0.8936,0.9014,12900.0,71043.0,0.0072,0.003,0.002987
2000-08-24,2000U,2000Z,0.9018,0.9062,0.9009999999999999,0.9034,9572.0,69648.0,0.0071,0.002216,0.002207
2000-08-25,2000U,2000Z,0.9029,0.9082,0.9025,0.9037,11729.0,70009.0,0.006999999999999999,0.000332,0.00022
2000-08-28,2000U,2000Z,0.902,0.9024,0.8995,0.9009999999999999,5336.0,69770.0,0.0065,-0.0029920000000000003,-0.00298
2000-08-29,2000U,2000Z,0.8967,0.8989,0.8923,0.8933,13649.0,69975.0,0.0066,-0.008583,-0.008435
2000-08-30,2000U,2000Z,0.8924,0.8945,0.8916,0.8935,10023.0,69463.0,0.0061,0.00022400000000000002,0.000223
2000-08-31,2000U,2000Z,0.8914,0.8935,0.885,0.8885,16292.0,70171.0,0.0066,-0.005612,-0.005587
2000-09-01,2000U,2000Z,0.8913,0.9025,0.8899,0.9004,14552.0,69812.0,0.0078,0.013304,0.013356999999999999
2000-09-05,2000U,2000Z,0.889,0.8902,0.8856,0.8894,14398.0,71963.0,0.0075,-0.012292,-0.012237
2000-09-06,2000U,2000Z,0.8822,0.8827,0.8694,0.8709,23362.0,71625.0,0.0085,-0.02102,-0.021153
2000-09-07,2000U,2000Z,0.8677,0.877,0.8677,0.8740000000000001,17334.0,68916.0,0.0088,0.003553,0.0036520000000000003
2000-09-08,2000U,2000Z,0.8734,0.8740000000000001,0.8644,0.8699,18510.0,64658.0,0.0091,-0.0047020000000000005,-0.004796
2000-09-11,2000U,2000Z,0.8604,0.863,0.8572,0.8589,14602.0,58733.0,0.0089,-0.012726000000000001,-0.01267
2000-09-12,2000U,2000Z,0.8613,0.8692,0.8590000000000001,0.8629,14897.0,48610.0,0.0093,0.004646,0.0047409999999999996
2000-09-13,2000U,2000Z,0.866,0.8671,0.8602,0.8615,16073.0,32721.0,0.0092,-0.0016239999999999998,-0.001616
2000-09-14,2000Z,2001H,0.8738,0.8741,0.8639,0.8687,22541.0,59332.0,0.0092,0.0038060000000000004,0.003906
2000-09-15,2000Z,2001H,0.8649,0.8690000000000001,0.8594,0.8596,24010.0,69412.0,0.0095,-0.010531,-0.010487999999999999
2000-09-18,2000Z,2001H,0.8576,0.8603,0.8554,0.8578,13539.0,71824.0,0.009000000000000001,-0.002096,-0.002088
2000-09-19,2000Z,2001H,0.8581,0.8604,0.8515,0.8553,10161.0,72625.0,0.0092,-0.002919,-0.002907
2000-09-20,2000Z,2001H,0.851,0.8552,0.8478,0.8516,15474.0,73817.0,0.0092,-0.004335,-0.004318
2000-09-21,2000Z,2001H,0.8562,0.8631,0.8545,0.8619,13883.0,75522.0,0.0097,0.012022,0.011973000000000001
2000-09-22,2000Z,2001H,0.8937,0.8945,0.8813,0.8826,24269.0,69695.0,0.0134,0.023733,0.023750999999999998
2000-09-25,2000Z,2001H,0.8793,0.8805,0.8748,0.8763,9148.0,67796.0,0.0125,-0.007164,-0.007134000000000001
2000-09-26,2000Z,2001H,0.8793,0.8868,0.8792,0.8857,15961.0,65452.0,0.0123,0.01067,0.010626
2000-09-27,2000Z,2001H,0.8896,0.8905,0.8817,0.8869,14731.0,66308.0,0.0119,0.001354,0.001348
2000-09-28,2000Z,2001H,0.8863,0.8898,0.884,0.8851,8997.0,66839.0,0.0112,-0.002032,-0.002023
2000-09-29,2000Z,2001H,0.8793,0.8883,0.8786,0.8854,14927.0,67639.0,0.0111,0.000339,0.000338
2000-10-02,2000Z,2001H,0.8839,0.8857,0.8813,0.8817,9259.0,67040.0,0.0103,-0.004188,-0.004171
2000-10-03,2000Z,2001H,0.8794,0.8806,0.8762,0.8773,7352.0,66602.0,0.0096,-0.0050030000000000005,-0.004982
2000-10-04,2000Z,2001H,0.877,0.8793,0.8748,0.8778,7966.0,66686.0,0.009000000000000001,0.00057,0.000567
2000-10-05,2000Z,2001H,0.8811,0.8816,0.8709,0.8721,18433.0,67532.0,0.0095,-0.006515000000000001,-0.006488
