date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,93.795,93.8,93.765,93.78,52952.0,504240.0,0.0003,-0.000586,-0.0008560000000000001
2000-01-04,2000H,2000M,93.79,93.81,93.765,93.795,70725.0,512704.0,0.0004,0.00016,0.000535
2000-01-05,2000M,2000N,93.465,93.505,93.435,93.45,109879.0,454773.0,0.0006,-0.000481,0.0
2000-01-06,2000M,2000N,93.48,93.49,93.45,93.47,58064.0,449719.0,0.0006,0.00021400000000000002,0.0
2000-01-07,2000M,2000N,93.48,93.52,93.4,93.51,103997.0,471483.0,0.0007,0.00042800000000000005,0.0
2000-01-10,2000M,2000N,93.48,93.49,93.47,93.48,36897.0,469593.0,0.0006,-0.000321,0.0
2000-01-11,2000M,2000N,93.445,93.45,93.4,93.41,91974.0,472198.0,0.0006,-0.000749,0.0
2000-01-12,2000M,2000N,93.415,93.42,93.38,93.39,98505.0,463789.0,0.0006,-0.00021400000000000002,0.0
2000-01-13,2000M,2000U,93.405,93.45,93.4,93.43,108882.0,461732.0,0.0006,0.00042800000000000005,0.00059
2000-01-14,2000M,2000U,93.425,93.48,93.39,93.415,130292.0,462186.0,0.0006,-0.000161,-0.000215
2000-01-18,2000M,2000U,93.41,93.43,93.39,93.41,69848.0,459455.0,0.0006,-5.4000000000000005e-05,-0.00010700000000000001
2000-01-19,2000M,2000U,93.44,93.445,93.42,93.42,67748.0,457488.0,0.0006,0.00010700000000000001,0.000161
2000-01-20,2000M,2000U,93.405,93.465,93.4,93.435,86230.0,450055.0,0.0006,0.000161,5.4000000000000005e-05
2000-01-21,2000M,2000U,93.44,93.47,93.425,93.455,56256.0,451796.0,0.0006,0.00021400000000000002,0.00010700000000000001
2000-01-24,2000M,2000U,93.46,93.49,93.46,93.48,66337.0,451440.0,0.0005,0.000267,0.000375
2000-01-25,2000M,2000U,93.475,93.485,93.46,93.475,61303.0,454484.0,0.0005,-5.3e-05,-5.4000000000000005e-05
2000-01-26,2000M,2000U,93.475,93.49,93.45,93.46,53886.0,451158.0,0.0005,-0.00016,-0.000215
2000-01-27,2000M,2000U,93.46,93.465,93.42,93.445,70570.0,445889.0,0.0005,-0.000161,-0.000376
2000-01-28,2000U,2000V,93.165,93.165,93.005,93.06,212259.0,396865.0,0.0007,-0.001181,0.0
2000-01-31,2000U,2000V,93.04,93.055,93.01,93.02,109239.0,388125.0,0.0007,-0.00043,0.0
2000-02-01,2000U,2000V,93.05,93.07,93.035,93.035,105444.0,395078.0,0.0007,0.000161,0.0
2000-02-02,2000U,2000V,93.04,93.055,92.96,92.975,136321.0,408952.0,0.0007,-0.0006450000000000001,0.0
2000-02-03,2000U,2000V,92.99,93.095,92.945,93.005,195056.0,417915.0,0.0008,0.000323,0.0
2000-02-04,2000U,2000V,93.025,93.045,92.96,92.975,122029.0,423880.0,0.0009,-0.000323,0.0
2000-02-07,2000U,2000V,92.955,92.98,92.95,92.965,60444.0,424275.0,0.0008,-0.00010800000000000001,0.0
2000-02-08,2000U,2000V,92.98,93.03,92.98,93.0,87905.0,429072.0,0.0008,0.000376,0.0
2000-02-09,2000U,2000V,93.0,93.01,92.97,92.995,94915.0,429304.0,0.0007,-5.4000000000000005e-05,0.0
2000-02-10,2000U,2000V,93.015,93.045,93.005,93.025,86759.0,432337.0,0.0007,0.000323,0.0
2000-02-11,2000U,2000V,93.03,93.065,93.02,93.05,85386.0,436305.0,0.0007,0.000269,0.0
2000-02-14,2000U,2000V,93.055,93.085,93.05,93.08,62884.0,442831.0,0.0006,0.000322,0.0
2000-02-15,2000U,2000V,93.07,93.085,93.055,93.07,59557.0,439254.0,0.0006,-0.00010700000000000001,0.0
2000-02-16,2000U,2000V,93.045,93.06,93.035,93.05,55641.0,437409.0,0.0005,-0.000215,0.0
2000-02-17,2000U,2000V,93.055,93.075,92.935,92.96,184717.0,448219.0,0.0007,-0.000968,0.0
2000-02-18,2000U,2000V,92.955,92.975,92.93,92.965,85690.0,449728.0,0.0007,5.4000000000000005e-05,0.0
2000-02-22,2000U,2000V,93.005,93.11,93.0,93.09,189588.0,462197.0,0.0008,0.001344,0.0
2000-02-23,2000U,2000V,93.045,93.065,93.01,93.025,93403.0,450203.0,0.0007,-0.000698,0.0
2000-02-24,2000U,2000V,93.055,93.16,93.035,93.145,213327.0,453937.0,0.0008,0.001289,0.0
2000-02-25,2000U,2000V,93.12,93.275,93.095,93.255,282262.0,436928.0,0.001,0.00118,0.0
2000-02-28,2000U,2000V,93.24,93.245,93.19,93.195,159457.0,425249.0,0.0009,-0.000644,0.0
2000-02-29,2000U,2000V,93.18,93.195,93.155,93.17,109507.0,418319.0,0.0009,-0.000268,0.0
2000-03-01,2000U,2000V,93.18,93.2,93.165,93.19,108539.0,415077.0,0.0008,0.000215,0.0
2000-03-02,2000U,2000V,93.175,93.185,93.155,93.175,102773.0,417923.0,0.0007,-0.000161,0.0
2000-03-03,2000U,2000V,93.175,93.26,93.155,93.195,178664.0,431379.0,0.0008,0.000215,0.0
2000-03-06,2000U,2000V,93.175,93.18,93.12,93.145,104653.0,429185.0,0.0008,-0.000537,0.0
2000-03-07,2000U,2000V,93.135,93.195,93.11,93.175,147754.0,425614.0,0.0008,0.000322,0.0
2000-03-08,2000U,2000V,93.17,93.195,93.15,93.17,103943.0,423253.0,0.0007,-5.4000000000000005e-05,0.0
2000-03-09,2000U,2000V,93.18,93.2,93.17,93.18,76960.0,429985.0,0.0007,0.00010700000000000001,0.0
2000-03-10,2000U,2000V,93.165,93.165,93.13,93.14,87044.0,432241.0,0.0006,-0.000429,0.0
2000-03-13,2000U,2000V,93.185,93.2,93.14,93.15,84701.0,441037.0,0.0006,0.00010700000000000001,0.0
2000-03-14,2000U,2000V,93.125,93.165,93.1,93.15,111015.0,455150.0,0.0007,0.0,0.0
2000-03-15,2000U,2000V,93.145,93.175,93.13,93.145,94365.0,455127.0,0.0006,-5.4000000000000005e-05,0.0
2000-03-16,2000U,2000V,93.135,93.155,93.11,93.145,85086.0,456417.0,0.0006,0.0,0.0
2000-03-17,2000U,2000V,93.14,93.175,93.12,93.145,88207.0,457104.0,0.0006,0.0,0.0
2000-03-20,2000U,2000V,93.135,93.145,93.13,93.135,36091.0,454146.0,0.0005,-0.00010700000000000001,0.0
2000-03-21,2000U,2000V,93.14,93.16,93.135,93.15,62855.0,452562.0,0.0005,0.000161,0.0
2000-03-22,2000U,2000V,93.155,93.18,93.15,93.17,73474.0,464244.0,0.0005,0.000215,0.0
2000-03-23,2000U,2000V,93.19,93.225,93.13,93.135,158026.0,478704.0,0.0006,-0.000376,0.0
2000-03-24,2000U,2000V,93.08,93.095,93.0,93.005,207196.0,482808.0,0.0006,-0.001397,0.0
2000-03-27,2000U,2000V,92.995,92.995,92.95,92.975,139708.0,495187.0,0.0006,-0.000323,0.0
2000-03-28,2000U,2000V,92.98,93.025,92.98,92.99,95540.0,495310.0,0.0006,0.000161,0.0
2000-03-29,2000U,2000V,93.005,93.025,93.0,93.01,71981.0,488597.0,0.0006,0.000215,0.0
2000-03-30,2000U,2000V,93.05,93.07,93.025,93.065,118786.0,492525.0,0.0006,0.000591,0.0
2000-03-31,2000U,2000V,93.055,93.08,93.04,93.06,71989.0,486061.0,0.0006,-5.4000000000000005e-05,0.0
2000-04-03,2000U,2000V,93.06,93.085,93.045,93.08,82392.0,499718.0,0.0005,0.000215,0.0
2000-04-04,2000U,2000V,93.055,93.34,93.045,93.285,302455.0,511532.0,0.0009,0.0022,0.0
2000-04-05,2000U,2000V,93.245,93.33,93.18,93.205,285004.0,505778.0,0.001,-0.000858,0.0
2000-04-06,2000U,2000V,93.19,93.2,93.155,93.195,133127.0,477287.0,0.0009,-0.00010700000000000001,0.0
2000-04-07,2000U,2000V,93.175,93.22,93.16,93.195,99551.0,478983.0,0.0009,0.0,0.0
2000-04-10,2000U,2000V,93.195,93.225,93.19,93.22,42498.0,477386.0,0.0008,0.000268,0.0
2000-04-11,2000U,2000V,93.245,93.28,93.18,93.2,164304.0,465742.0,0.0008,-0.000215,0.0
2000-04-12,2000U,2000V,93.2,93.225,93.165,93.195,98472.0,461178.0,0.0008,-5.4000000000000005e-05,0.0
2000-04-13,2000U,2000V,93.195,93.215,93.155,93.21,141223.0,463368.0,0.0008,0.000161,0.0
2000-04-14,2000U,2000Z,93.2,93.25,93.155,93.24,255488.0,502327.0,0.0008,0.000322,0.0006450000000000001
2000-04-17,2000U,2000Z,93.235,93.29,93.225,93.245,136064.0,498966.0,0.0008,5.4000000000000005e-05,0.000215
2000-04-18,2000U,2000Z,93.235,93.255,93.23,93.245,86175.0,496304.0,0.0007,0.0,-0.00010700000000000001
2000-04-19,2000U,2000Z,93.235,93.24,93.21,93.23,80769.0,495555.0,0.0007,-0.000161,-0.000269
2000-04-20,2000U,2000Z,93.22,93.225,93.195,93.21,48386.0,497941.0,0.0006,-0.000215,-0.000269
2000-04-24,2000U,2000Z,93.225,93.245,93.215,93.22,39186.0,504209.0,0.0006,0.00010700000000000001,0.00010700000000000001
2000-04-25,2000U,2000Z,93.18,93.185,93.11,93.115,124870.0,513280.0,0.0006,-0.001127,-0.001398
2000-04-26,2000U,2000Z,93.115,93.13,93.095,93.11,101738.0,511671.0,0.0006,-5.4000000000000005e-05,-0.00010800000000000001
2000-04-27,2000U,2000Z,93.09,93.095,92.955,92.965,297237.0,525682.0,0.0007,-0.001559,-0.0017230000000000001
2000-04-28,2000U,2000Z,92.935,92.95,92.885,92.895,201954.0,546496.0,0.0007,-0.000753,-0.000593
2000-05-01,2000U,2000Z,92.9,92.915,92.895,92.9,67502.0,543724.0,0.0006,5.4000000000000005e-05,-5.4000000000000005e-05
2000-05-02,2000U,2000Z,92.885,92.92,92.885,92.895,65698.0,545447.0,0.0006,-5.4000000000000005e-05,-0.00021600000000000002
2000-05-03,2000U,2000Z,92.865,92.9,92.83,92.835,121733.0,562320.0,0.0006,-0.000646,-0.0007559999999999999
2000-05-04,2000U,2000Z,92.82,92.875,92.795,92.815,150894.0,567922.0,0.0007,-0.000215,-0.00048600000000000005
2000-05-05,2000U,2000Z,92.84,92.85,92.755,92.76,160835.0,571649.0,0.0007,-0.000593,-0.000865
2000-05-08,2000U,2000Z,92.785,92.785,92.75,92.76,66721.0,569785.0,0.0007,0.0,-0.00021600000000000002
2000-05-09,2000U,2000Z,92.775,92.805,92.77,92.795,81595.0,563283.0,0.0006,0.000377,0.000541
2000-05-10,2000U,2000Z,92.805,92.85,92.805,92.81,88032.0,562852.0,0.0006,0.000162,0.00037799999999999997
2000-05-11,2000U,2000Z,92.83,92.86,92.78,92.81,89039.0,557017.0,0.0007,0.0,0.0
2000-05-12,2000U,2000Z,92.785,92.8,92.71,92.73,127303.0,577428.0,0.0007,-0.0008619999999999999,-0.0010810000000000001
2000-05-15,2000U,2000Z,92.735,92.75,92.71,92.74,63227.0,569960.0,0.0007,0.00010800000000000001,0.00010800000000000001
2000-05-16,2000U,2000Z,92.755,92.77,92.68,92.695,129138.0,586386.0,0.0007,-0.00048499999999999997,-5.4000000000000005e-05
2000-05-17,2000U,2000Z,92.645,92.66,92.61,92.645,127176.0,602658.0,0.0007,-0.00054,-0.000541
2000-05-18,2000U,2000Z,92.65,92.655,92.625,92.635,93283.0,595281.0,0.0006,-0.00010800000000000001,-0.00021600000000000002
2000-05-19,2000U,2000Z,92.665,92.71,92.665,92.7,91746.0,575824.0,0.0007,0.000701,0.000866
2000-05-22,2000U,2000Z,92.715,92.8,92.71,92.76,134051.0,574135.0,0.0007,0.000647,0.000433
2000-05-23,2000U,2000Z,92.73,92.75,92.715,92.74,84309.0,571206.0,0.0007,-0.00021600000000000002,-0.000324
2000-05-24,2000U,2000Z,92.75,92.78,92.72,92.735,92657.0,572287.0,0.0007,-5.4000000000000005e-05,-0.000324
2000-05-25,2000U,2000Z,92.71,92.77,92.695,92.76,78387.0,579792.0,0.0007,0.00027,0.000433
2000-05-26,2000U,2000Z,92.74,92.77,92.735,92.765,65834.0,578992.0,0.0006,5.4000000000000005e-05,0.000162
2000-05-30,2000U,2000Z,92.725,92.745,92.7,92.705,62282.0,576299.0,0.0006,-0.000647,-0.000865
2000-05-31,2000U,2000Z,92.695,92.745,92.685,92.72,89629.0,572443.0,0.0006,0.000162,0.000325
2000-06-01,2000U,2000Z,92.73,92.805,92.72,92.785,150442.0,566140.0,0.0007,0.000701,0.001243
2000-06-02,2000U,2000Z,92.79,92.96,92.78,92.92,258032.0,566712.0,0.0008,0.001454,0.001997
2000-06-05,2000U,2000Z,92.935,92.985,92.93,92.98,94296.0,563994.0,0.0008,0.000646,0.000808
2000-06-06,2000U,2000Z,92.96,92.97,92.925,92.965,101543.0,565942.0,0.0008,-0.000161,-0.000323
2000-06-07,2000U,2000Z,92.95,92.965,92.94,92.945,63144.0,565044.0,0.0007,-0.000215,-0.000269
2000-06-08,2000U,2000Z,92.91,92.93,92.89,92.925,83149.0,564935.0,0.0007,-0.000215,-0.000323
2000-06-09,2000U,2000Z,92.92,92.945,92.91,92.925,56980.0,570846.0,0.0006,0.0,-0.00010800000000000001
2000-06-12,2000U,2000Z,92.925,92.975,92.925,92.965,56802.0,587768.0,0.0006,0.00043,0.00021600000000000002
2000-06-13,2000U,2000Z,92.965,93.04,92.955,93.025,164812.0,598626.0,0.0007,0.0006450000000000001,0.000916
2000-06-14,2000U,2000Z,93.025,93.06,93.02,93.05,133196.0,606010.0,0.0006,0.000269,0.00048499999999999997
2000-06-15,2000U,2000Z,93.03,93.055,93.01,93.045,94131.0,617486.0,0.0006,-5.4000000000000005e-05,-0.00010800000000000001
2000-06-16,2000U,2000Z,93.04,93.105,93.04,93.095,142599.0,629658.0,0.0006,0.000537,0.0007
2000-06-19,2000U,2000Z,93.095,93.1,93.065,93.075,76071.0,625571.0,0.0006,-0.000215,-0.000323
2000-06-20,2000U,2000Z,93.07,93.07,93.045,93.05,65826.0,632161.0,0.0005,-0.000269,-0.00043099999999999996
2000-06-21,2000U,2000Z,93.035,93.04,93.02,93.025,61536.0,631657.0,0.0005,-0.000269,-0.00048499999999999997
2000-06-22,2000U,2000Z,93.02,93.05,93.015,93.02,56901.0,626557.0,0.0005,-5.4000000000000005e-05,-5.4000000000000005e-05
2000-06-23,2000U,2000Z,93.03,93.035,93.01,93.02,47322.0,625718.0,0.0005,0.0,-0.00010800000000000001
2000-06-26,2000U,2000Z,93.025,93.035,93.015,93.025,39093.0,620784.0,0.0004,5.4000000000000005e-05,0.000323
2000-06-27,2000U,2000Z,93.025,93.035,93.02,93.025,42795.0,622020.0,0.0004,0.0,0.0
2000-06-28,2000U,2000Z,93.025,93.05,93.02,93.045,76879.0,628035.0,0.0004,0.000215,5.4000000000000005e-05
2000-06-29,2000U,2000Z,93.055,93.08,93.05,93.065,71074.0,622522.0,0.0004,0.000215,0.00043099999999999996
2000-06-30,2000U,2000Z,93.075,93.08,93.055,93.065,44756.0,610146.0,0.0004,0.0,0.0
2000-07-03,2000U,2000Z,93.06,93.135,93.055,93.13,53910.0,610419.0,0.0004,0.000698,0.000915
2000-07-05,2000U,2000Z,93.16,93.19,93.155,93.17,92087.0,609422.0,0.0005,0.000429,0.000591
2000-07-06,2000U,2000Z,93.155,93.16,93.145,93.155,65551.0,606643.0,0.0004,-0.000161,-0.000376
2000-07-07,2000U,2000Z,93.15,93.22,93.145,93.2,140737.0,611721.0,0.0005,0.00048300000000000003,0.000753
2000-07-10,2000U,2000Z,93.19,93.19,93.17,93.18,47982.0,608958.0,0.0004,-0.000215,-0.000269
2000-07-11,2000U,2000Z,93.165,93.195,93.16,93.17,48672.0,605033.0,0.0004,-0.00010700000000000001,-0.000161
2000-07-12,2000U,2000Z,93.165,93.175,93.155,93.17,55858.0,601447.0,0.0004,0.0,-0.000161
2000-07-13,2000U,2000Z,93.175,93.185,93.17,93.18,48411.0,604130.0,0.0004,0.00010700000000000001,0.000269
2000-07-14,2000U,2000Z,93.185,93.23,93.14,93.15,96073.0,607047.0,0.0004,-0.000322,-0.000699
2000-07-17,2000U,2000Z,93.15,93.155,93.12,93.13,57549.0,619133.0,0.0004,-0.000215,-0.000215
2000-07-18,2000U,2000Z,93.135,93.15,93.12,93.13,54228.0,617850.0,0.0004,0.0,-0.00010800000000000001
2000-07-19,2000Z,2001F,92.91,92.93,92.895,92.925,49098.0,545697.0,0.0006,0.0,-0.00010800000000000001
2000-07-20,2000Z,2001F,92.915,93.065,92.9,93.045,125312.0,545404.0,0.0007,0.001291,0.0006450000000000001
2000-07-21,2000Z,2001F,93.04,93.07,93.03,93.055,53007.0,541520.0,0.0007,0.00010700000000000001,0.000215
2000-07-24,2000Z,2001F,93.03,93.04,93.02,93.035,23601.0,536401.0,0.0006,-0.000215,0.0
2000-07-25,2000Z,2001F,93.05,93.06,93.03,93.045,31390.0,537500.0,0.0006,0.00010700000000000001,0.000161
2000-07-26,2000Z,2001F,93.045,93.06,93.04,93.045,26681.0,544083.0,0.0005,0.0,0.0
2000-07-27,2000Z,2001F,93.045,93.075,92.995,93.06,83803.0,547774.0,0.0006,0.000161,0.000161
2000-07-28,2000Z,2001H,93.045,93.05,92.97,93.025,116101.0,550028.0,0.0006,-0.000376,-0.000376
2000-07-31,2000Z,2001H,92.995,93.01,92.98,92.995,42546.0,550141.0,0.0006,-0.000323,-0.000215
2000-08-01,2000Z,2001H,92.995,93.025,92.995,93.015,54159.0,554483.0,0.0005,0.000215,0.000322
2000-08-02,2001H,2001J,93.055,93.105,93.055,93.095,99824.0,451044.0,0.0006,0.00043,0.0
2000-08-03,2001H,2001J,93.125,93.16,93.12,93.125,103905.0,454569.0,0.0006,0.000322,0.0
2000-08-04,2001H,2001J,93.13,93.215,93.125,93.2,146667.0,472663.0,0.0007,0.000805,0.0
2000-08-07,2001H,2001J,93.19,93.195,93.175,93.18,41571.0,456397.0,0.0006,-0.000215,0.0
2000-08-08,2001H,2001J,93.185,93.23,93.18,93.22,77889.0,460136.0,0.0006,0.000429,0.0
2000-08-09,2001H,2001J,93.21,93.235,93.195,93.23,68275.0,470923.0,0.0006,0.00010700000000000001,0.0
2000-08-10,2001H,2001J,93.235,93.26,93.23,93.255,70402.0,477158.0,0.0005,0.000268,0.0
2000-08-11,2001H,2001J,93.25,93.26,93.15,93.17,140837.0,476811.0,0.0006,-0.0009119999999999999,0.0
2000-08-14,2001H,2001J,93.16,93.18,93.15,93.175,58935.0,480861.0,0.0006,5.4000000000000005e-05,0.0
2000-08-15,2001H,2001J,93.16,93.18,93.155,93.175,70335.0,488562.0,0.0005,0.0,0.0
2000-08-16,2001H,2001J,93.17,93.18,93.135,93.155,96348.0,491856.0,0.0005,-0.000215,0.0
2000-08-17,2001H,2001J,93.15,93.165,93.14,93.155,43928.0,492154.0,0.0005,0.0,0.0
2000-08-18,2001H,2001J,93.155,93.21,93.14,93.195,65983.0,497331.0,0.0005,0.000429,0.0
2000-08-21,2001H,2001J,93.19,93.195,93.18,93.19,23542.0,496121.0,0.0005,-5.4000000000000005e-05,0.0
2000-08-22,2001H,2001J,93.195,93.195,93.15,93.17,69093.0,498556.0,0.0005,-0.000215,0.0
2000-08-23,2001H,2001J,93.185,93.225,93.185,93.21,81737.0,501480.0,0.0005,0.000429,0.0
2000-08-24,2001H,2001J,93.235,93.255,93.215,93.24,95766.0,501560.0,0.0005,0.000322,0.0
2000-08-25,2001H,2001J,93.23,93.25,93.215,93.24,58137.0,503255.0,0.0005,0.0,0.0
2000-08-28,2001H,2001J,93.23,93.23,93.195,93.2,36059.0,500649.0,0.0005,-0.000429,0.0
2000-08-29,2001H,2001J,93.2,93.2,93.175,93.18,81540.0,504997.0,0.0004,-0.000215,0.0
2000-08-30,2001H,2001J,93.175,93.21,93.165,93.2,70794.0,505572.0,0.0004,0.000215,0.0
2000-08-31,2001H,2001J,93.21,93.275,93.19,93.25,123037.0,512694.0,0.0005,0.000536,0.0
2000-09-01,2001H,2001J,93.26,93.365,93.26,93.36,220018.0,540828.0,0.0006,0.001179,0.0
2000-09-05,2001H,2001J,93.33,93.355,93.325,93.345,104470.0,536400.0,0.0006,-0.000161,0.0
2000-09-06,2001H,2001J,93.335,93.34,93.305,93.315,92299.0,537938.0,0.0005,-0.000321,0.0
2000-09-07,2001H,2001J,93.305,93.34,93.295,93.305,86867.0,526965.0,0.0005,-0.00010700000000000001,0.0
2000-09-08,2001H,2001J,93.315,93.34,93.315,93.335,51713.0,528117.0,0.0005,0.000321,0.0
2000-09-11,2001H,2001J,93.32,93.33,93.305,93.33,49074.0,526298.0,0.0005,-5.4000000000000005e-05,0.0
2000-09-12,2001H,2001J,93.335,93.35,93.325,93.34,73448.0,530436.0,0.0005,0.00010700000000000001,0.0
2000-09-13,2001H,2001J,93.345,93.385,93.34,93.375,100820.0,540088.0,0.0005,0.000375,0.0
2000-09-14,2001H,2001J,93.38,93.41,93.365,93.385,134300.0,533563.0,0.0005,0.00010700000000000001,0.0
2000-09-15,2001H,2001J,93.39,93.435,93.385,93.41,144191.0,547832.0,0.0005,0.000268,0.0
2000-09-18,2001H,2001J,93.425,93.475,93.415,93.45,90425.0,527040.0,0.0005,0.00042800000000000005,0.0
2000-09-19,2001H,2001J,93.47,93.475,93.415,93.43,122658.0,530238.0,0.0005,-0.00021400000000000002,0.0
2000-09-20,2001H,2001J,93.43,93.465,93.4,93.405,153253.0,539849.0,0.0005,-0.000268,0.0
2000-09-21,2001H,2001J,93.425,93.43,93.39,93.415,90691.0,549838.0,0.0005,0.00010700000000000001,0.0
2000-09-22,2001H,2001J,93.475,93.485,93.445,93.445,96480.0,548178.0,0.0006,0.000321,0.0
2000-09-25,2001H,2001J,93.42,93.43,93.4,93.42,56898.0,542493.0,0.0005,-0.000268,0.0
2000-09-26,2001H,2001J,93.415,93.445,93.405,93.435,71421.0,540636.0,0.0005,0.000161,0.0
2000-09-27,2001H,2001J,93.4,93.44,93.385,93.435,88111.0,545831.0,0.0005,0.0,0.0
2000-09-28,2001H,2001J,93.435,93.45,93.42,93.43,66189.0,546583.0,0.0005,-5.4000000000000005e-05,0.0
2000-09-29,2001H,2001J,93.45,93.485,93.435,93.46,86271.0,537276.0,0.0005,0.000321,0.0
2000-10-02,2001H,2001J,93.455,93.475,93.445,93.46,66637.0,529573.0,0.0005,0.0,0.0
2000-10-03,2001H,2001J,93.46,93.47,93.42,93.43,92682.0,528494.0,0.0005,-0.000321,0.0
2000-10-04,2001H,2001J,93.45,93.46,93.42,93.425,85300.0,531853.0,0.0005,-5.4000000000000005e-05,0.0
2000-10-05,2001H,2001J,93.42,93.43,93.4,93.425,77025.0,523795.0,0.0005,0.0,0.0
2000-10-06,2001H,2001J,93.43,93.435,93.37,93.425,161396.0,525176.0,0.0005,0.0,0.0
2000-10-10,2001H,2001J,93.415,93.445,93.405,93.435,66806.0,520935.0,0.0005,0.00010700000000000001,0.0
2000-10-11,2001H,2001J,93.465,93.49,93.45,93.46,101940.0,516163.0,0.0005,0.000268,0.0
2000-10-12,2001H,2001J,93.45,93.575,93.44,93.56,193101.0,524326.0,0.0006,0.0010689999999999999,0.0
2000-10-13,2001H,2001J,93.58,93.59,93.53,93.545,94309.0,508147.0,0.0006,-0.00016,0.0
2000-10-16,2001H,2001J,93.515,93.535,93.5,93.525,48407.0,505497.0,0.0006,-0.00021400000000000002,0.0
2000-10-17,2001H,2001J,93.505,93.58,93.5,93.57,69544.0,509463.0,0.0006,0.000481,0.00042800000000000005
2000-10-18,2001H,2001J,93.58,93.67,93.57,93.575,169160.0,511970.0,0.0007,5.3e-05,0.000321
2000-10-19,2001H,2001J,93.545,93.61,93.52,93.555,110575.0,513349.0,0.0007,-0.00021400000000000002,0.0
2000-10-20,2001H,2001J,93.56,93.585,93.555,93.57,57391.0,502382.0,0.0007,0.00016,0.0
2000-10-23,2001H,2001J,93.575,93.595,93.56,93.585,57433.0,498454.0,0.0006,0.00016,5.3e-05
2000-10-24,2001H,2001J,93.565,93.57,93.53,93.56,67850.0,508220.0,0.0006,-0.000267,-0.00016
2000-10-25,2001H,2001J,93.57,93.595,93.52,93.535,80808.0,508491.0,0.0006,-0.000267,-0.00021400000000000002
2000-10-26,2001H,2001J,93.515,93.545,93.5,93.52,92713.0,514332.0,0.0006,-0.00016,0.0
2000-10-27,2001H,2001J,93.51,93.535,93.46,93.47,119417.0,518729.0,0.0006,-0.000535,-0.000641
2000-10-30,2001H,2001J,93.475,93.48,93.455,93.465,66495.0,513364.0,0.0006,-5.3e-05,-0.00010700000000000001
2000-10-31,2001H,2001J,93.47,93.5,93.465,93.485,80174.0,509807.0,0.0006,0.00021400000000000002,0.0
2000-11-01,2001H,2001J,93.505,93.525,93.5,93.515,60235.0,512792.0,0.0005,0.000321,0.00021400000000000002
2000-11-02,2001H,2001J,93.52,93.525,93.505,93.52,57142.0,507195.0,0.0005,5.3e-05,0.00010700000000000001
2000-11-03,2001H,2001J,93.525,93.55,93.47,93.48,101585.0,512170.0,0.0005,-0.00042800000000000005,-0.00021400000000000002
2000-11-06,2001H,2001J,93.475,93.48,93.425,93.43,70574.0,510641.0,0.0006,-0.000535,-0.00010700000000000001
2000-11-07,2001H,2001J,93.425,93.455,93.42,93.43,89849.0,505776.0,0.0005,0.0,-0.000267
2000-11-08,2001H,2001J,93.415,93.44,93.41,93.43,50450.0,501429.0,0.0005,0.0,0.0
