date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000F,2000G,94.56,94.56,94.545,94.55,2349.0,10755.0,0.0003,-5.3e-05,-0.000212
2000-01-04,2000F,2000G,94.57,94.58,94.57,94.575,1554.0,10542.0,0.0003,0.000264,0.00015900000000000002
2000-01-05,2000F,2000G,94.575,94.59,94.575,94.585,1941.0,9932.0,0.0003,0.000106,-0.000212
2000-01-06,2000F,2000G,94.59,94.595,94.57,94.58,1990.0,9893.0,0.0003,-5.3e-05,0.00015900000000000002
2000-01-07,2000F,2000G,94.57,94.575,94.56,94.565,1575.0,10196.0,0.0003,-0.00015900000000000002,0.000106
2000-01-10,2000F,2000G,94.54,94.55,94.54,94.55,745.0,9958.0,0.0002,-0.00015900000000000002,-0.000106
2000-01-11,2000F,2000G,94.545,94.545,94.525,94.545,1200.0,9831.0,0.0002,-5.3e-05,-0.00015900000000000002
2000-01-12,2000F,2000G,94.545,94.57,94.545,94.56,963.0,9317.0,0.0002,0.00015900000000000002,0.0
2000-01-13,2000G,2000H,94.195,94.2,94.19,94.195,1387.0,7886.0,0.0002,0.000106,0.000106
2000-01-14,2000G,2000H,94.185,94.225,94.185,94.215,3312.0,7655.0,0.0003,0.000212,0.00015900000000000002
2000-01-18,2000G,2000H,94.215,94.215,94.21,94.21,810.0,8095.0,0.0002,-5.3e-05,0.0
2000-01-19,2000G,2000H,94.22,94.225,94.215,94.22,1192.0,8167.0,0.0002,0.000106,0.000106
2000-01-20,2000G,2000H,94.22,94.225,94.215,94.22,651.0,8158.0,0.0002,0.0,0.0
2000-01-21,2000G,2000H,94.22,94.22,94.215,94.22,674.0,8301.0,0.0002,0.0,0.0
2000-01-24,2000G,2000H,94.22,94.225,94.215,94.22,983.0,8553.0,0.0002,0.0,5.3e-05
2000-01-25,2000G,2000H,94.22,94.225,94.22,94.22,627.0,8494.0,0.0002,0.0,0.0
2000-01-26,2000G,2000H,94.22,94.225,94.215,94.215,1179.0,8459.0,0.0001,-5.3e-05,0.0
2000-01-27,2000G,2000H,94.22,94.22,94.21,94.215,1255.0,8766.0,0.0001,0.0,0.0
2000-01-28,2000G,2000H,94.21,94.215,94.185,94.195,4821.0,9383.0,0.0002,-0.000212,-0.00037200000000000004
2000-01-31,2000G,2000H,94.195,94.195,94.17,94.175,3056.0,10579.0,0.0002,-0.000212,-0.000213
2000-02-01,2000G,2000J,94.18,94.195,94.175,94.19,3748.0,12036.0,0.0002,0.00015900000000000002,0.0
2000-02-02,2000G,2000J,94.185,94.24,94.17,94.24,12030.0,14100.0,0.0003,0.000531,0.0
2000-02-03,2000G,2000J,94.24,94.25,94.24,94.245,7189.0,14716.0,0.0002,5.3e-05,0.000319
