date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000G,2000M,283.2,284.1,280.0,283.7,30697.0,67965.0,0.0102,-0.020583,-0.020981
2000-01-05,2000G,2000M,282.8,283.0,281.0,282.1,21621.0,67505.0,0.0098,-0.0056560000000000004,-0.005577
2000-01-06,2000G,2000M,281.3,282.8,280.2,282.4,25448.0,68731.0,0.0098,0.0010630000000000001,0.001397
2000-01-07,2000G,2000M,284.2,284.5,282.0,282.9,19055.0,66778.0,0.0097,0.0017690000000000002,0.001744
2000-01-10,2000G,2000M,282.8,283.9,282.4,282.7,11266.0,64731.0,0.0091,-0.0007070000000000001,-0.000697
2000-01-11,2000G,2000M,282.3,285.3,281.9,284.4,30603.0,64629.0,0.0095,0.005995,0.006603
2000-01-12,2000G,2000M,283.2,284.1,282.5,283.7,13500.0,66815.0,0.009000000000000001,-0.002464,-0.0020800000000000003
2000-01-13,2000G,2000M,283.2,285.9,283.0,285.1,17841.0,63824.0,0.0091,0.004922999999999999,0.005193
2000-01-14,2000G,2000M,285.2,285.3,284.0,284.9,12171.0,55526.0,0.0085,-0.0007019999999999999,0.0
2000-01-18,2000G,2000M,287.9,289.8,285.9,289.6,32339.0,53023.0,0.0096,0.016362,0.016439
2000-01-19,2000G,2000M,289.3,290.7,287.5,290.3,28615.0,50387.0,0.0098,0.002414,0.0027140000000000003
2000-01-20,2000G,2000M,289.0,290.1,288.7,289.3,24097.0,46206.0,0.0091,-0.0034509999999999996,-0.003053
2000-01-21,2000G,2000M,287.9,290.3,287.4,289.7,20707.0,45162.0,0.0092,0.001382,0.001019
2000-01-24,2000G,2000M,287.7,288.3,286.9,288.1,25726.0,37716.0,0.0086,-0.005538,-0.005787
2000-01-25,2000G,2000M,290.7,291.0,286.6,286.6,32140.0,33544.0,0.0095,-0.005220000000000001,-0.005478
2000-01-26,2000G,2000M,286.0,287.5,285.3,286.5,36122.0,19963.0,0.0093,-0.000349,0.000686
2000-01-27,2000G,2000M,287.0,287.3,285.6,287.1,19633.0,12731.0,0.0088,0.002092,0.002398
2000-01-28,2000J,2000M,289.2,290.7,283.0,286.0,39718.0,52670.0,0.0116,-0.013544,-0.013090000000000001
2000-01-31,2000J,2000M,286.8,287.4,285.6,286.2,15193.0,52652.0,0.0109,0.000699,0.0010400000000000001
2000-02-01,2000J,2000M,286.2,286.4,285.0,285.4,13450.0,53391.0,0.0101,-0.002799,-0.002775
