date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000G,2000H,0.6659999999999999,0.6829999999999999,0.654,0.6778,25311.0,55507.0,0.0262,-0.001327,0.005484
2000-01-05,2000G,2000H,0.6679999999999999,0.679,0.665,0.6655,18691.0,53242.0,0.0256,-0.018313999999999997,-0.017005000000000003
2000-01-06,2000G,2000H,0.6579999999999999,0.6829999999999999,0.655,0.6628,27082.0,51474.0,0.027999999999999997,-0.004065,-0.006822
2000-01-07,2000G,2000H,0.6655,0.6709999999999999,0.6459999999999999,0.6475,26320.0,50891.0,0.0296,-0.023354,-0.021861000000000002
2000-01-10,2000G,2000H,0.6505,0.652,0.6355,0.6472,20721.0,46824.0,0.0292,-0.000463,0.002858
2000-01-11,2000G,2000H,0.654,0.6679999999999999,0.6515,0.6675,19141.0,43947.0,0.0296,0.030883999999999998,0.031833
2000-01-12,2000G,2000H,0.6609999999999999,0.69,0.6605,0.6847,25404.0,40898.0,0.0315,0.025441,0.026074
2000-01-13,2000G,2000H,0.6859999999999999,0.7,0.685,0.6928,22682.0,40447.0,0.0301,0.011761,0.005372
2000-01-14,2000G,2000H,0.701,0.74,0.701,0.7381,22274.0,39265.0,0.0346,0.063338,0.058950999999999996
2000-01-18,2000G,2000H,0.754,0.773,0.74,0.7704,28816.0,37308.0,0.0355,0.042831,0.026173000000000002
2000-01-19,2000G,2000H,0.7659999999999999,0.8029999999999999,0.762,0.8003,25410.0,35441.0,0.037000000000000005,0.038077,0.019358
2000-01-20,2000G,2000H,0.8059999999999999,0.8690000000000001,0.8025,0.8646,31617.0,33292.0,0.0425,0.07728,0.033616
2000-01-21,2000G,2000H,0.94,0.9774,0.895,0.935,32423.0,29882.0,0.0529,0.07828,-0.006894
2000-01-24,2000G,2000H,0.94,0.96,0.83,0.8635,23938.0,26916.0,0.065,-0.079553,-0.033582
2000-01-25,2000G,2000H,0.86,0.915,0.85,0.9038,18389.0,22912.0,0.0645,0.045614,0.015138999999999998
2000-01-26,2000G,2000H,0.945,0.955,0.915,0.9213,17085.0,17986.0,0.062,0.019178,-0.006135
2000-01-27,2000H,2000J,0.7559999999999999,0.76,0.726,0.7321,17059.0,36732.0,0.042,-0.020817,-0.015087999999999999
2000-01-28,2000H,2000J,0.735,0.7440000000000001,0.731,0.7327,16739.0,38947.0,0.0391,0.000819,-0.004982
2000-01-31,2000H,2000J,0.725,0.7559999999999999,0.72,0.7434,25767.0,40072.0,0.0403,0.014497999999999999,0.014149
2000-02-01,2000H,2000J,0.748,0.773,0.7465,0.7719,22652.0,41308.0,0.04,0.037620999999999995,0.023901
2000-02-02,2000H,2000J,0.7775,0.787,0.748,0.7553,26383.0,41797.0,0.0416,-0.02174,-0.016541
2000-02-03,2000H,2000J,0.7725,0.792,0.765,0.779,24733.0,42555.0,0.0421,0.030895999999999996,0.011863
2000-02-04,2000H,2000J,0.7825,0.797,0.769,0.7878,20181.0,42077.0,0.0408,0.011233,0.019139
2000-02-07,2000H,2000J,0.782,0.7825,0.755,0.7581,22995.0,39154.0,0.04,-0.038429000000000005,-0.013755000000000002
2000-02-08,2000H,2000J,0.758,0.759,0.726,0.7284,29153.0,36410.0,0.0408,-0.039965,-0.02316
