date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000K,116.5,124.0,116.1,116.5,6640.0,29132.0,0.0498,-0.077597,-0.07183400000000001
2000-01-04,2000H,2000K,116.25,120.5,115.75,116.25,5492.0,29397.0,0.0489,-0.002148,-0.002933
2000-01-05,2000H,2000K,118.6,121.0,115.0,118.6,6165.0,29459.0,0.0491,0.020013,0.018296
2000-01-06,2000H,2000K,116.85,121.4,116.5,116.85,5094.0,29708.0,0.0483,-0.014865,-0.014943999999999999
2000-01-07,2000H,2000K,114.15,117.75,113.8,114.15,6855.0,29709.0,0.0472,-0.023378,-0.022844
2000-01-10,2000H,2000K,117.55,126.0,116.7,117.55,7499.0,29411.0,0.0544,0.02935,0.028682
2000-01-11,2000H,2000K,117.8,118.25,115.5,117.8,3976.0,29905.0,0.0501,0.002124,0.0024920000000000003
2000-01-12,2000H,2000K,118.95,120.5,116.9,118.95,5184.0,29778.0,0.0475,0.009715000000000001,0.009493999999999999
2000-01-13,2000H,2000K,118.55,120.0,117.5,118.55,3717.0,29904.0,0.0439,-0.003368,-0.0032920000000000002
2000-01-14,2000H,2000K,112.55,120.25,112.25,112.55,10115.0,29906.0,0.0473,-0.051937,-0.050296
2000-01-18,2000H,2000K,115.75,118.25,110.6,115.75,7364.0,30120.0,0.0498,0.028035,0.028207
2000-01-19,2000H,2000K,116.7,118.25,114.75,116.7,6626.0,29600.0,0.0473,0.008173999999999999,0.007975
2000-01-20,2000H,2000K,112.0,118.8,111.7,112.0,8834.0,29207.0,0.0497,-0.041108,-0.040091
2000-01-21,2000H,2000K,111.2,113.5,110.8,111.2,5625.0,27725.0,0.0468,-0.007168000000000001,-0.006111
2000-01-24,2000H,2000K,111.9,114.4,110.95,111.9,5821.0,27005.0,0.0446,0.006275,0.00524
2000-01-25,2000H,2000K,112.85,113.7,111.6,112.85,4014.0,26815.0,0.0414,0.008454000000000001,0.008241
2000-01-26,2000H,2000K,115.15,115.3,111.9,115.15,5796.0,25635.0,0.04,0.020176,0.019252000000000002
2000-01-27,2000H,2000K,114.6,116.4,112.8,114.6,5477.0,24993.0,0.0387,-0.004788000000000001,-0.00595
2000-01-28,2000H,2000K,114.7,115.4,113.7,114.7,3334.0,24300.0,0.0354,0.000872,0.000852
2000-01-31,2000H,2000K,111.1,114.0,110.5,111.1,6465.0,23855.0,0.0348,-0.031889,-0.030266
2000-02-01,2000H,2000K,111.65,112.75,109.8,111.65,5964.0,23684.0,0.0337,0.0049380000000000005,0.005254
2000-02-02,2000H,2000K,112.25,114.25,111.75,112.25,5055.0,23983.0,0.0324,0.00536,0.003922
2000-02-03,2000H,2000K,112.95,113.5,111.25,112.95,4181.0,23064.0,0.0308,0.006217,0.005639
2000-02-04,2000H,2000K,112.9,114.5,112.5,112.9,4107.0,22111.0,0.0292,-0.000443,0.000865
2000-02-07,2000H,2000K,111.7,114.25,111.25,111.7,6155.0,21346.0,0.0288,-0.010686,-0.009989
2000-02-08,2000H,2000K,108.55,112.4,108.5,108.55,11717.0,21117.0,0.0298,-0.028606,-0.029231
2000-02-09,2000H,2000K,107.7,109.4,106.9,107.7,6700.0,20956.0,0.028999999999999998,-0.007861,-0.006764
2000-02-10,2000H,2000K,108.75,109.0,107.3,108.75,5121.0,20152.0,0.0274,0.009701999999999999,0.009906
2000-02-11,2000H,2000K,108.8,110.7,108.4,108.8,6053.0,19381.0,0.0268,0.00045999999999999996,-0.00044800000000000005
2000-02-14,2000H,2000K,105.0,107.6,104.25,105.0,7749.0,15961.0,0.0276,-0.035551,-0.034658999999999995
2000-02-15,2000H,2000K,105.8,106.7,105.3,105.8,6638.0,13770.0,0.0262,0.00759,0.008318
2000-02-16,2000K,2000N,107.55,109.75,107.5,107.55,7342.0,25555.0,0.0234,-0.010176000000000001,-0.009479000000000001
2000-02-17,2000K,2000N,108.05,108.5,107.0,108.05,7148.0,26689.0,0.0222,0.004638000000000001,0.00317
2000-02-18,2000K,2000N,106.15,109.0,105.8,106.15,6084.0,29152.0,0.0234,-0.017741,-0.01917
2000-02-22,2000K,2000N,104.35,106.3,104.3,104.35,6121.0,29670.0,0.0229,-0.017103,-0.012987
2000-02-23,2000K,2000N,104.75,105.45,103.7,104.75,6262.0,30000.0,0.0222,0.003826,0.001866
2000-02-24,2000K,2000N,103.15,104.9,103.0,103.15,4763.0,29736.0,0.0218,-0.015392,-0.015969999999999998
2000-02-25,2000K,2000N,99.35,103.3,98.4,99.35,11691.0,29669.0,0.0255,-0.037535,-0.037631
2000-02-28,2000K,2000N,102.1,102.2,99.0,102.1,6005.0,31013.0,0.0265,0.027304000000000002,0.028594
2000-02-29,2000K,2000N,100.4,104.0,100.25,100.4,6753.0,30729.0,0.027999999999999997,-0.016791,-0.019296
2000-03-01,2000K,2000N,101.9,102.5,100.8,101.9,4173.0,30802.0,0.0272,0.014830000000000001,0.015946000000000002
2000-03-02,2000K,2000N,105.85,106.25,103.0,105.85,8835.0,30576.0,0.0291,0.038031,0.036248
