date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000G,2000J,69.65,69.9,69.4,69.7,4890.0,51700.0,0.0082,0.001436,0.002094
2000-01-04,2000G,2000J,69.37,69.37,68.8,69.07,9485.0,50745.0,0.0082,-0.00908,-0.006575
2000-01-05,2000G,2000J,69.0,69.22,68.72,68.97,6252.0,50306.0,0.0081,-0.001449,0.000281
2000-01-06,2000G,2000J,68.85,70.25,68.85,70.07,12978.0,50436.0,0.0097,0.015823,0.010884999999999999
2000-01-07,2000G,2000J,70.37,71.17,70.32,70.87,13515.0,50746.0,0.0105,0.011352,0.013099000000000001
2000-01-10,2000G,2000J,71.05,71.07,70.75,70.77,7165.0,49897.0,0.0097,-0.0014119999999999998,-0.0027429999999999998
2000-01-11,2000G,2000J,70.95,71.47,70.7,70.87,11609.0,49807.0,0.0098,0.0014119999999999998,-0.000412
2000-01-12,2000G,2000J,70.87,71.07,70.4,70.42,10345.0,48711.0,0.0097,-0.006370000000000001,-0.0055119999999999995
2000-01-13,2000G,2000J,70.35,70.77,70.02,70.6,12454.0,47692.0,0.0098,0.002553,0.0038619999999999995
2000-01-14,2000G,2000J,70.55,70.85,70.32,70.82,4994.0,46171.0,0.0095,0.003111,0.0020629999999999997
2000-01-18,2000G,2000J,70.7,70.85,70.27,70.7,6502.0,45905.0,0.0093,-0.001696,-0.0011
2000-01-19,2000G,2000J,70.62,70.82,69.87,70.15,8685.0,43757.0,0.0099,-0.007809999999999999,-0.008979000000000001
2000-01-20,2000G,2000J,69.9,70.1,69.6,69.8,7024.0,42420.0,0.0095,-0.005002,-0.002362
2000-01-21,2000J,2000M,71.92,72.15,71.85,72.02,4687.0,51941.0,0.0078,0.001668,-0.000719
2000-01-24,2000J,2000M,72.02,72.45,71.8,72.02,3720.0,52732.0,0.0079,0.0,-0.001007
2000-01-25,2000J,2000M,72.1,72.3,71.82,72.17,4720.0,53405.0,0.0078,0.002081,0.002876
2000-01-26,2000J,2000M,72.17,72.22,71.85,72.15,5132.0,55193.0,0.0074,-0.000277,-0.002156
2000-01-27,2000J,2000M,72.07,72.42,71.2,71.37,10952.0,54262.0,0.0087,-0.01087,-0.006206000000000001
2000-01-28,2000J,2000M,71.25,71.8,71.0,71.57,6634.0,54421.0,0.009000000000000001,0.002798,0.005055
2000-01-31,2000J,2000M,71.5,72.15,71.2,72.05,8116.0,53975.0,0.0096,0.006684000000000001,0.0068909999999999996
2000-02-01,2000J,2000M,72.07,72.85,72.07,72.8,9896.0,55113.0,0.0098,0.010356,0.005991
2000-02-02,2000J,2000M,72.7,72.77,71.67,71.97,11266.0,55866.0,0.0105,-0.011467,-0.007422
2000-02-03,2000J,2000M,71.85,72.45,71.72,72.42,6977.0,56236.0,0.0104,0.006233,0.003575
2000-02-04,2000J,2000M,72.7,72.8,72.25,72.42,6579.0,57251.0,0.01,0.0,-0.001143
2000-02-07,2000J,2000M,72.55,72.9,72.37,72.75,6497.0,58482.0,0.0097,0.004546,0.0057
2000-02-08,2000J,2000M,72.6,72.62,72.02,72.07,6238.0,58074.0,0.0095,-0.009391,-0.007417
2000-02-09,2000J,2000M,71.9,72.05,71.5,71.67,7918.0,57900.0,0.0093,-0.005566,-0.0032979999999999997
2000-02-10,2000J,2000M,71.67,71.72,71.22,71.3,9364.0,57300.0,0.009000000000000001,-0.005176,-0.003165
2000-02-11,2000J,2000M,71.35,71.57,70.85,71.02,9477.0,57062.0,0.0091,-0.003935,-0.002886
2000-02-14,2000J,2000M,70.95,71.05,70.42,70.62,11687.0,55086.0,0.0091,-0.005647999999999999,-0.003619
2000-02-15,2000J,2000M,70.67,70.92,70.45,70.62,7342.0,53438.0,0.0088,0.0,-0.00436
2000-02-16,2000J,2000M,70.6,70.95,70.6,70.87,4889.0,53827.0,0.0083,0.0035340000000000002,0.001019
2000-02-17,2000J,2000M,70.85,71.2,70.6,71.12,6007.0,53630.0,0.0084,0.0035210000000000003,0.000436
2000-02-18,2000J,2000M,71.1,71.17,70.8,70.9,3021.0,53101.0,0.0079,-0.003098,-0.001164
2000-02-22,2000J,2000M,70.37,70.6,69.8,69.87,15228.0,53968.0,0.0084,-0.014634000000000001,-0.012454999999999999
2000-02-23,2000J,2000M,69.77,70.4,69.75,70.35,8354.0,53566.0,0.0085,0.006846,0.005147
2000-02-24,2000J,2000M,70.4,71.0,70.25,70.97,8876.0,53012.0,0.0088,0.008773999999999999,0.004829
2000-02-25,2000J,2000M,71.05,71.67,71.05,71.32,9807.0,50847.0,0.0089,0.00492,0.00175
2000-02-28,2000J,2000M,71.45,71.67,71.17,71.47,6117.0,50993.0,0.0087,0.002101,0.001893
2000-02-29,2000J,2000M,71.4,71.42,71.05,71.17,6069.0,52134.0,0.0082,-0.0042060000000000005,-0.001456
2000-03-01,2000J,2000M,71.12,72.02,71.12,71.97,12184.0,51410.0,0.0087,0.011178,0.007546
2000-03-02,2000J,2000M,72.45,72.82,72.25,72.52,11961.0,51178.0,0.0091,0.007613,0.0011560000000000001
2000-03-03,2000J,2000M,72.6,73.0,72.35,72.97,7883.0,51380.0,0.0091,0.006186,0.006047
2000-03-06,2000J,2000M,72.95,73.07,72.52,72.85,7414.0,51751.0,0.0089,-0.0016460000000000001,0.0
2000-03-07,2000J,2000M,72.82,72.85,72.27,72.45,7678.0,50575.0,0.0087,-0.0055060000000000005,-0.002443
2000-03-08,2000J,2000M,72.65,73.3,72.27,72.32,18606.0,48335.0,0.0094,-0.001796,-0.004037
2000-03-09,2000J,2000M,72.5,72.75,72.2,72.55,7320.0,47430.0,0.0092,0.003175,0.001444
2000-03-10,2000J,2000M,72.72,72.82,72.45,72.6,6668.0,47077.0,0.0086,0.0006889999999999999,0.000721
2000-03-13,2000J,2000M,72.75,72.8,72.22,72.45,6534.0,45857.0,0.0086,-0.002068,-0.000721
2000-03-14,2000J,2000M,72.6,72.7,72.3,72.47,5513.0,45692.0,0.0082,0.000276,-0.00101
2000-03-15,2000J,2000M,72.4,72.85,72.37,72.77,5930.0,44852.0,0.0079,0.004131,0.003172
2000-03-16,2000J,2000M,72.8,72.87,72.1,72.12,7821.0,44053.0,0.0083,-0.008971999999999999,-0.008674
2000-03-17,2000J,2000M,72.0,72.05,71.75,71.92,5889.0,43289.0,0.0078,-0.002777,-0.00218
2000-03-20,2000J,2000M,72.4,72.67,72.1,72.2,5958.0,42263.0,0.0081,0.003886,0.0
2000-03-21,2000J,2000M,72.3,72.57,72.22,72.45,3965.0,41728.0,0.0077,0.003457,0.001454
2000-03-22,2000J,2000M,72.8,73.4,72.75,73.12,11284.0,40856.0,0.0084,0.009205,0.006951000000000001
2000-03-23,2000J,2000M,73.12,73.25,72.82,73.02,5621.0,39905.0,0.0081,-0.001369,0.001442
2000-03-24,2000J,2000M,73.0,73.15,72.9,73.02,3508.0,39125.0,0.0074,0.0,0.0
2000-03-27,2000J,2000M,73.1,73.25,72.85,73.05,4672.0,38111.0,0.0072,0.000411,0.0046
2000-03-28,2000M,2000Q,69.8,70.2,69.7,69.95,8273.0,44310.0,0.0066,0.003293,0.005002
2000-03-29,2000M,2000Q,70.25,70.25,68.7,68.77,14638.0,46496.0,0.0087,-0.017013,-0.010029000000000001
2000-03-30,2000M,2000Q,68.85,68.95,68.55,68.8,9048.0,46788.0,0.0083,0.000436,0.001439
2000-03-31,2000M,2000Q,68.8,69.17,68.8,68.97,4503.0,47236.0,0.0079,0.002468,0.002441
2000-04-03,2000M,2000Q,69.05,69.2,68.77,69.15,3160.0,48126.0,0.0077,0.002606,0.002578
2000-04-04,2000M,2000Q,69.1,69.25,68.22,68.67,7225.0,49096.0,0.0087,-0.006966,-0.006171
2000-04-05,2000M,2000Q,68.6,69.15,68.55,69.1,5606.0,49757.0,0.0087,0.006242,0.006456999999999999
2000-04-06,2000M,2000Q,69.15,69.25,68.72,68.75,4862.0,50661.0,0.0086,-0.005078,-0.003582
2000-04-07,2000M,2000Q,68.55,69.2,68.55,69.1,4517.0,52207.0,0.0087,0.005078,0.0025800000000000003
2000-04-10,2000M,2000Q,69.1,69.4,69.05,69.12,3876.0,52231.0,0.0082,0.00028900000000000003,0.0010019999999999999
2000-04-11,2000M,2000Q,69.22,69.47,69.2,69.27,3988.0,52801.0,0.0078,0.002168,0.0018579999999999998
2000-04-12,2000M,2000Q,69.37,69.57,69.0,69.15,4994.0,53597.0,0.0078,-0.001734,0.000285
2000-04-13,2000M,2000Q,69.4,69.77,69.3,69.45,7028.0,54433.0,0.008,0.0043289999999999995,0.000713
2000-04-14,2000M,2000Q,69.5,69.5,69.15,69.35,3979.0,54041.0,0.0076,-0.001441,-0.002856
2000-04-17,2000M,2000Q,69.1,69.3,68.9,68.97,4320.0,54120.0,0.0073,-0.005495,-0.009340000000000001
2000-04-18,2000M,2000Q,69.2,69.42,69.07,69.27,4840.0,54064.0,0.0072,0.00434,0.0011539999999999999
2000-04-19,2000M,2000Q,69.5,69.9,69.42,69.52,9242.0,55006.0,0.0075,0.0036030000000000003,0.002448
2000-04-20,2000M,2000Q,69.55,69.55,69.02,69.07,6769.0,55513.0,0.0075,-0.006494,-0.00317
2000-04-24,2000M,2000Q,69.15,69.4,69.12,69.27,2728.0,55760.0,0.0071,0.002891,0.00245
2000-04-25,2000M,2000Q,69.42,70.2,69.42,69.65,11832.0,57586.0,0.008,0.005471,0.001438
2000-04-26,2000M,2000Q,69.8,69.9,69.3,69.72,6063.0,57827.0,0.008,0.001005,0.001436
2000-04-27,2000M,2000Q,69.75,69.75,69.37,69.4,3657.0,57730.0,0.0077,-0.0046,-0.0021550000000000002
2000-04-28,2000M,2000Q,69.25,69.35,68.95,69.27,7893.0,56646.0,0.0074,-0.001875,0.0018679999999999999
2000-05-01,2000M,2000Q,69.3,69.3,68.7,68.72,6978.0,55846.0,0.0076,-0.007972,-0.006915
2000-05-02,2000M,2000Q,68.85,69.05,68.72,68.9,4594.0,55326.0,0.0072,0.002616,0.0033200000000000005
2000-05-03,2000M,2000Q,68.8,69.22,68.5,68.9,8520.0,53970.0,0.0077,0.0,-0.0036090000000000002
2000-05-04,2000M,2000Q,69.0,69.17,68.65,69.05,6203.0,52070.0,0.0077,0.002175,0.0010119999999999999
2000-05-05,2000M,2000Q,69.05,69.15,68.6,68.62,5580.0,51238.0,0.0077,-0.006247,0.001155
2000-05-08,2000M,2000Q,68.45,68.8,68.42,68.57,9682.0,47227.0,0.0074,-0.000729,0.00101
2000-05-09,2000M,2000Q,68.85,69.12,68.7,68.7,6863.0,45811.0,0.0075,0.001894,0.00043200000000000004
2000-05-10,2000M,2000Q,68.95,69.1,68.4,68.42,8200.0,44054.0,0.0079,-0.004084,-0.0057799999999999995
2000-05-11,2000M,2000Q,68.42,68.42,68.0,68.25,12696.0,41982.0,0.0077,-0.0024879999999999998,-0.000725
2000-05-12,2000M,2000Q,68.37,68.5,67.75,67.92,8779.0,40702.0,0.0081,-0.004847,-0.009179000000000001
2000-05-15,2000M,2000Q,68.15,68.22,67.85,67.92,6654.0,40062.0,0.0078,0.0,-0.002491
2000-05-16,2000M,2000Q,68.05,68.32,67.9,68.12,5799.0,38546.0,0.0076,0.00294,-0.00044
2000-05-17,2000M,2000Q,68.4,68.57,68.12,68.2,6733.0,37375.0,0.0074,0.001174,-0.000734
2000-05-18,2000M,2000Q,68.05,68.37,68.02,68.2,4507.0,35825.0,0.0071,0.0,-0.0017640000000000002
2000-05-19,2000M,2000Q,68.2,68.35,68.05,68.12,4256.0,33956.0,0.0068,-0.001174,-0.001178
2000-05-22,2000M,2000Q,67.95,68.15,67.77,67.82,4077.0,33306.0,0.0066,-0.004414,-0.001474
2000-05-23,2000Q,2000V,67.77,68.17,67.75,68.1,3154.0,42338.0,0.0064,0.0048579999999999995,0.003831
2000-05-24,2000Q,2000V,67.97,68.17,67.25,67.4,6375.0,43637.0,0.0074,-0.010332,-0.005679999999999999
2000-05-25,2000Q,2000V,67.4,67.57,67.12,67.5,5343.0,42923.0,0.0073,0.001483,0.001139
2000-05-26,2000Q,2000V,67.45,67.85,67.1,67.12,4113.0,44215.0,0.0078,-0.005646,-0.003991
2000-05-30,2000Q,2000V,67.25,67.3,66.6,66.75,9082.0,45397.0,0.0082,-0.005528,-0.005011
2000-05-31,2000Q,2000V,66.8,67.55,66.77,67.25,9659.0,44725.0,0.0087,0.007462999999999999,0.005011
2000-06-01,2000Q,2000V,67.15,67.75,67.15,67.57,6372.0,46264.0,0.0087,0.0047469999999999995,0.004275
2000-06-02,2000Q,2000V,67.7,68.25,67.45,68.07,6738.0,47487.0,0.0091,0.007372,0.007790999999999999
2000-06-05,2000Q,2000V,68.07,68.72,68.07,68.57,5611.0,48005.0,0.0092,0.007319,0.002537
2000-06-06,2000Q,2000V,68.95,68.95,68.37,68.6,10550.0,46064.0,0.009000000000000001,0.000437,-0.0028190000000000003
2000-06-07,2000Q,2000V,68.5,68.72,68.2,68.35,4802.0,46093.0,0.0088,-0.0036509999999999997,-0.00396
2000-06-08,2000Q,2000V,68.2,68.45,68.02,68.05,3592.0,46173.0,0.0085,-0.004399,-0.002838
2000-06-09,2000Q,2000V,68.15,68.6,68.1,68.52,3117.0,45789.0,0.0084,0.006883,0.003546
2000-06-12,2000Q,2000V,68.7,68.9,68.2,68.62,5903.0,45348.0,0.0086,0.001458,-0.000992
2000-06-13,2000Q,2000V,68.7,68.7,68.35,68.4,5534.0,45671.0,0.0082,-0.003211,-0.002555
2000-06-14,2000Q,2000V,68.65,68.65,67.95,68.2,4924.0,44952.0,0.0085,-0.002928,-0.002134
2000-06-15,2000Q,2000V,68.25,68.25,67.9,67.95,3683.0,44188.0,0.008,-0.003672,-0.002852
2000-06-16,2000Q,2000V,68.0,68.0,67.6,67.8,3750.0,44096.0,0.0077,-0.00221,0.0
2000-06-19,2000Q,2000V,67.35,67.5,67.2,67.22,6877.0,44791.0,0.0073,-0.008591,-0.007886
2000-06-20,2000Q,2000V,67.05,67.57,67.0,67.3,4109.0,45112.0,0.0075,0.001189,0.001438
2000-06-21,2000Q,2000V,67.3,67.32,66.9,66.92,4160.0,45266.0,0.0073,-0.0056619999999999995,-0.006489
2000-06-22,2000Q,2000V,66.72,67.0,66.57,66.67,5320.0,45473.0,0.0072,-0.003743,-0.001448
2000-06-23,2000Q,2000V,66.7,66.7,66.37,66.55,5785.0,46552.0,0.006999999999999999,-0.001802,-0.003193
2000-06-26,2000Q,2000V,66.55,67.1,66.52,66.65,5058.0,46623.0,0.0072,0.0015019999999999999,0.001452
2000-06-27,2000Q,2000V,66.5,66.97,66.5,66.85,3949.0,46828.0,0.0072,0.002996,0.002175
2000-06-28,2000Q,2000V,66.7,66.8,66.27,66.37,4587.0,47118.0,0.0073,-0.007206000000000001,-0.0065379999999999995
2000-06-29,2000Q,2000V,66.27,66.65,66.27,66.47,3424.0,47910.0,0.0071,0.001506,0.001748
2000-06-30,2000Q,2000V,66.57,67.1,66.57,66.72,5836.0,48535.0,0.0074,0.003754,0.006527
2000-07-03,2000Q,2000V,66.8,67.05,66.62,66.82,2378.0,48289.0,0.0073,0.001498,0.0018780000000000001
2000-07-05,2000Q,2000V,66.92,67.75,66.92,67.7,6247.0,48397.0,0.0081,0.013084,0.011478
2000-07-06,2000Q,2000V,67.67,67.87,67.42,67.52,5411.0,47996.0,0.0079,-0.0026620000000000003,-0.001428
2000-07-07,2000Q,2000V,67.45,67.47,67.05,67.4,4121.0,47963.0,0.0077,-0.001779,-0.004007999999999999
2000-07-10,2000Q,2000V,67.45,67.65,67.27,67.37,4251.0,46807.0,0.0074,-0.00044500000000000003,0.0035789999999999997
2000-07-11,2000Q,2000V,67.35,67.37,67.02,67.17,5527.0,44945.0,0.0071,-0.002973,-0.002862
2000-07-12,2000Q,2000V,67.3,67.52,66.87,67.05,7899.0,42990.0,0.0075,-0.0017879999999999999,-0.0031579999999999998
2000-07-13,2000Q,2000V,67.12,67.2,66.75,66.77,5479.0,41097.0,0.0074,-0.004185,-0.002591
2000-07-14,2000Q,2000V,66.9,67.5,66.8,67.45,6411.0,38820.0,0.0078,0.010133,0.005033
2000-07-17,2000Q,2000V,67.6,67.95,67.4,67.6,6366.0,38021.0,0.0079,0.002221,0.001433
2000-07-18,2000Q,2000V,67.67,68.5,67.55,68.42,9180.0,35396.0,0.0087,0.012057,0.007847
2000-07-19,2000Q,2000V,68.37,68.37,67.52,67.75,6953.0,34932.0,0.0092,-0.009840999999999999,-0.00885
2000-07-20,2000Q,2000V,67.6,67.97,67.45,67.95,4140.0,34085.0,0.009000000000000001,0.002948,0.002863
2000-07-21,2000V,2000Z,69.75,69.75,69.4,69.62,2072.0,46762.0,0.0072,-0.004729,-0.002783
