date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000G,2000J,54.95,56.3,54.95,55.97,4645.0,23601.0,0.0189,0.026614999999999996,0.029594
2000-01-04,2000G,2000J,55.7,55.85,55.02,55.62,3851.0,23248.0,0.0184,-0.006273,-0.007361
2000-01-05,2000G,2000J,55.25,55.9,55.0,55.07,3562.0,23031.0,0.0181,-0.009937999999999999,-0.0035240000000000002
2000-01-06,2000G,2000J,54.85,55.55,54.55,55.17,3588.0,22149.0,0.018000000000000002,0.001814,0.011409
2000-01-07,2000G,2000J,56.0,56.75,55.55,55.62,5251.0,21027.0,0.0194,0.008124,0.006957
2000-01-10,2000G,2000J,56.15,56.6,55.6,55.65,5486.0,19930.0,0.0192,0.000539,0.002942
2000-01-11,2000G,2000J,55.9,56.37,55.7,56.02,4011.0,18631.0,0.0184,0.006626999999999999,0.0065450000000000005
2000-01-12,2000G,2000J,55.8,56.25,54.7,54.8,5134.0,17282.0,0.0196,-0.022019,-0.014351
2000-01-13,2000G,2000J,55.0,55.57,54.75,54.82,4119.0,17075.0,0.019,0.000365,-0.0008710000000000001
2000-01-14,2000G,2000J,55.0,56.2,54.45,56.15,5237.0,17155.0,0.0207,0.023972,0.008331999999999999
2000-01-18,2000G,2000J,55.4,55.75,55.05,55.55,3664.0,16900.0,0.0196,-0.010743,0.0034509999999999996
2000-01-19,2000G,2000J,55.9,56.62,55.52,56.0,5032.0,15818.0,0.0196,0.008068,0.012837000000000001
2000-01-20,2000G,2000J,56.1,56.37,55.77,56.22,3061.0,15945.0,0.0184,0.003921,0.007624
2000-01-21,2000G,2000J,56.3,57.2,55.9,57.07,4129.0,15313.0,0.0189,0.015006,0.013412
2000-01-24,2000J,2000M,59.8,60.0,59.37,59.65,2956.0,21068.0,0.0158,-0.006683,-0.006679000000000001
2000-01-25,2000J,2000M,59.8,60.0,59.0,59.12,4142.0,22358.0,0.0159,-0.008925,0.0
2000-01-26,2000J,2000M,59.4,59.8,59.05,59.52,3117.0,22458.0,0.0154,0.006743000000000001,0.004458
2000-01-27,2000J,2000M,59.7,59.9,58.6,58.75,4656.0,23055.0,0.0163,-0.013021000000000001,-0.007441
2000-01-28,2000J,2000M,59.0,59.9,58.75,59.77,3568.0,24019.0,0.0167,0.017213,0.0037270000000000003
2000-01-31,2000J,2000M,60.0,60.4,59.45,60.25,5175.0,25140.0,0.0166,0.007999,0.005195
2000-02-01,2000J,2000M,60.05,60.67,59.9,60.52,5292.0,26574.0,0.016,0.004471,0.006640000000000001
2000-02-02,2000J,2000M,60.4,60.72,59.65,59.77,4141.0,27050.0,0.0163,-0.01247,-0.0011769999999999999
2000-02-03,2000J,2000M,59.8,61.0,59.42,60.92,6491.0,27581.0,0.0175,0.019058000000000002,0.012437
2000-02-04,2000J,2000M,60.95,61.45,60.65,61.15,4691.0,28556.0,0.0169,0.003768,0.006233
2000-02-07,2000J,2000M,61.15,61.45,60.95,61.37,3884.0,29641.0,0.0157,0.0035909999999999996,0.0031739999999999997
2000-02-08,2000J,2000M,61.12,61.17,59.57,59.85,6394.0,29788.0,0.0171,-0.02508,-0.011590999999999999
2000-02-09,2000J,2000M,59.55,59.7,58.8,58.95,6863.0,29003.0,0.0169,-0.015152,-0.010548
2000-02-10,2000J,2000M,59.0,59.7,58.7,59.1,4789.0,28532.0,0.0169,0.002541,0.002207
2000-02-11,2000J,2000M,59.3,60.02,59.0,59.4,3862.0,28886.0,0.017,0.005063000000000001,0.004691
2000-02-14,2000J,2000M,59.2,59.2,57.4,57.4,7891.0,27405.0,0.019,-0.03425,-0.029689
2000-02-15,2000J,2000M,57.1,57.2,56.0,56.02,9889.0,24248.0,0.0195,-0.024336,-0.019782
2000-02-16,2000J,2000M,56.6,57.72,56.6,57.35,5266.0,23127.0,0.0209,0.023464,0.020233
2000-02-17,2000J,2000M,57.65,57.85,56.95,57.05,3329.0,23127.0,0.0203,-0.0052450000000000005,-0.004982
2000-02-18,2000J,2000M,57.05,57.5,56.97,57.22,2036.0,23039.0,0.019,0.002975,-0.00106
2000-02-22,2000J,2000M,57.22,58.3,57.22,57.65,4124.0,22781.0,0.019,0.007487000000000001,0.002572
2000-02-23,2000J,2000M,57.25,57.25,56.15,56.2,5128.0,22491.0,0.019,-0.025473,-0.018302000000000002
2000-02-24,2000J,2000M,55.9,57.2,55.8,57.05,5737.0,21861.0,0.0197,0.015011000000000002,0.004607
2000-02-25,2000J,2000M,56.9,57.95,56.62,57.65,3528.0,21615.0,0.0202,0.010462,0.007326999999999999
2000-02-28,2000J,2000M,57.62,58.6,57.62,58.35,4496.0,21248.0,0.0197,0.012069,0.014344999999999998
2000-02-29,2000J,2000M,57.9,58.15,57.5,58.07,3094.0,21286.0,0.0186,-0.00481,0.00404
2000-03-01,2000J,2000M,57.67,58.47,57.65,58.0,3977.0,21868.0,0.0179,-0.001206,-0.000299
2000-03-02,2000J,2000M,58.5,58.87,57.85,58.27,3885.0,21441.0,0.0178,0.004644,0.008182
2000-03-03,2000J,2000M,58.45,59.45,58.25,59.35,4699.0,21438.0,0.018000000000000002,0.018365,0.019076
2000-03-06,2000J,2000M,59.75,60.25,59.4,60.15,4739.0,21777.0,0.0176,0.013388999999999998,0.011561
2000-03-07,2000J,2000M,60.4,60.42,59.45,59.6,4822.0,20990.0,0.0174,-0.009186,-0.0035979999999999996
2000-03-08,2000J,2000M,59.6,60.6,59.4,59.45,5384.0,20475.0,0.0177,-0.00252,-0.006220000000000001
2000-03-09,2000J,2000M,59.5,60.9,59.3,60.75,6684.0,19242.0,0.0187,0.021631,0.014834
2000-03-10,2000J,2000M,60.9,62.2,60.42,62.05,7035.0,20560.0,0.02,0.021172999999999997,0.01701
2000-03-13,2000J,2000M,61.9,62.25,61.52,61.9,5752.0,19655.0,0.0189,-0.00242,0.000281
2000-03-14,2000J,2000M,61.8,62.3,61.7,62.25,3042.0,19376.0,0.0175,0.005638000000000001,-0.000281
2000-03-15,2000J,2000M,62.1,62.6,61.85,62.27,3931.0,18963.0,0.0167,0.000321,-0.00352
2000-03-16,2000M,2000N,71.0,71.1,70.3,70.35,3018.0,23131.0,0.013999999999999999,-0.007788,-0.003655
2000-03-17,2000M,2000N,70.45,71.25,70.35,70.92,2745.0,23474.0,0.0138,0.00807,0.006279
2000-03-20,2000M,2000N,71.2,71.2,70.05,71.0,3145.0,23655.0,0.0141,0.001127,-0.005108
2000-03-21,2000M,2000N,70.7,70.85,70.2,70.65,2497.0,24090.0,0.0135,-0.004942,-0.005869
2000-03-22,2000M,2000N,70.0,70.55,69.8,70.35,2751.0,24547.0,0.0131,-0.004255,-0.010058
2000-03-23,2000M,2000N,70.2,70.45,69.45,69.95,3535.0,24464.0,0.0133,-0.0057020000000000005,-0.0040219999999999995
2000-03-24,2000M,2000N,70.0,70.62,69.85,70.52,3336.0,24506.0,0.013000000000000001,0.008116,0.008471
2000-03-27,2000M,2000N,70.52,72.25,70.4,71.92,5050.0,25689.0,0.0147,0.019658000000000002,0.028163
2000-03-28,2000M,2000N,71.95,72.67,71.92,72.42,5612.0,26430.0,0.0141,0.006928,0.010306000000000001
2000-03-29,2000M,2000N,72.2,72.5,71.65,72.4,5095.0,27216.0,0.0137,-0.000276,0.000712
2000-03-30,2000M,2000N,72.67,73.75,72.3,73.55,8125.0,29643.0,0.0145,0.015759,0.007090000000000001
2000-03-31,2000M,2000N,73.75,73.75,73.0,73.15,4878.0,30716.0,0.0138,-0.005453,0.007461
2000-04-03,2000M,2000N,73.25,73.55,72.55,73.27,3371.0,31159.0,0.0138,0.001639,0.001402
2000-04-04,2000M,2000N,73.2,73.25,71.7,72.45,6214.0,31038.0,0.0148,-0.011255,-0.013821
2000-04-05,2000M,2000N,72.2,73.05,71.85,72.32,4477.0,31349.0,0.015,-0.001796,0.005382
2000-04-06,2000M,2000N,72.15,72.8,72.15,72.52,3481.0,32095.0,0.0142,0.002762,-0.001838
2000-04-07,2000M,2000N,72.75,74.3,72.75,74.0,5746.0,33694.0,0.0155,0.020203,0.011956
2000-04-10,2000M,2000N,74.3,75.0,74.05,74.4,6746.0,34075.0,0.0153,0.005391,0.002095
2000-04-11,2000M,2000N,74.05,74.4,73.1,73.37,5221.0,33903.0,0.0155,-0.013941,-0.015041999999999998
2000-04-12,2000M,2000N,73.65,75.12,73.65,75.07,4525.0,34259.0,0.0165,0.022906,0.019913999999999998
2000-04-13,2000M,2000N,74.97,75.25,74.75,75.05,4073.0,34926.0,0.0151,-0.000266,0.0006940000000000001
2000-04-14,2000M,2000N,75.0,75.3,74.5,75.17,3401.0,35475.0,0.0145,0.001598,0.0034630000000000004
2000-04-17,2000M,2000N,74.65,74.75,74.2,74.35,2348.0,35332.0,0.0136,-0.010969,-0.007913
2000-04-18,2000M,2000N,74.0,75.7,73.92,75.65,4306.0,35651.0,0.0148,0.017334,0.009709
2000-04-19,2000M,2000N,75.55,76.4,75.37,76.05,3785.0,35566.0,0.0146,0.005274,0.004407
2000-04-20,2000M,2000N,76.05,76.85,75.55,76.7,2817.0,35534.0,0.0149,0.008511,0.009301
2000-04-24,2000M,2000N,76.6,77.55,76.42,77.47,4237.0,35600.0,0.0148,0.009989,0.004347
2000-04-25,2000M,2000N,77.3,77.8,76.8,77.35,4083.0,35559.0,0.0145,-0.00155,0.000407
2000-04-26,2000M,2000N,77.25,78.1,76.92,77.47,4548.0,35545.0,0.0146,0.00155,0.0076939999999999995
2000-04-27,2000M,2000N,77.42,77.65,76.87,77.05,3697.0,35147.0,0.0139,-0.005436,0.001075
2000-04-28,2000M,2000N,76.95,77.3,76.55,76.65,3250.0,34903.0,0.0134,-0.0052049999999999996,-0.0026899999999999997
2000-05-01,2000M,2000N,75.9,76.52,75.8,76.45,3581.0,34413.0,0.0129,-0.002613,-0.000674
2000-05-02,2000M,2000N,76.5,76.65,76.12,76.27,2718.0,35086.0,0.0121,-0.002357,-0.003375
2000-05-03,2000M,2000N,75.3,75.35,74.27,74.27,5389.0,33513.0,0.0125,-0.026573000000000003,-0.021597
2000-05-04,2000M,2000N,73.4,75.07,73.22,74.85,7469.0,32224.0,0.0141,0.007779,0.013041999999999998
2000-05-05,2000M,2000N,74.5,75.05,74.3,74.65,4704.0,31377.0,0.0136,-0.002676,0.003404
2000-05-08,2000M,2000N,74.45,75.2,73.6,74.17,5446.0,30819.0,0.0147,-0.006451,-0.007093
2000-05-09,2000M,2000N,74.65,74.72,73.15,73.45,6437.0,30379.0,0.0157,-0.009755,-0.010735
2000-05-10,2000M,2000N,72.6,73.35,72.15,72.82,6230.0,29343.0,0.0158,-0.008614,-0.003743
