date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000G,2000H,2.18,2.2,2.13,2.176,30152.0,52771.0,0.0359,-0.067951,-0.054736
2000-01-05,2000G,2000H,2.18,2.2,2.125,2.168,27946.0,52685.0,0.0358,-0.0036829999999999996,-0.001362
2000-01-06,2000G,2000H,2.175,2.22,2.165,2.1959999999999997,29071.0,53814.0,0.0348,0.012832,0.016224000000000002
2000-01-07,2000G,2000H,2.21,2.23,2.155,2.173,28455.0,54147.0,0.0353,-0.010529,-0.007178
2000-01-10,2000G,2000H,2.18,2.255,2.165,2.2159999999999997,28916.0,54435.0,0.0364,0.019594999999999998,0.014305000000000002
2000-01-11,2000G,2000H,2.25,2.265,2.205,2.26,23405.0,53522.0,0.0349,0.019661,0.016288999999999998
2000-01-12,2000G,2000H,2.28,2.285,2.19,2.244,36868.0,54971.0,0.0358,-0.007104999999999999,-0.003061
2000-01-13,2000G,2000H,2.28,2.29,2.235,2.252,27091.0,54791.0,0.0341,0.0035590000000000005,0.003061
2000-01-14,2000G,2000H,2.28,2.35,2.27,2.322,26286.0,52159.0,0.035,0.030610000000000002,0.027563999999999998
2000-01-18,2000G,2000H,2.36,2.39,2.335,2.383,22929.0,53638.0,0.0338,0.025931,0.02185
2000-01-19,2000G,2000H,2.39,2.465,2.37,2.417,43606.0,53116.0,0.0344,0.014166999999999999,0.014032
2000-01-20,2000G,2000H,2.47,2.58,2.47,2.559,47336.0,49937.0,0.0381,0.057089,0.051908
2000-01-21,2000G,2000H,2.61,2.635,2.42,2.485,66778.0,48290.0,0.0442,-0.029344,-0.034841000000000004
2000-01-24,2000G,2000H,2.53,2.57,2.49,2.528,35075.0,42574.0,0.0422,0.017156,0.010421
2000-01-25,2000G,2000H,2.6,2.63,2.575,2.616,39248.0,37104.0,0.0413,0.034218,0.029466000000000003
2000-01-26,2000G,2000H,2.67,2.67,2.5,2.523,58710.0,26432.0,0.0444,-0.036198,-0.036267
2000-01-27,2000G,2000H,2.54,2.68,2.52,2.61,64058.0,3653.0,0.0467,0.033902,0.023017
