date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,3750.0,3895.0,3681.0,3844.5,15414.0,6700.0,0.0287,0.023822,0.0235
2000-01-04,2000H,2000M,3838.5,3842.5,3525.0,3557.5,15455.0,7459.0,0.0363,-0.077586,-0.077064
2000-01-05,2000H,2000M,3557.5,3618.0,3395.0,3512.5,15272.0,7653.0,0.04,-0.01273,-0.012551999999999999
2000-01-06,2000H,2000M,3493.0,3553.0,3282.5,3312.5,15550.0,7471.0,0.0455,-0.058625,-0.057777999999999996
2000-01-07,2000H,2000M,3284.5,3574.5,3257.0,3557.5,14126.0,8241.0,0.0517,0.071355,0.07032999999999999
2000-01-10,2000H,2000M,3561.0,3804.5,3554.5,3770.0,15742.0,8355.0,0.0544,0.058017,0.057235
2000-01-11,2000H,2000M,3765.0,3766.0,3542.0,3575.0,16839.0,8595.0,0.0556,-0.053110000000000004,-0.052396000000000005
2000-01-12,2000H,2000M,3576.0,3615.0,3476.0,3503.5,15547.0,8514.0,0.0534,-0.020203,-0.019921
2000-01-13,2000H,2000M,3508.0,3652.5,3502.0,3652.5,13409.0,8232.0,0.051,0.041649,0.041075
2000-01-14,2000H,2000M,3660.0,3785.0,3645.0,3751.5,12244.0,8262.0,0.0488,0.026744,0.026387
2000-01-18,2000H,2000M,3743.0,3819.5,3669.5,3807.0,14821.0,9089.0,0.0477,0.014686000000000001,0.015271000000000002
2000-01-19,2000H,2000M,3800.5,3850.5,3741.0,3850.0,14308.0,9726.0,0.0447,0.011231999999999999,0.010822
2000-01-20,2000H,2000M,3847.0,3913.0,3811.0,3876.5,16054.0,9544.0,0.0415,0.00686,0.006768000000000001
2000-01-21,2000H,2000M,3870.0,3914.0,3824.0,3889.5,10416.0,9136.0,0.0387,0.003348,0.003811
2000-01-24,2000H,2000M,3891.5,3938.0,3675.5,3683.5,15881.0,8891.0,0.0428,-0.05441699999999999,-0.05391900000000001
2000-01-25,2000H,2000M,3675.0,3797.0,3606.5,3791.5,17930.0,8518.0,0.0438,0.028898000000000004,0.028754000000000002
2000-01-26,2000H,2000M,3775.0,3787.5,3637.5,3654.5,14483.0,8390.0,0.0436,-0.036802,-0.036816
2000-01-27,2000H,2000M,3628.5,3734.0,3526.0,3636.0,15985.0,8988.0,0.0457,-0.005075,-0.005004
2000-01-28,2000H,2000M,3640.5,3685.0,3409.0,3475.0,16259.0,8550.0,0.0506,-0.04529,-0.045204
2000-01-31,2000H,2000M,3462.0,3620.0,3371.0,3612.5,17839.0,9034.0,0.0532,0.038806,0.038266
2000-02-01,2000H,2000M,3606.5,3735.0,3564.0,3723.5,13663.0,8882.0,0.0526,0.030264,0.030387
2000-02-02,2000H,2000M,3719.5,3816.0,3692.0,3734.0,13436.0,6788.0,0.0499,0.002816,0.002777
2000-02-03,2000H,2000M,3734.0,3892.5,3713.0,3892.5,16812.0,6786.0,0.0491,0.041572000000000005,0.041012
2000-02-04,2000H,2000M,3888.0,3960.0,3861.0,3906.5,11605.0,7558.0,0.0451,0.00359,0.0040479999999999995
2000-02-07,2000H,2000M,3906.5,3958.5,3875.5,3957.0,10266.0,7807.0,0.0413,0.012844,0.012795
2000-02-08,2000H,2000M,3944.5,4098.5,3942.0,4095.0,15069.0,8322.0,0.0404,0.034281,0.034184
2000-02-09,2000H,2000M,4100.0,4144.0,3976.5,3976.5,19889.0,9712.0,0.0402,-0.029365,-0.029087000000000002
2000-02-10,2000H,2000M,3971.0,4116.0,3968.0,4112.0,18454.0,9671.0,0.0394,0.033507,0.033294
2000-02-11,2000H,2000M,4109.0,4140.0,3950.0,3992.5,18652.0,9833.0,0.0403,-0.029492,-0.029086
2000-02-14,2000H,2000M,3983.5,4028.0,3934.0,4003.5,18078.0,9685.0,0.038,0.002751,0.0027129999999999997
2000-02-15,2000H,2000M,3999.5,4050.0,3861.0,4036.5,23417.0,9456.0,0.0392,0.008209000000000001,0.008095
2000-02-16,2000H,2000M,4034.5,4087.0,3995.0,4020.5,19888.0,9675.0,0.037000000000000005,-0.003972,-0.003917
2000-02-17,2000H,2000M,4026.0,4146.0,4011.0,4106.5,18302.0,9159.0,0.0365,0.021165,0.020995
2000-02-18,2000H,2000M,4110.0,4141.0,3962.5,3968.0,18802.0,9579.0,0.0376,-0.034309,-0.033707
2000-02-22,2000H,2000M,3954.5,4018.0,3865.5,3967.5,22638.0,9595.0,0.0377,-0.000126,-0.000248
2000-02-23,2000H,2000M,3977.0,4218.0,3962.0,4187.5,23907.0,9108.0,0.0409,0.053967999999999995,0.053459000000000007
2000-02-24,2000H,2000M,4189.5,4292.5,4106.5,4292.5,28263.0,10714.0,0.040999999999999995,0.024765000000000002,0.024661000000000002
2000-02-25,2000H,2000M,4283.5,4316.0,4130.0,4194.0,22378.0,11191.0,0.0414,-0.023214,-0.022661
2000-02-28,2000H,2000M,4182.5,4243.0,4029.0,4158.0,27318.0,10294.0,0.0424,-0.008621,-0.008499
2000-02-29,2000H,2000M,4164.5,4301.0,4158.5,4301.0,20360.0,9747.0,0.0407,0.033813,0.033569999999999996
2000-03-01,2000H,2000M,4298.0,4353.0,4273.0,4325.5,18822.0,9493.0,0.0375,0.005679999999999999,0.005601
2000-03-02,2000H,2000M,4325.0,4338.0,4204.0,4225.0,22454.0,10414.0,0.0368,-0.023508,-0.023294
2000-03-03,2000H,2000M,4230.0,4458.0,4210.0,4454.5,21378.0,10798.0,0.0392,0.052896000000000006,0.0525
2000-03-06,2000H,2000M,4447.0,4541.0,4431.0,4497.5,21491.0,10599.0,0.0368,0.009607,0.009914
2000-03-07,2000H,2000M,4483.5,4570.5,4361.0,4392.5,28103.0,11543.0,0.0382,-0.023622999999999998,-0.023512
2000-03-08,2000H,2000M,4387.5,4465.0,4272.0,4457.5,26906.0,11531.0,0.0387,0.01469,0.014705000000000001
2000-03-09,2000H,2000M,4457.0,4615.0,4376.5,4608.0,4725.0,11513.0,0.0401,0.033206,0.032529
2000-03-10,2000H,2000M,4600.0,4668.0,4555.0,4605.0,1723.0,10400.0,0.0379,-0.000651,-0.000857
2000-03-13,2000H,2000M,4590.0,4597.0,4420.5,4464.0,1507.0,9874.0,0.0381,-0.031097000000000003,-0.031452
2000-03-14,2000M,2000U,4510.5,4604.0,4282.0,4300.0,28686.0,5175.0,0.0385,-0.05045,0.0
2000-03-15,2000M,2000U,4304.0,4357.0,4145.5,4162.5,33240.0,5758.0,0.0402,-0.032499,0.0
2000-03-16,2000M,2000U,4172.0,4432.5,4108.0,4414.5,31934.0,6541.0,0.0451,0.058779,0.0
2000-03-17,2000M,2000U,4415.5,4527.0,4373.0,4516.5,21752.0,7104.0,0.044000000000000004,0.022843000000000002,0.0
2000-03-20,2000M,,4507.5,4529.0,4315.5,4352.5,25413.0,7358.0,0.045,-0.036987,0.0
2000-03-21,2000M,2000U,4348.0,4529.5,4215.0,4518.0,27244.0,7812.0,0.0482,0.037319,0.036854000000000005
2000-03-22,2000M,2000U,4510.0,4709.0,4492.0,4620.0,29121.0,8350.0,0.0473,0.022325,0.022055
2000-03-23,2000M,2000U,4625.0,4775.0,4576.0,4732.5,27159.0,6679.0,0.0463,0.024059,0.023774
2000-03-24,2000M,2000U,4730.0,4884.0,4666.0,4804.0,25878.0,7066.0,0.0459,0.014995,0.014821
2000-03-27,2000M,2000U,4787.0,4850.0,4751.0,4762.0,22162.0,7547.0,0.0419,-0.008781,-0.00868
2000-03-28,2000M,2000U,4761.0,4837.5,4650.0,4662.5,25160.0,7827.0,0.0414,-0.021116,-0.018328
2000-03-29,2000M,2000U,4660.0,4678.0,4456.0,4468.5,30696.0,7584.0,0.0424,-0.042499,-0.041875
2000-03-30,2000M,2000U,4471.0,4558.0,4211.5,4327.5,32339.0,7864.0,0.0475,-0.032063,-0.031574
2000-03-31,2000M,2000U,4328.0,4486.0,4245.5,4457.5,30146.0,8653.0,0.0488,0.029598000000000003,0.028705
2000-04-03,2000M,2000U,4417.0,4417.0,4088.5,4135.0,35070.0,9447.0,0.0535,-0.075101,-0.074202
2000-04-04,2000M,2000U,4128.0,4212.0,3695.0,4066.0,44126.0,11502.0,0.0637,-0.016828,-0.015839
2000-04-05,2000M,2000U,4080.0,4213.5,3929.0,4060.0,32308.0,11975.0,0.0653,-0.001477,-0.003392
2000-04-06,2000M,2000U,4055.0,4220.0,4019.5,4145.0,27739.0,13209.0,0.0635,0.02072,0.020421
2000-04-07,2000M,2000U,4144.5,4343.5,4135.0,4337.0,23589.0,13100.0,0.062,0.04528,0.04533
2000-04-10,2000M,2000U,4340.5,4377.5,4010.0,4025.5,35883.0,13166.0,0.0659,-0.074534,-0.073426
2000-04-11,2000M,2000U,4026.0,4100.5,3886.0,3955.0,39151.0,13654.0,0.0644,-0.017669,-0.018141
2000-04-12,2000M,2000U,3954.5,4027.0,3653.0,3695.0,38550.0,14149.0,0.0692,-0.068,-0.06801499999999999
2000-04-13,2000M,2000U,3685.0,3884.0,3562.0,3585.0,38663.0,15547.0,0.0726,-0.030222000000000002,-0.031412999999999996
2000-04-14,2000M,2000U,3593.0,3620.5,3148.0,3217.5,43966.0,15073.0,0.0838,-0.108154,-0.106584
2000-04-17,2000M,2000U,3207.5,3590.0,3107.5,3577.5,41363.0,18526.0,0.0923,0.10605999999999999,0.104519
2000-04-18,2000M,2000U,3584.0,3752.0,3489.0,3750.0,33643.0,18015.0,0.0907,0.047092,0.046457
2000-04-19,2000M,2000U,3734.5,3781.0,3604.5,3622.5,29702.0,17097.0,0.0856,-0.034591000000000004,-0.034128
2000-04-20,2000M,2000U,3630.0,3670.0,3485.0,3535.0,22582.0,17648.0,0.0814,-0.024451,-0.024114
2000-04-24,2000M,2000U,3488.5,3488.5,3223.0,3417.0,30710.0,18024.0,0.0796,-0.03395,-0.033469
2000-04-25,2000M,2000U,3416.5,3655.0,3399.0,3645.0,29209.0,18440.0,0.0782,0.064593,0.063691
2000-04-26,2000M,2000U,3650.0,3734.0,3520.0,3527.5,32073.0,18870.0,0.0767,-0.032767000000000004,-0.032316000000000004
2000-04-27,2000M,2000U,3527.5,3733.5,3417.5,3685.0,35244.0,16003.0,0.0781,0.043681,0.043886
2000-04-28,2000M,2000U,3694.5,3826.5,3680.0,3810.0,20768.0,17214.0,0.07200000000000001,0.033359,0.032893
2000-05-01,2000M,2000U,3807.5,3910.0,3806.0,3867.0,31114.0,17513.0,0.0646,0.01485,0.014648
