date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2006-04-25,2006M,2006N,2.0407,2.0735,2.0402,2.069,525.0,364.0,0.0225,0.011373999999999999,0.011243000000000001
2006-04-26,2006M,2006N,2.0722,2.0753,2.026,2.0318,509.0,256.0,0.0228,-0.018143,-0.018907
2006-04-27,2006M,2006N,2.0208,2.0234,1.9915,1.9936,422.0,439.0,0.022000000000000002,-0.01898,-0.019022999999999998
2006-04-28,2006M,2006N,2.0007,2.042,2.0007,2.0129,612.0,604.0,0.0224,0.009634,0.011251
2006-05-01,2006M,2006N,2.0198,2.064,2.0196,2.0588,549.0,923.0,0.0227,0.022547,0.022513
2006-05-02,2006M,2006N,2.0717,2.0869999999999997,2.055,2.0788,641.0,1266.0,0.0218,0.009668000000000001,0.009406999999999999
2006-05-03,2006M,2006N,2.08,2.08,2.0032,2.0032,729.0,1682.0,0.024,-0.037045,-0.035755
2006-05-04,2006M,2006N,2.0031,2.0031,1.9186,1.9377,608.0,1735.0,0.0265,-0.033244,-0.03356
2006-05-05,2006M,2006N,1.9583,1.962,1.9406,1.9561,400.0,1663.0,0.0247,0.009451000000000001,0.010641
2006-05-08,2006M,2006N,1.9428,1.959,1.915,1.9545,750.0,1881.0,0.0246,-0.0008179999999999999,-0.002826
2006-05-09,2006M,2006N,1.965,2.0162,1.9607,1.9951,1115.0,1825.0,0.0257,0.02056,0.019124000000000002
2006-05-10,2006M,2006N,1.9967,2.065,1.9745,2.0647,1090.0,2220.0,0.0282,0.034291,0.033257999999999996
2006-05-11,2006M,2006N,2.0892,2.1083,2.075,2.0964,1366.0,2858.0,0.0269,0.015237,0.015468
2006-05-12,2006M,2006N,2.0719,2.085,2.0455,2.0467,661.0,2756.0,0.0257,-0.023993,-0.024817
2006-05-15,2006M,2006N,1.9988,1.9988,1.944,1.945,722.0,2962.0,0.0259,-0.050967,-0.048609
2006-05-16,2006M,2006N,1.959,1.98,1.9385,1.9515,425.0,3125.0,0.0253,0.003336,0.0049689999999999995
2006-05-17,2006M,2006N,1.9512,1.9512,1.9142,1.9212,312.0,3214.0,0.0247,-0.015648,-0.015802
2006-05-18,2006M,2006N,1.912,1.955,1.9067,1.9513,390.0,3326.0,0.025,0.015546,0.013878
2006-05-19,2006M,2006N,1.9475,1.9525,1.916,1.9201,204.0,3321.0,0.0245,-0.016119,-0.013159
2006-05-22,2006M,2006N,1.9045,1.9326,1.9015,1.9326,234.0,3307.0,0.0234,0.006489,0.005632
2006-05-23,2006M,2006N,1.9965,2.0237,1.9895,1.9989,190.0,3296.0,0.0264,0.033731,0.032647
2006-05-24,2006M,2006N,1.9643,1.986,1.9361,1.9402,205.0,2272.0,0.0263,-0.029806,-0.031014
2006-05-25,2006N,2006Q,1.9745,2.0137,1.9675,2.0137,251.0,2384.0,0.0247,0.026060000000000003,0.024957
2006-05-26,2006N,2006Q,2.0188,2.0308,1.9922,1.9922,220.0,2528.0,0.0239,-0.010734,-0.010095999999999999
2006-05-30,2006N,2006Q,2.0356,2.0442,2.0226,2.0249,456.0,2525.0,0.024,0.016281,0.016057
2006-05-31,2006N,2006Q,2.0144,2.0144,1.965,1.9953,630.0,2654.0,0.0242,-0.014726,-0.013041999999999998
2006-06-01,2006N,2006Q,1.9699,2.0174,1.9605,1.9707,429.0,2755.0,0.0247,-0.012406,-0.011865
2006-06-02,2006N,2006Q,2.0032,2.0275,1.9906,2.0145,270.0,2817.0,0.0252,0.021981999999999998,0.021442
2006-06-05,2006N,2006Q,2.0545,2.0609,2.0344,2.0427,272.0,2801.0,0.0248,0.013900999999999998,0.013256
2006-06-06,2006N,2006Q,2.0165,2.0472,2.01,2.0426,429.0,2832.0,0.0239,-4.9e-05,0.000434
2006-06-07,2006N,2006Q,2.02,2.0229,1.9816,1.9954,664.0,2946.0,0.0235,-0.023379,-0.021
2006-06-08,2006N,2006Q,1.9618,1.99,1.9534,1.9856,384.0,2847.0,0.0227,-0.004922999999999999,-0.0051340000000000005
2006-06-09,2006N,2006Q,2.0041,2.0508,2.0041,2.0459,763.0,2717.0,0.0239,0.029917000000000003,0.029792000000000003
2006-06-12,2006N,2006Q,2.0484,2.0577,1.9909999999999999,1.9913,765.0,2750.0,0.0253,-0.02705,-0.026382999999999997
2006-06-13,2006N,2006Q,1.969,1.97,1.9280000000000002,1.9316,673.0,2793.0,0.025,-0.030438999999999997,-0.027199
2006-06-14,2006N,2006Q,1.9394,1.9445,1.915,1.9359,530.0,2822.0,0.0238,0.002224,0.001772
2006-06-15,2006N,2006Q,1.9449,1.96,1.935,1.9369,827.0,3197.0,0.0224,0.000516,-0.000354
2006-06-16,2006N,2006Q,1.93,1.9356,1.9140000000000001,1.9324,605.0,3384.0,0.0211,-0.002326,-0.0027370000000000003
2006-06-19,2006N,2006Q,1.9215,1.9238,1.8886,1.8948,515.0,3408.0,0.0209,-0.019649,-0.017148
2006-06-20,2006N,2006Q,1.9114,1.929,1.8986,1.9074,539.0,3575.0,0.0205,0.006628,0.007151
2006-06-21,2006N,2006Q,1.905,1.9514,1.8905,1.9371,492.0,3520.0,0.022000000000000002,0.015451,0.016371
2006-06-22,2006N,2006Q,1.9409999999999998,1.9735,1.9305,1.9718,403.0,3603.0,0.022000000000000002,0.017755,0.017397
2006-06-23,2006N,2006Q,1.9569999999999999,1.9854,1.9569999999999999,1.9626,380.0,3681.0,0.021,-0.004677000000000001,-0.005417
2006-06-26,2006N,2006Q,1.9673,1.9980000000000002,1.9467,1.9789,442.0,3650.0,0.0215,0.008270999999999999,0.009323999999999999
2006-06-27,2006N,2006Q,1.9956,2.0003,1.9556,1.9587,152.0,3579.0,0.0216,-0.01026,-0.007731
2006-06-28,2006N,2006Q,1.9669999999999999,1.9669999999999999,1.9238,1.9374,340.0,3434.0,0.0216,-0.010934000000000001,-0.005838
2006-06-29,2006N,2006Q,1.966,1.9984,1.9585,1.9876,394.0,2807.0,0.0229,0.025581,0.025688
2006-06-30,2006Q,2006U,2.0554,2.0554,2.0286,2.0286,807.0,2031.0,0.0195,-0.010689,-0.008019
2006-07-03,2006Q,2006U,2.0311,2.0311,2.0311,2.0311,0.0,2031.0,0.017,0.001232,0.002059
2006-07-04,2006Q,2006U,2.015,2.015,2.015,2.015,0.0,2031.0,0.0148,-0.007958,-0.007441
2006-07-05,2006Q,2006U,2.0319,2.073,2.0316,2.0626,622.0,2288.0,0.0165,0.023348,0.022488
2006-07-06,2006Q,2006U,2.0565,2.0638,2.024,2.0616,834.0,2542.0,0.0169,-0.00048499999999999997,0.002165
2006-07-07,2006Q,2006U,2.06,2.0785,2.0097,2.0104,777.0,2525.0,0.0192,-0.025149,-0.022631000000000002
2006-07-10,2006Q,2006U,2.0016,2.0112,1.9542,1.9645,618.0,2531.0,0.0205,-0.023096000000000002,-0.017266999999999998
2006-07-11,2006Q,2006U,1.959,2.02,1.959,2.0106,243.0,2494.0,0.0218,0.023195,0.019236000000000003
2006-07-12,2006Q,2006U,2.0106,2.0199,1.9818,2.0184,630.0,2696.0,0.0215,0.003872,0.002588
2006-07-13,2006Q,2006U,2.0484,2.1028,2.0479,2.0799,512.0,2616.0,0.0242,0.030014999999999997,0.031752999999999997
2006-07-14,2006Q,2006U,2.109,2.1092,2.0658,2.076,412.0,2668.0,0.0237,-0.001877,-0.000974
2006-07-17,2006Q,2006U,2.0669999999999997,2.0856,2.0174,2.0194,815.0,2730.0,0.0248,-0.027643,-0.024052
2006-07-18,2006Q,2006U,2.0540000000000003,2.0694,1.9767,1.9834,473.0,2774.0,0.0277,-0.017988,-0.014126
2006-07-19,2006Q,2006U,1.9803,1.9843,1.921,1.9651,255.0,2785.0,0.0283,-0.009269,-0.012275
2006-07-20,2006Q,2006U,1.9741,1.975,1.9340000000000002,1.9340000000000002,218.0,2690.0,0.0276,-0.015953,-0.016043
2006-07-21,2006Q,2006U,1.9595,1.966,1.9276,1.9580000000000002,491.0,2624.0,0.0268,0.012333,0.0038130000000000004
2006-07-24,2006Q,2006U,1.9409999999999998,1.9725,1.9353,1.9699,272.0,2639.0,0.0259,0.006059,0.008366
2006-07-25,2006U,2006V,2.0438,2.0509,2.0044,2.0062,736.0,1929.0,0.0238,-0.016952000000000002,-0.016194999999999998
2006-07-26,2006U,2006V,2.0073,2.05,2.0071,2.0275,894.0,1675.0,0.0236,0.010561,0.009997
2006-07-27,2006U,2006V,2.0327,2.0786,2.0327,2.0523,668.0,1942.0,0.0237,0.012158,0.011318
2006-07-28,2006U,2006V,2.045,2.048,2.0091,2.0173,784.0,2371.0,0.0231,-0.017200999999999998,-0.015007
2006-07-31,2006U,2006V,2.0175,2.0473,2.0102,2.0376,765.0,2432.0,0.0225,0.010013,0.011359000000000001
2006-08-01,2006U,2007M,2.056,2.0875,2.053,2.0804,846.0,2249.0,0.0226,0.020788,0.015685
2006-08-02,2006U,2007M,2.0858,2.1394,2.0773,2.1294,1021.0,2417.0,0.0234,0.023280000000000002,0.007094
2006-08-03,2006U,2007M,2.115,2.1172,2.0842,2.1135,1070.0,2674.0,0.0223,-0.007495,-0.004222999999999999
2006-08-04,2006U,2007M,2.1099,2.1165,2.0723,2.0896,989.0,3052.0,0.022000000000000002,-0.011373000000000001,-0.008776
