date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000K,84.0,85.2,83.75,84.05,1653.0,13341.0,0.0171,-0.013590000000000001,-0.008319
2000-01-04,2000H,2000K,83.5,83.9,82.6,83.1,3522.0,13668.0,0.017,-0.011367,-0.010798
2000-01-05,2000H,2000K,83.2,86.15,83.2,85.1,1561.0,14623.0,0.0196,0.023781999999999998,0.019116
2000-01-06,2000H,2000K,85.0,86.0,83.75,83.95,1408.0,14897.0,0.0206,-0.013606,-0.011306
2000-01-07,2000H,2000K,84.4,85.0,83.9,84.0,757.0,14205.0,0.0197,0.000595,0.0
2000-01-10,2000H,2000K,84.1,84.75,84.05,84.15,355.0,14646.0,0.0183,0.001784,0.00418
2000-01-11,2000H,2000K,82.75,83.8,81.85,82.2,3061.0,14690.0,0.019,-0.023446,-0.024737000000000002
2000-01-12,2000H,2000K,82.5,82.8,82.35,82.8,1211.0,15320.0,0.0175,0.007273000000000001,0.006697
2000-01-13,2000H,2000K,82.6,84.7,82.6,84.55,1051.0,15589.0,0.0185,0.020915,0.019826
2000-01-14,2000H,2000K,84.7,85.4,83.25,83.6,1433.0,15759.0,0.0195,-0.0113,-0.010165
2000-01-18,2000H,2000K,84.5,84.7,83.6,84.4,924.0,16200.0,0.0186,0.009524,0.011354000000000001
2000-01-19,2000H,2000K,84.25,84.25,83.25,83.3,1440.0,16216.0,0.0177,-0.013119,-0.010152
2000-01-20,2000H,2000K,82.6,83.75,82.1,83.2,1465.0,16027.0,0.0179,-0.001201,-0.0036079999999999997
2000-01-21,2000H,2000K,83.9,85.25,83.7,83.85,1768.0,15846.0,0.0188,0.007781999999999999,0.006605
2000-01-24,2000H,2000K,84.0,84.0,81.5,82.6,2485.0,16221.0,0.0204,-0.015019999999999999,-0.012647
2000-01-25,2000H,2000K,82.5,83.4,82.45,82.75,715.0,16272.0,0.0192,0.001814,0.0
2000-01-26,2000H,2000K,83.25,84.4,82.8,83.7,1604.0,16256.0,0.0193,0.011415,0.012048
2000-01-27,2000H,2000K,82.5,83.0,81.7,81.8,1678.0,16320.0,0.0189,-0.022962,-0.018127
2000-01-28,2000H,2000K,81.6,81.9,80.75,80.9,1515.0,16296.0,0.0183,-0.011063,-0.014124000000000001
2000-01-31,2000H,2000K,80.5,80.6,79.45,79.5,2170.0,16154.0,0.0179,-0.017457,-0.016839
2000-02-01,2000H,2000K,79.0,80.6,78.75,80.45,1439.0,16246.0,0.0186,0.011879,0.008143000000000001
2000-02-02,2000H,2000K,80.75,81.4,80.2,81.15,748.0,16377.0,0.0182,0.008662999999999999,0.011165999999999999
2000-02-03,2000H,2000K,80.9,82.0,80.7,81.8,928.0,16418.0,0.0179,0.007978,0.0036950000000000004
2000-02-04,2000H,2000K,82.1,82.25,80.3,80.9,849.0,16333.0,0.0188,-0.011063,-0.011747
2000-02-07,2000H,2000K,80.3,81.5,80.2,81.2,909.0,16281.0,0.0183,0.003701,0.008052
2000-02-08,2000H,2000K,81.2,84.25,81.2,83.65,2952.0,16153.0,0.0207,0.029726,0.027982
2000-02-09,2000H,2000K,84.6,84.7,82.8,82.9,1893.0,15179.0,0.021,-0.009006,-0.004208
2000-02-10,2000H,2000K,83.0,84.0,82.0,83.4,1328.0,13938.0,0.0214,0.006013,0.0036079999999999997
2000-02-11,2000H,2000K,84.5,87.9,82.6,87.3,7631.0,13586.0,0.0267,0.045702,0.031899000000000004
2000-02-14,2000H,2000K,86.7,87.5,85.6,86.4,1423.0,11350.0,0.0258,-0.010362999999999999,-0.005831
2000-02-15,2000H,2000K,86.4,87.3,85.9,86.6,2918.0,10753.0,0.0244,0.0023120000000000003,-0.011765000000000001
2000-02-16,2000H,2000K,86.0,86.25,85.25,85.45,1253.0,9435.0,0.0226,-0.013368000000000001,-0.005935
2000-02-17,2000H,2000K,85.35,86.7,85.35,85.75,1090.0,8973.0,0.0215,0.003505,0.000595
2000-02-18,2000H,2000K,86.3,86.4,84.75,84.95,2904.0,8664.0,0.0213,-0.009373000000000001,-0.020433
2000-02-22,2000H,2000K,85.8,88.5,85.5,86.35,3064.0,8075.0,0.024,0.016346,0.013269
2000-02-23,2000H,2000K,87.0,87.4,86.1,86.7,1147.0,6669.0,0.0228,0.004045,0.000599
2000-02-24,2000K,2000N,83.5,84.9,83.0,84.4,1650.0,10713.0,0.0207,0.010721,0.007176999999999999
2000-02-25,2000K,2000N,85.0,87.15,85.0,86.9,4509.0,11374.0,0.0222,0.029191,0.024722
2000-02-28,2000K,2000N,87.1,87.3,85.7,85.9,2675.0,11781.0,0.0216,-0.011574,-0.01052
2000-02-29,2000K,2000N,85.9,86.25,82.4,82.55,4040.0,12448.0,0.0248,-0.03978,-0.029817000000000003
2000-03-01,2000K,2000N,83.55,84.5,83.0,83.75,1467.0,11845.0,0.0246,0.014431999999999999,0.009639
2000-03-02,2000K,2000N,84.5,84.95,83.55,84.75,580.0,11969.0,0.0235,0.01187,0.010734
2000-03-03,2000K,2000N,84.9,85.0,83.5,83.65,362.0,11901.0,0.0229,-0.013064,-0.011933
2000-03-06,2000K,2000N,83.9,84.4,82.15,82.6,1582.0,11914.0,0.0236,-0.012631999999999999,-0.011470000000000001
2000-03-07,2000K,2000N,82.75,83.1,81.7,81.8,1103.0,11995.0,0.0227,-0.009732,-0.008537000000000001
2000-03-08,2000K,2000N,81.75,82.6,81.6,82.45,419.0,11938.0,0.0213,0.007915,0.006104999999999999
2000-03-09,2000K,2000N,83.25,83.4,82.6,83.25,604.0,11999.0,0.0201,0.009656,0.006673
2000-03-10,2000K,2000N,81.25,82.9,80.6,82.7,2595.0,12093.0,0.0212,-0.006629,-0.007281999999999999
2000-03-13,2000K,2000N,82.9,83.3,82.6,82.9,463.0,12196.0,0.0195,0.002415,0.0054659999999999995
2000-03-14,2000K,2000N,83.15,84.1,82.6,84.0,1223.0,12315.0,0.0192,0.013182,0.010244
2000-03-15,2000K,2000N,84.7,86.45,84.7,85.55,3356.0,12322.0,0.0204,0.018284,0.019591
2000-03-16,2000K,2000N,85.4,86.0,84.8,85.9,687.0,12107.0,0.0195,0.004083,-0.000588
