date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000J,2000N,417.5,417.5,407.0,413.7,1798.0,9623.0,0.0195,-0.020338,-0.020685
2000-01-05,2000J,2000N,407.5,407.5,398.0,401.9,2902.0,9709.0,0.02,-0.028938,-0.029443
2000-01-06,2000J,2000N,395.5,397.9,388.1,394.0,5188.0,9828.0,0.0208,-0.019852,-0.020208
2000-01-07,2000J,2000N,394.0,399.5,394.0,396.0,819.0,8956.0,0.0201,0.005063000000000001,0.005155
2000-01-10,2000J,2000N,396.0,400.8,395.0,398.5,469.0,8877.0,0.0196,0.006293,0.006406
2000-01-11,2000J,2000N,397.5,400.5,395.5,398.0,467.0,8649.0,0.0188,-0.001255,0.001276
2000-01-12,2000J,2000N,397.5,402.9,396.5,402.4,827.0,8538.0,0.0184,0.010995,0.011162
2000-01-13,2000J,2000N,402.0,406.5,401.0,404.9,649.0,8532.0,0.0177,0.006194,0.006287
2000-01-14,2000J,2000N,409.8,412.0,407.0,410.4,674.0,8592.0,0.0176,0.013491999999999999,0.011218
2000-01-18,2000J,2000N,407.0,416.0,407.0,415.7,2115.0,9284.0,0.0181,0.012832,0.013053
2000-01-19,2000J,2000N,418.0,429.0,418.0,428.2,2923.0,10185.0,0.0197,0.029626999999999997,0.028939
2000-01-20,2000J,2000N,428.0,428.2,418.0,423.5,1749.0,10057.0,0.0202,-0.011037,-0.011235
2000-01-21,2000J,2000N,421.0,430.5,420.1,427.0,1223.0,10176.0,0.0206,0.00823,0.008378
2000-01-24,2000J,2000N,431.0,438.0,431.0,436.0,1700.0,10704.0,0.0211,0.020858,0.018890999999999998
2000-01-25,2000J,2000N,440.5,444.0,438.0,441.9,1190.0,10712.0,0.0205,0.013441,0.012551999999999999
2000-01-26,2000J,2000N,435.0,437.0,431.2,432.5,1286.0,10676.0,0.0195,-0.021501,-0.021953
2000-01-27,2000J,2000N,436.0,446.0,435.5,445.6,1772.0,10735.0,0.0209,0.029838999999999997,0.028170999999999998
2000-01-28,2000J,2000N,456.0,458.5,445.0,453.8,1858.0,10871.0,0.022000000000000002,0.018234999999999998,0.014133000000000001
2000-01-31,2000J,2000N,455.0,457.5,454.5,455.0,515.0,10668.0,0.02,0.002641,0.002712
2000-02-01,2000J,2000N,455.0,455.5,451.5,452.9,613.0,10469.0,0.0184,-0.004626,-0.004752
2000-02-02,2000J,2000N,459.5,468.0,459.5,466.2,1648.0,10618.0,0.0202,0.028943,0.02972
2000-02-03,2000J,2000N,474.0,475.0,468.5,474.8,952.0,10639.0,0.0198,0.018279,0.018757
2000-02-04,2000J,2000N,477.0,480.5,473.0,479.5,1419.0,10467.0,0.0191,0.00985,0.010104
2000-02-07,2000J,2000N,489.0,490.0,469.5,474.3,1269.0,10550.0,0.0222,-0.010904,-0.011184999999999999
2000-02-08,2000J,2000N,484.0,502.0,479.0,498.5,1716.0,10367.0,0.0266,0.049763999999999996,0.051023
2000-02-09,2000J,2000N,515.0,532.0,510.5,529.6,2376.0,10295.0,0.0316,0.060517999999999995,0.050111
2000-02-10,2000J,2000N,511.2,519.5,505.0,517.9,1708.0,10231.0,0.0308,-0.022340000000000002,-0.007063
2000-02-11,2000J,2000N,523.0,528.0,515.0,526.4,1461.0,10058.0,0.0296,0.016279,0.014659
2000-02-14,2000J,2000N,516.4,520.0,514.0,517.2,1679.0,10403.0,0.0267,-0.017632,-0.016038
2000-02-15,2000J,2000N,516.0,537.5,512.0,527.9,1667.0,10406.0,0.0294,0.020477000000000002,0.020877
2000-02-16,2000J,2000N,531.2,544.9,529.0,542.4,1438.0,10489.0,0.0297,0.027097000000000003,0.021962
2000-02-17,2000J,2000N,548.0,555.0,516.2,529.4,2043.0,10653.0,0.0354,-0.024259,-0.022928
2000-02-18,2000J,2000N,510.0,515.0,489.4,503.2,2169.0,9709.0,0.0375,-0.050757,-0.043855
2000-02-22,2000J,2000N,490.0,518.0,483.0,509.3,1362.0,9859.0,0.0415,0.01205,0.012243
2000-02-23,2000J,2000N,490.5,498.0,470.1,471.9,1562.0,9207.0,0.044000000000000004,-0.07627,-0.051157
2000-02-24,2000J,2000N,465.0,476.0,460.0,468.0,1943.0,9144.0,0.0436,-0.008298999999999999,-0.034821
2000-02-25,2000J,2000N,465.0,467.0,450.1,452.1,1591.0,8978.0,0.0437,-0.034565,-0.039689999999999996
2000-02-28,2000J,2000N,460.0,470.0,458.1,465.1,523.0,8563.0,0.0435,0.028349,0.028981
2000-02-29,2000J,2000N,474.0,480.0,467.0,471.7,1031.0,8374.0,0.0426,0.014091,0.014398
2000-03-01,2000J,2000N,466.7,474.0,463.5,467.2,458.0,8247.0,0.04,-0.009586,-0.005429
2000-03-02,2000J,2000N,460.0,460.0,445.0,452.5,1473.0,7815.0,0.0392,-0.03197,-0.028045999999999998
2000-03-03,2000J,2000N,454.0,465.0,454.0,463.5,704.0,7559.0,0.0374,0.024019,0.024337
2000-03-06,2000J,2000N,461.0,465.0,460.0,464.1,191.0,7470.0,0.0339,0.001294,-0.000875
2000-03-07,2000J,2000N,461.0,471.0,457.0,469.0,647.0,7441.0,0.0334,0.010503,0.012825
