date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000K,472.5,474.0,463.25,464.5,28726.0,61985.0,0.0153,-0.011239,-0.013162
2000-01-04,2000H,2000K,465.5,474.0,465.5,471.5,31458.0,63581.0,0.016,0.014958,0.015250999999999999
2000-01-05,2000H,2000K,472.0,478.0,470.0,477.0,36679.0,65407.0,0.0161,0.011597,0.011933
2000-01-06,2000H,2000K,476.0,480.5,474.0,475.5,37661.0,64751.0,0.0157,-0.00315,-0.0015480000000000001
2000-01-07,2000H,2000K,474.0,479.5,473.25,478.75,29583.0,66231.0,0.0153,0.006812,0.006179
2000-01-10,2000H,2000K,472.5,476.5,472.0,473.5,33085.0,69253.0,0.0145,-0.011027,-0.011358
2000-01-11,2000H,2000K,472.5,478.75,471.5,474.5,31489.0,70294.0,0.0146,0.0021100000000000003,0.002075
2000-01-12,2000H,2000K,486.0,487.0,479.0,480.25,47260.0,71006.0,0.0161,0.012045,0.012359
2000-01-13,2000H,2000K,479.5,491.0,479.0,489.0,48759.0,71700.0,0.0172,0.018056,0.017251
2000-01-14,2000H,2000K,488.0,498.0,487.5,496.25,50241.0,73544.0,0.0177,0.014717,0.014482
2000-01-18,2000H,2000K,488.0,503.0,487.5,502.25,43256.0,72498.0,0.0194,0.012018000000000001,0.012318
2000-01-19,2000H,2000K,499.5,504.0,497.75,501.0,35079.0,73864.0,0.0183,-0.0024920000000000003,-0.0024519999999999998
2000-01-20,2000H,2000K,500.5,506.75,497.5,505.5,38300.0,74833.0,0.0182,0.008942,0.009770000000000001
2000-01-21,2000H,2000K,505.0,507.5,501.0,505.25,32691.0,75780.0,0.0174,-0.000495,-0.000973
2000-01-24,2000H,2000K,512.0,513.0,508.0,512.0,34879.0,76139.0,0.017,0.013271000000000002,0.013533000000000002
2000-01-25,2000H,2000K,511.5,517.5,510.5,517.0,27261.0,76272.0,0.0165,0.009718000000000001,0.008604
2000-01-26,2000H,2000K,514.0,516.0,511.75,513.25,27215.0,76143.0,0.0153,-0.00728,-0.0057280000000000005
2000-01-27,2000H,2000K,509.5,528.0,508.0,527.0,56732.0,81561.0,0.0184,0.026437000000000002,0.025988
2000-01-28,2000H,2000K,524.5,529.0,521.5,523.5,38135.0,80921.0,0.0177,-0.006664,-0.007490999999999999
2000-01-31,2000H,2000K,514.0,515.0,505.0,508.0,38979.0,78749.0,0.018000000000000002,-0.030056,-0.026668
2000-02-01,2000H,2000K,511.0,511.5,503.0,510.0,32129.0,76407.0,0.0178,0.003929,0.002892
2000-02-02,2000H,2000K,508.0,513.0,505.5,507.5,23896.0,75771.0,0.0174,-0.004914,-0.005792
2000-02-03,2000H,2000K,504.5,505.0,498.0,501.0,34115.0,75164.0,0.0171,-0.012891,-0.012665000000000001
2000-02-04,2000H,2000K,496.0,506.0,495.0,505.5,34143.0,74427.0,0.0178,0.008942,0.008298999999999999
2000-02-07,2000H,2000K,507.5,510.25,505.0,506.5,27968.0,71737.0,0.0168,0.0019760000000000003,0.003397
2000-02-08,2000H,2000K,501.0,504.75,499.0,500.25,27228.0,69938.0,0.0162,-0.012416,-0.011696
2000-02-09,2000H,2000K,497.5,504.5,496.75,503.75,25957.0,68385.0,0.0161,0.006972,0.006352
2000-02-10,2000H,2000K,506.0,514.0,502.5,513.0,35788.0,66432.0,0.0169,0.018196,0.016905
2000-02-11,2000H,2000K,511.0,513.0,504.25,505.25,35340.0,63388.0,0.0169,-0.015222,-0.013500999999999999
2000-02-14,2000H,2000N,506.5,510.25,504.5,505.0,22717.0,62407.0,0.0162,-0.000495,-0.000478
2000-02-15,2000H,2000N,502.0,510.75,501.5,508.75,28646.0,62437.0,0.0164,0.007398,0.007145
2000-02-16,2000H,2000N,510.5,512.5,503.25,507.5,29942.0,59133.0,0.0167,-0.00246,-0.001425
2000-02-17,2000H,2000N,508.0,510.0,504.5,508.0,24879.0,57462.0,0.0159,0.000985,0.001425
2000-02-18,2000H,2000N,508.0,516.0,507.75,514.5,32464.0,52094.0,0.0159,0.012714,0.011326000000000001
2000-02-22,2000H,2000N,516.0,518.75,512.5,513.0,37541.0,44111.0,0.0154,-0.00292,-0.0014089999999999999
2000-02-23,2000H,2000N,510.0,511.0,499.5,499.75,30423.0,34874.0,0.0164,-0.026168,-0.029568
2000-02-24,2000K,2000N,504.0,514.5,504.0,513.75,35401.0,65877.0,0.0167,0.010763,0.01155
2000-02-25,2000K,2000N,512.0,513.0,500.5,505.5,46308.0,68659.0,0.0178,-0.016189,-0.016888
2000-02-28,2000K,2000N,502.5,509.0,502.5,506.25,33219.0,70947.0,0.0172,0.001483,0.001459
2000-02-29,2000K,2000N,503.0,512.0,503.0,511.0,31433.0,75929.0,0.0174,0.009339,0.012075
2000-03-01,2000K,2000N,510.0,514.0,505.0,506.25,30391.0,76284.0,0.0174,-0.009339,-0.011103
2000-03-02,2000K,2000N,504.0,511.5,501.5,510.5,41095.0,78474.0,0.0177,0.00836,0.006773
2000-03-03,2000K,2000N,511.0,516.75,509.5,513.0,30974.0,78886.0,0.0172,0.0048850000000000005,0.0067280000000000005
2000-03-06,2000K,2000N,511.5,518.5,510.0,517.25,27267.0,80748.0,0.0171,0.00825,0.008109
2000-03-07,2000K,2000N,518.0,520.0,511.0,511.5,33701.0,77343.0,0.0171,-0.011179000000000001,-0.011948
2000-03-08,2000K,2000N,511.0,518.5,510.5,515.5,31541.0,77976.0,0.0169,0.007790000000000001,0.009093
2000-03-09,2000K,2000N,518.5,520.0,515.5,516.5,28118.0,79139.0,0.0158,0.0019379999999999998,0.001428
2000-03-10,2000K,2000N,519.5,519.5,508.0,509.75,36810.0,77888.0,0.0167,-0.013155000000000002,-0.012928
2000-03-13,2000K,2000N,514.0,524.0,513.5,523.0,45923.0,77316.0,0.0181,0.025661,0.024281
2000-03-14,2000K,2000N,523.0,531.0,523.0,530.0,46384.0,77297.0,0.0176,0.013296,0.015403
2000-03-15,2000K,2000N,527.0,530.0,524.0,525.0,29924.0,76416.0,0.0168,-0.009479000000000001,-0.007437999999999999
2000-03-16,2000K,2000N,523.0,534.5,522.5,525.5,42482.0,76901.0,0.0175,0.0009519999999999999,0.001399
2000-03-17,2000K,2000N,532.0,538.5,530.5,537.5,39726.0,80142.0,0.0183,0.022579,0.020752
2000-03-20,2000K,2000N,526.0,529.5,523.5,525.75,33299.0,81358.0,0.0174,-0.022103,-0.020287
2000-03-21,2000K,2000N,525.0,527.75,522.5,526.75,24176.0,80590.0,0.0164,0.0019,0.001861
2000-03-22,2000K,2000N,528.5,531.5,526.0,531.0,25674.0,79129.0,0.0156,0.008036,0.007411
2000-03-23,2000K,2000N,528.0,528.5,521.0,522.0,32877.0,78091.0,0.0154,-0.017093999999999998,-0.016752
2000-03-24,2000K,2000N,528.0,534.0,527.0,530.75,34293.0,75792.0,0.0164,0.016624,0.015829
2000-03-27,2000K,2000N,534.0,535.75,527.5,531.5,23037.0,75285.0,0.0163,0.0014119999999999998,0.001385
2000-03-28,2000K,2000N,530.0,530.0,525.5,526.5,20970.0,73066.0,0.0152,-0.009452,-0.008801999999999999
2000-03-29,2000K,2000N,529.0,529.75,523.5,529.0,22180.0,72252.0,0.0148,0.004737,0.0041789999999999996
2000-03-30,2000K,2000N,532.5,538.0,531.5,537.5,28093.0,71818.0,0.015,0.01594,0.015633
2000-03-31,2000K,2000N,542.0,548.5,540.5,545.5,43676.0,76777.0,0.0157,0.014774,0.017187
2000-04-03,2000K,2000N,549.0,554.0,546.0,546.5,34686.0,78292.0,0.0156,0.001832,0.0017920000000000002
2000-04-04,2000K,2000N,546.0,547.5,529.0,538.5,39735.0,74121.0,0.0181,-0.014747,-0.015336
2000-04-05,2000K,2000N,539.5,543.75,535.5,543.0,27548.0,72427.0,0.0176,0.008322,0.00905
2000-04-06,2000K,2000N,535.5,536.5,530.5,531.0,29065.0,69333.0,0.0168,-0.022347,-0.021859
2000-04-07,2000K,2000N,526.5,540.0,526.0,538.75,29772.0,67681.0,0.018000000000000002,0.014490000000000001,0.014625
2000-04-10,2000K,2000N,531.0,534.25,530.0,532.0,20258.0,64442.0,0.0168,-0.012608,-0.012786
2000-04-11,2000K,2000N,529.0,535.5,527.5,528.0,30559.0,63570.0,0.0166,-0.007547,-0.008306000000000001
2000-04-12,2000K,2000N,531.0,538.0,531.0,537.5,29677.0,62797.0,0.0169,0.017832,0.018366
2000-04-13,2000K,2000N,536.5,541.0,534.5,538.25,20797.0,55269.0,0.0162,0.001394,0.0022719999999999997
2000-04-14,2000K,2000N,542.0,543.5,532.0,532.5,19779.0,51690.0,0.017,-0.010740000000000001,-0.011413
2000-04-17,2000N,2000Q,542.5,547.5,541.5,544.0,25650.0,77135.0,0.0158,-0.000919,-0.002282
2000-04-18,2000N,2000Q,544.0,547.5,542.25,547.0,26257.0,78569.0,0.015,0.0055,0.005921
2000-04-19,2000N,2000Q,548.0,551.5,546.5,550.75,26271.0,81758.0,0.0142,0.0068319999999999995,0.006789
2000-04-20,2000N,2000Q,543.5,550.0,541.5,549.0,24880.0,83234.0,0.0144,-0.0031829999999999996,-0.0031620000000000003
2000-04-24,2000N,2000Q,547.0,558.0,545.25,557.0,33416.0,86117.0,0.0155,0.014466999999999999,0.013483000000000002
2000-04-25,2000N,2000Q,556.5,560.5,554.0,556.5,36160.0,93029.0,0.0149,-0.000898,-0.00044699999999999997
2000-04-26,2000N,2000Q,560.0,561.5,552.5,553.25,34318.0,97713.0,0.0151,-0.005857,-0.005374
2000-04-27,2000N,2000Q,550.0,552.0,544.0,545.0,42535.0,99702.0,0.015,-0.015024000000000001,-0.015385
2000-04-28,2000N,2000Q,546.0,547.0,533.0,539.25,57914.0,97720.0,0.0165,-0.010607,-0.011465000000000001
2000-05-01,2000N,2000X,548.25,569.25,548.0,567.75,69970.0,101526.0,0.0215,0.051502,0.049524
2000-05-02,2000N,2000X,568.0,573.0,564.5,565.5,36937.0,102373.0,0.0206,-0.003971,-0.004757
2000-05-03,2000N,2000X,569.0,582.5,568.5,572.0,52060.0,103679.0,0.0218,0.011429,0.012492
2000-05-04,2000N,2000X,566.0,574.5,565.5,572.25,32283.0,103866.0,0.0208,0.000437,-0.001285
2000-05-05,2000N,2000X,569.0,569.75,562.5,566.0,36105.0,104151.0,0.0196,-0.010981999999999999,-0.009907
2000-05-08,2000N,2000X,555.0,563.5,554.0,559.0,39541.0,102738.0,0.0193,-0.012445,-0.013511000000000002
2000-05-09,2000N,2000X,556.5,558.75,554.25,556.0,29342.0,103040.0,0.0178,-0.005381,-0.004838
2000-05-10,2000N,2000X,560.0,573.0,559.0,570.0,41689.0,105177.0,0.0195,0.024868,0.026541000000000002
2000-05-11,2000N,2000X,570.0,571.5,563.5,568.5,31264.0,104877.0,0.0188,-0.002635,-0.001289
2000-05-12,2000N,2000X,561.0,567.0,559.5,565.75,30168.0,106652.0,0.018000000000000002,-0.004849,-0.003014
2000-05-15,2000N,2000X,555.0,555.0,537.0,549.75,58827.0,101598.0,0.02,-0.028689,-0.02843
2000-05-16,2000N,2000X,548.5,551.75,542.0,543.75,31327.0,100713.0,0.0197,-0.010974,-0.011602
2000-05-17,2000N,2000X,538.5,545.0,536.5,541.25,40137.0,97580.0,0.0193,-0.004608,-0.007206999999999999
2000-05-18,2000N,2000X,553.0,560.5,545.5,547.75,56493.0,97852.0,0.0215,0.011937999999999999,0.013025
2000-05-19,2000N,2000X,546.5,555.0,546.0,554.5,24542.0,97495.0,0.0209,0.012248,0.008
2000-05-22,2000N,2000X,550.0,560.0,548.5,553.0,28326.0,98777.0,0.0209,-0.002709,-0.001772
