date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2003-11-18,2006Z,,25.34,25.34,25.34,25.34,0.0,0.0,0.0039,0.028825,0.0
2003-11-19,2006Z,,24.53,24.53,24.53,24.53,0.0,0.0,0.0034,-0.032487,0.0
2003-11-20,2006Z,,24.42,24.42,24.42,24.42,0.0,850.0,0.0029,-0.004494,0.0
2003-11-24,2006Z,,23.85,23.85,23.85,23.85,0.0,4550.0,0.0025,-0.023618,0.0
2003-11-25,2006Z,,24.21,24.21,24.21,24.21,0.0,1050.0,0.0042,0.014981999999999999,0.0
2003-11-26,2006Z,,24.45,24.45,24.45,24.45,0.0,1050.0,0.005,0.009864,0.0
2003-11-27,2006Z,,24.44,24.44,24.44,24.44,0.0,1050.0,0.0043,-0.00040899999999999997,0.0
2003-11-28,2006Z,,24.3,24.3,24.3,24.3,0.0,1050.0,0.0037,-0.005745,0.0
2003-12-01,2006Z,,24.62,24.62,24.62,24.62,0.0,1050.0,0.005,0.013083000000000001,0.0
2003-12-02,2006Z,,24.62,24.62,24.62,24.62,0.0,1075.0,0.0043,0.0,0.0
2003-12-03,2006Z,,24.97,24.97,24.97,24.97,0.0,1075.0,0.0056,0.014116,0.0
2003-12-04,2006Z,,25.11,25.11,24.82,24.82,100.0,1275.0,0.0064,-0.006025,0.0
2003-12-05,2006Z,,24.89,24.89,24.89,24.89,0.0,1275.0,0.0059,0.002816,0.0
2003-12-08,2006Z,,25.62,25.62,25.62,25.62,0.0,1275.0,0.009000000000000001,0.028907,0.0
2003-12-09,2006Z,,25.19,25.19,25.19,25.19,0.0,1275.0,0.0077,-0.016926,0.0
2003-12-10,2006Z,,25.06,25.06,25.06,25.06,0.0,1275.0,0.0067,-0.005174,0.0
2003-12-11,2006Z,,25.04,25.04,25.04,25.04,0.0,1275.0,0.0058,-0.000798,0.0
2003-12-12,2006Z,,25.26,25.26,25.26,25.26,0.0,1325.0,0.0062,0.008748,0.0
2003-12-15,2006Z,,25.56,25.56,25.56,25.56,0.0,1325.0,0.0069,0.011807,0.0
2003-12-16,2006Z,,24.98,24.98,24.98,24.98,0.0,1500.0,0.006,-0.022953,0.0
2003-12-17,2006Z,,25.16,25.16,25.16,25.16,0.0,1500.0,0.0062,0.00718,0.0
2003-12-18,2006Z,,25.33,25.33,25.33,25.33,0.0,1800.0,0.0062,0.006734,0.0
2003-12-19,2006Z,,24.89,24.89,24.89,24.89,0.0,1800.0,0.0054,-0.017523,0.0
2003-12-22,2006Z,,24.85,24.85,24.85,24.85,0.0,1800.0,0.0047,-0.0016079999999999998,0.0
2003-12-23,2006Z,,25.06,25.06,25.06,25.06,0.0,1800.0,0.0052,0.008415,0.0
2003-12-24,2006Z,,24.98,24.98,24.98,24.98,0.0,1800.0,0.0045,-0.0031969999999999998,0.0
2003-12-29,2006Z,,25.07,25.07,25.07,25.07,0.0,1800.0,0.0044,0.0035960000000000002,0.0
2003-12-30,2006Z,,25.25,25.25,25.25,25.25,0.0,1800.0,0.0048,0.007154000000000001,0.0
2003-12-31,2006Z,,25.58,25.58,25.58,25.58,0.0,1800.0,0.0059,0.012985,0.0
