date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,,99.2266,99.2266,99.0547,99.0859,1934.0,32640.0,0.0011,-0.002205,0.0
2000-01-04,2000H,,99.0312,99.2969,99.0,99.2109,1947.0,32737.0,0.0014,0.001261,0.0
2000-01-05,2000H,,99.25,99.25,99.0469,99.0781,3674.0,32956.0,0.0015,-0.00134,0.0
2000-01-06,2000H,,99.0938,99.1719,99.0859,99.1484,2612.0,32415.0,0.0014,0.000709,0.0
2000-01-07,2000H,2000M,99.1875,99.2266,99.0625,99.2188,1053.0,33071.0,0.0014,0.000709,0.0007099999999999999
2000-01-10,2000H,2000M,99.1719,99.1953,99.0859,99.1094,576.0,32401.0,0.0014,-0.001103,-0.001105
2000-01-11,2000H,2000M,99.1172,99.1172,98.9453,98.9609,2920.0,32569.0,0.0014,-0.0014990000000000001,-0.001501
2000-01-12,2000H,2000M,98.9688,98.9844,98.8906,98.8984,2488.0,32328.0,0.0014,-0.0006320000000000001,-0.000633
2000-01-13,2000H,2000M,98.9375,99.0625,98.9062,99.0547,3449.0,32684.0,0.0014,0.0015789999999999999,0.0015810000000000002
2000-01-14,2000H,2000M,99.0547,99.1562,98.9375,98.9688,1942.0,32534.0,0.0015,-0.000868,-0.000869
2000-01-18,2000H,2000M,98.9688,98.9922,98.8359,98.8984,2328.0,32502.0,0.0015,-0.000711,-0.000712
2000-01-19,2000H,2000M,98.9141,98.9688,98.8438,98.9531,1725.0,33760.0,0.0015,0.000553,0.000554
2000-01-20,2000H,2000M,98.9531,98.9688,98.8438,98.9062,3798.0,34139.0,0.0015,-0.00047400000000000003,-0.000475
2000-01-21,2000H,2000M,98.875,98.9219,98.7969,98.9141,4381.0,34958.0,0.0014,7.900000000000001e-05,7.900000000000001e-05
2000-01-24,2000H,2000M,98.9297,99.0312,98.9062,99.0234,1576.0,37180.0,0.0014,0.001105,0.000554
2000-01-25,2000H,2000M,99.0156,99.0625,98.9844,99.0,1121.0,36285.0,0.0013,-0.00023700000000000001,-0.00015800000000000002
2000-01-26,2000H,2000M,98.9922,99.0312,98.9297,98.9609,2637.0,36164.0,0.0013,-0.000395,-0.000395
2000-01-27,2000H,2000M,99.0,99.0,98.7734,98.8438,4474.0,36429.0,0.0014,-0.001185,-0.000712
2000-01-28,2000H,2000M,98.8438,98.875,98.5469,98.7266,4451.0,36532.0,0.0017,-0.001186,-0.001188
2000-01-31,2000H,2000M,98.6875,98.75,98.5938,98.625,2107.0,36888.0,0.0017,-0.001029,-0.001031
2000-02-01,2000H,2000M,98.625,98.75,98.625,98.6719,3864.0,36124.0,0.0016,0.000475,0.000317
2000-02-02,2000H,2000M,98.6797,98.75,98.5625,98.6172,3132.0,36422.0,0.0017,-0.000554,-0.000397
2000-02-03,2000H,2000M,98.7812,99.0781,98.5703,98.75,9066.0,36655.0,0.0021,0.0013460000000000002,0.001348
2000-02-04,2000H,2000M,98.75,98.8359,98.5938,98.6094,2981.0,37878.0,0.0022,-0.001425,-0.001745
2000-02-07,2000H,2000M,98.5312,98.5938,98.4766,98.4922,1408.0,38504.0,0.002,-0.001189,-0.001191
2000-02-08,2000H,2000M,98.5,98.5938,98.5,98.5078,2991.0,38912.0,0.0019,0.00015900000000000002,-0.000397
2000-02-09,2000H,2000M,98.5078,98.5312,98.4062,98.5234,3672.0,39749.0,0.0018,0.00015900000000000002,0.00031800000000000003
2000-02-10,2000H,2000M,98.5312,98.6406,98.4688,98.5391,5365.0,40676.0,0.0018,0.00015900000000000002,0.00015900000000000002
2000-02-11,2000H,2000M,98.5391,98.6172,98.5234,98.6016,2125.0,40808.0,0.0017,0.000634,0.0006360000000000001
2000-02-14,2000H,2000M,98.6172,98.7266,98.6016,98.7188,2535.0,40536.0,0.0016,0.001188,0.001428
2000-02-15,2000H,2000M,98.7656,98.7656,98.625,98.6719,3297.0,40670.0,0.0016,-0.000475,-0.000397
2000-02-16,2000H,2000M,98.6719,98.6953,98.625,98.6797,2514.0,40703.0,0.0015,7.900000000000001e-05,0.00015900000000000002
2000-02-17,2000H,2000M,98.7188,98.7969,98.5391,98.5781,4519.0,41296.0,0.0016,-0.00103,-0.0009519999999999999
2000-02-18,2000H,2000M,98.5625,98.6562,98.5469,98.6562,6157.0,40778.0,0.0016,0.000792,0.0008730000000000001
2000-02-22,2000H,2000M,98.7344,98.9062,98.6953,98.8906,10841.0,41349.0,0.0017,0.002373,0.002535
2000-02-23,2000H,2000M,98.9062,98.9062,98.6797,98.7031,8537.0,38867.0,0.0018,-0.001898,-0.0019010000000000001
2000-02-24,2000H,2000M,98.7031,98.9609,98.7031,98.9297,9846.0,35080.0,0.0019,0.002293,0.002455
2000-02-25,2000H,2000M,98.9219,99.0781,98.8125,99.0703,12656.0,34241.0,0.002,0.0014199999999999998,0.001344
2000-02-28,2000H,2000M,99.0938,99.0938,98.9062,98.9141,11167.0,30291.0,0.002,-0.001578,-0.0016600000000000002
2000-02-29,2000H,2000M,98.9375,98.9453,98.8438,98.8984,5369.0,17912.0,0.0019,-0.00015800000000000002,-0.000475
2000-03-01,2000H,2000M,98.9453,98.9531,98.875,98.9297,4550.0,16292.0,0.0017,0.00031600000000000004,0.000317
2000-03-02,2000H,2000M,98.8906,98.9453,98.8828,98.9062,3498.0,14064.0,0.0016,-0.00023700000000000001,-0.00023700000000000001
2000-03-03,2000M,2000U,98.7344,98.875,98.6562,98.7812,4489.0,28638.0,0.0014,0.000633,0.0
2000-03-06,2000M,2000U,98.7422,98.7578,98.6406,98.6797,3632.0,30465.0,0.0014,-0.001029,0.0
2000-03-07,2000M,2000U,98.7109,98.8125,98.5625,98.7891,5948.0,31731.0,0.0015,0.001108,0.0
2000-03-08,2000M,2000U,98.8438,98.8438,98.7109,98.7734,3327.0,34585.0,0.0015,-0.00015800000000000002,0.0
2000-03-09,2000M,2000U,98.8125,98.875,98.7969,98.8203,4165.0,36811.0,0.0014,0.00047400000000000003,0.0
2000-03-10,2000M,2000U,98.7812,98.8125,98.7031,98.7344,1757.0,38841.0,0.0014,-0.0008699999999999999,0.0
