date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000M,95.6562,95.6562,95.0,95.0781,105502.0,503272.0,0.0048,-0.008183,-0.007795999999999999
2000-01-04,2000H,2000M,95.0547,95.625,94.7188,95.5547,148650.0,513933.0,0.0055,0.005,0.004028
2000-01-05,2000H,2000M,95.6094,95.7656,94.8281,94.875,165082.0,522390.0,0.0061,-0.007137999999999999,-0.006751000000000001
2000-01-06,2000H,2000M,94.875,95.3047,94.8359,95.2031,134012.0,525212.0,0.0059,0.003453,0.003546
2000-01-07,2000H,2000M,95.25,95.6094,94.75,95.5781,149050.0,542207.0,0.0063,0.0039310000000000005,0.004353
2000-01-10,2000H,2000M,95.5469,95.5469,95.2266,95.3359,149050.0,542207.0,0.0059,-0.002537,-0.0025440000000000003
2000-01-11,2000H,2000M,95.3438,95.4062,94.5156,94.5625,156958.0,559591.0,0.0064,-0.008145999999999999,-0.008167
2000-01-12,2000H,2000M,94.625,94.75,94.3281,94.3828,184522.0,552847.0,0.0061,-0.001902,-0.001907
2000-01-13,2000H,2000M,94.375,95.0234,94.3047,95.0156,172113.0,556486.0,0.0063,0.006682,0.006534999999999999
2000-01-14,2000H,2000M,95.0,95.4375,94.4688,94.6094,174964.0,567863.0,0.0069,-0.004285,-0.004462
2000-01-18,2000H,2000M,94.5781,94.7188,93.9766,94.125,159512.0,580830.0,0.006999999999999999,-0.0051329999999999995,-0.005565
2000-01-19,2000H,2000M,94.1328,94.4453,94.0,94.3359,141385.0,572971.0,0.0067,0.002239,0.002246
2000-01-20,2000H,2000M,94.3359,94.5156,93.9688,94.0547,206952.0,582056.0,0.0066,-0.002986,-0.003496
2000-01-21,2000H,2000M,94.0234,94.1641,93.6641,93.9766,226870.0,598092.0,0.0064,-0.000831,-0.001168
2000-01-24,2000H,2000M,94.0234,94.5781,94.0,94.5547,134233.0,604289.0,0.0064,0.0061329999999999996,0.006490999999999999
