date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-03,2000H,2000N,251.5,251.5,245.25,247.5,13318.0,85433.0,0.0169,-0.004032,-0.002797
2000-01-04,2000H,2000N,246.0,248.0,241.0,247.25,21098.0,87351.0,0.0184,-0.001011,0.000933
2000-01-05,2000H,2000N,247.5,250.0,246.0,249.75,14629.0,85225.0,0.0181,0.01006,0.011132
2000-01-06,2000H,2000N,249.75,251.0,247.5,248.5,13613.0,84590.0,0.0175,-0.005018,-0.0046229999999999995
2000-01-07,2000H,2000N,246.5,252.0,246.0,251.75,16437.0,85676.0,0.0184,0.012994,0.010143000000000001
2000-01-10,2000H,2000N,249.5,255.0,249.0,253.5,18312.0,86106.0,0.019,0.006927,0.008223000000000001
2000-01-11,2000H,2000N,253.5,256.0,251.5,253.75,17475.0,85692.0,0.0188,0.000986,0.00091
2000-01-12,2000H,2000N,259.0,260.0,257.0,258.75,21277.0,85600.0,0.0195,0.019513,0.018019
2000-01-13,2000H,2000N,257.0,263.75,257.0,263.5,21154.0,84532.0,0.0202,0.018191,0.015944
2000-01-14,2000H,2000N,263.0,267.75,261.5,265.0,27305.0,81333.0,0.0205,0.005676,0.006132
2000-01-18,2000H,2000N,262.0,265.5,261.0,264.5,14027.0,82034.0,0.0199,-0.001889,-0.002624
2000-01-19,2000H,2000N,265.0,266.5,263.0,266.0,12005.0,80871.0,0.0189,0.0056549999999999994,0.006111
2000-01-20,2000H,2000N,264.75,265.75,262.5,265.0,14719.0,82476.0,0.0179,-0.003766,-0.0034869999999999996
2000-01-21,2000H,2000N,265.0,266.25,261.5,264.25,13919.0,82020.0,0.0179,-0.002834,-0.0035
2000-01-24,2000H,2000N,267.0,269.0,265.0,266.0,17518.0,80726.0,0.0179,0.006601,0.006116
2000-01-25,2000H,2000N,265.0,265.25,263.0,264.75,11348.0,78691.0,0.0167,-0.00471,-0.00524
2000-01-26,2000H,2000N,262.5,262.5,259.0,260.0,17814.0,78392.0,0.0163,-0.018104,-0.013222
2000-01-27,2000H,2000N,259.0,264.0,256.5,263.5,26235.0,80691.0,0.0179,0.013372,0.010591
2000-01-28,2000H,2000N,263.0,263.5,259.0,259.75,15788.0,80116.0,0.0179,-0.014334,-0.012368
2000-01-31,2000H,2000N,257.0,258.0,254.0,256.25,15732.0,79932.0,0.0176,-0.013566,-0.013423
2000-02-01,2000H,2000N,257.0,258.25,254.25,258.0,11253.0,79065.0,0.0174,0.006806,0.008075
2000-02-02,2000H,2000N,257.5,259.5,256.75,257.25,8826.0,78743.0,0.0165,-0.002911,-0.0035810000000000004
2000-02-03,2000H,2000N,256.0,256.0,253.0,253.75,17097.0,78615.0,0.016,-0.013699000000000001,-0.012636
2000-02-04,2000H,2000N,252.0,257.5,249.0,257.0,21253.0,77607.0,0.0183,0.012727,0.01084
2000-02-07,2000H,2000N,259.0,260.75,257.0,258.75,16267.0,74305.0,0.0178,0.006786,0.010724
2000-02-08,2000H,2000N,257.0,260.25,256.5,259.25,12147.0,72206.0,0.0173,0.0019309999999999998,-0.000889
2000-02-09,2000H,2000N,257.5,266.0,257.0,265.5,24256.0,70556.0,0.0196,0.023822,0.022868
2000-02-10,2000H,2000N,266.5,273.0,266.0,271.75,35644.0,65791.0,0.0205,0.023268,0.022357
2000-02-11,2000H,2000N,270.5,273.5,267.5,269.5,35245.0,57873.0,0.0207,-0.008314,-0.00854
2000-02-14,2000H,2000N,271.5,272.5,268.0,268.75,11860.0,56158.0,0.02,-0.002787,0.0
2000-02-15,2000H,2000N,266.0,268.75,265.0,266.0,16308.0,56032.0,0.0191,-0.010284999999999999,-0.010345
2000-02-16,2000H,2000N,266.5,268.0,263.25,265.25,21522.0,49475.0,0.0189,-0.0028239999999999997,-0.0017350000000000002
2000-02-17,2000H,2000N,265.0,265.5,262.0,262.5,10231.0,48518.0,0.0183,-0.010422,-0.010471
2000-02-18,2000H,2000N,261.5,265.0,261.0,264.75,11359.0,42707.0,0.0179,0.008535,0.008734
2000-02-22,2000H,2000N,265.25,265.5,262.0,262.25,17111.0,37086.0,0.0174,-0.009488,-0.007857
2000-02-23,2000H,2000N,259.5,259.5,254.25,254.75,18915.0,30114.0,0.0178,-0.029016000000000004,-0.027545
2000-02-24,2000K,2000N,266.5,269.5,265.5,267.25,16401.0,56657.0,0.0168,0.00281,0.005391
2000-02-25,2000K,2000N,267.0,267.0,259.0,259.25,28504.0,58799.0,0.0187,-0.030392000000000002,-0.031863999999999996
2000-02-28,2000K,2000N,257.0,261.0,255.0,256.75,33348.0,66202.0,0.0195,-0.00969,-0.010228000000000001
2000-02-29,2000K,2000N,257.0,260.5,257.0,259.0,17286.0,65385.0,0.019,0.008725,0.010228000000000001
2000-03-01,2000K,2000N,259.0,262.25,258.0,259.75,17918.0,67040.0,0.0187,0.002892,0.000925
2000-03-02,2000K,2000N,257.5,258.75,256.0,258.25,19251.0,67837.0,0.0178,-0.005792,-0.004632
2000-03-03,2000K,2000N,258.0,260.25,257.25,258.25,11322.0,67638.0,0.0169,0.0,0.0
2000-03-06,2000K,2000N,257.5,262.0,256.5,260.5,13103.0,68006.0,0.0175,0.008675,0.008322
2000-03-07,2000K,2000N,259.75,263.5,259.5,259.75,12984.0,68056.0,0.0172,-0.0028829999999999997,0.0
2000-03-08,2000K,2000N,258.5,262.5,258.5,261.75,11351.0,68192.0,0.0169,0.007670000000000001,0.00551
2000-03-09,2000K,2000N,265.0,266.5,263.0,263.25,13472.0,67678.0,0.017,0.005714,0.00639
2000-03-10,2000K,2000N,263.25,265.0,259.5,260.0,9702.0,67352.0,0.0176,-0.012423,-0.011899
2000-03-13,2000K,2000N,262.0,264.25,261.25,263.5,7321.0,66591.0,0.0174,0.013372,0.011899
2000-03-14,2000K,2000N,265.0,271.75,265.0,271.0,21999.0,63606.0,0.0191,0.028064999999999996,0.026931999999999998
2000-03-15,2000K,2000N,270.0,271.0,267.25,268.75,11315.0,61990.0,0.0183,-0.008337,-0.008004
2000-03-16,2000K,2000N,266.5,270.0,266.0,266.25,11832.0,61303.0,0.0179,-0.009346,-0.00987
2000-03-17,2000K,2000N,271.0,273.0,266.0,272.25,17458.0,60485.0,0.0188,0.022285,0.022292
2000-03-20,2000K,2000N,266.0,268.25,266.0,266.25,9935.0,60617.0,0.0174,-0.022285,-0.020491
2000-03-21,2000K,2000N,265.0,265.5,259.25,260.25,19323.0,59644.0,0.0183,-0.022793,-0.020000999999999998
2000-03-22,2000K,2000N,260.0,263.0,258.0,261.75,11669.0,59702.0,0.0185,0.0057469999999999995,0.005495
2000-03-23,2000K,2000N,260.0,261.0,256.0,256.25,15634.0,58750.0,0.0187,-0.021236,-0.021228
2000-03-24,2000K,2000N,256.25,258.5,252.0,252.75,19999.0,58189.0,0.0198,-0.013753,-0.012201
2000-03-27,2000K,2000N,254.5,255.75,252.75,254.5,6242.0,57017.0,0.0188,0.0069,0.0037700000000000003
2000-03-28,2000K,2000N,254.0,254.0,249.5,249.75,10127.0,57524.0,0.0188,-0.01884,-0.017078
2000-03-29,2000K,2000N,249.5,252.0,248.5,251.25,6783.0,57041.0,0.0183,0.005988,0.005725
2000-03-30,2000K,2000N,251.0,256.5,251.0,255.5,8548.0,56000.0,0.0188,0.016774,0.016982
2000-03-31,2000K,2000N,258.0,263.5,257.5,262.25,20932.0,54342.0,0.0203,0.026076,0.025856
2000-04-03,2000K,2000N,266.5,267.0,257.0,257.75,15504.0,53116.0,0.0228,-0.017308,-0.0184
2000-04-04,2000K,2000N,258.0,258.5,254.0,255.75,6492.0,51831.0,0.022000000000000002,-0.007790000000000001,-0.004653
2000-04-05,2000K,2000N,255.75,257.0,253.75,256.25,6995.0,50334.0,0.0207,0.001953,0.0
2000-04-06,2000K,2000N,253.0,256.0,252.25,253.75,7537.0,50527.0,0.0199,-0.009804,-0.008431000000000001
2000-04-07,2000N,2000U,263.5,272.0,263.0,271.0,11522.0,53235.0,0.0208,0.019563,0.017018000000000002
2000-04-10,2000N,2000U,267.5,268.0,264.5,265.0,11887.0,54917.0,0.0199,-0.022389,-0.020638
2000-04-11,2000N,2000U,264.75,267.5,263.5,264.75,13260.0,58300.0,0.0192,-0.000944,0.000906
2000-04-12,2000N,2000U,265.5,269.0,265.0,268.25,11569.0,60461.0,0.0188,0.013133,0.010811
2000-04-13,2000N,2000U,269.0,271.5,266.5,270.0,12705.0,62499.0,0.0187,0.006503,0.008032
2000-04-14,2000N,2000U,272.5,273.0,267.5,268.25,12791.0,64002.0,0.019,-0.006503,-0.008929000000000001
2000-04-17,2000N,2000U,268.5,270.75,265.25,265.5,11811.0,64276.0,0.0192,-0.010305,-0.006298
2000-04-18,2000N,2000U,265.5,266.5,262.0,264.25,18037.0,67311.0,0.0189,-0.004719,-0.006338
2000-04-19,2000N,2000U,264.0,265.5,261.5,265.25,13879.0,68184.0,0.0184,0.0037770000000000004,0.005435
2000-04-20,2000N,2000U,263.0,264.5,259.5,263.0,15643.0,68823.0,0.0186,-0.008519,-0.006343
2000-04-24,2000N,2000U,263.0,265.0,261.0,263.0,10890.0,70231.0,0.0182,0.0,0.0
2000-04-25,2000N,2000U,264.0,265.75,263.0,265.0,13784.0,70874.0,0.0171,0.007576,0.006343
2000-04-26,2000N,2000U,268.0,268.5,260.5,261.0,25494.0,74730.0,0.0189,-0.015209,-0.014559
2000-04-27,2000N,2000U,259.0,259.5,253.0,254.0,40841.0,83072.0,0.0199,-0.027186000000000002,-0.02412
2000-04-28,2000N,2000U,253.5,256.25,253.5,254.75,18382.0,83494.0,0.0187,0.002948,0.0009390000000000001
2000-05-01,2000N,2000U,258.0,266.5,257.0,264.75,35580.0,81804.0,0.0223,0.038502999999999996,0.036837
2000-05-02,2000N,2000U,264.75,268.5,264.0,265.75,24585.0,81648.0,0.0216,0.0037700000000000003,0.00361
2000-05-03,2000N,2000Z,268.0,277.5,267.5,272.0,40868.0,79509.0,0.0245,0.023246,0.021998
2000-05-04,2000N,2000Z,270.5,277.0,270.0,276.5,21203.0,77326.0,0.0244,0.016409,0.012473999999999999
2000-05-05,2000N,2000Z,275.0,275.25,270.5,272.75,14235.0,76360.0,0.0232,-0.013655,-0.011637999999999999
2000-05-08,2000N,2000Z,269.0,272.0,267.75,268.75,14059.0,76945.0,0.0221,-0.014774,-0.012620999999999999
2000-05-09,2000N,2000Z,268.5,269.5,266.5,268.5,12945.0,76444.0,0.0206,-0.0009310000000000001,0.0
2000-05-10,2000N,2000Z,271.0,275.5,271.0,275.0,16715.0,77721.0,0.0213,0.02392,0.021776
2000-05-11,2000N,2000Z,277.5,283.0,275.5,282.0,32176.0,76486.0,0.0223,0.025136000000000002,0.020501
2000-05-12,2000N,2000Z,279.5,286.0,279.0,284.25,32326.0,79157.0,0.0225,0.007947,0.007279000000000001
2000-05-15,2000N,2000Z,280.5,283.75,276.0,282.25,26939.0,80206.0,0.023,-0.007061,-0.003228
2000-05-16,2000N,2000Z,282.75,285.5,280.5,281.25,17986.0,78853.0,0.0222,-0.003549,-0.005675
2000-05-17,2000N,2000Z,279.0,281.5,276.0,277.0,20942.0,79037.0,0.0218,-0.015226,-0.01227
2000-05-18,2000N,2000Z,280.0,281.5,271.0,272.0,25168.0,76706.0,0.024,-0.018215000000000002,-0.017435
2000-05-19,2000N,2000Z,271.5,277.0,271.5,276.25,11251.0,76169.0,0.0236,0.015503999999999999,0.016612000000000002
2000-05-22,2000N,2000Z,275.0,283.5,274.25,280.25,18879.0,76677.0,0.0249,0.014376,0.013093
2000-05-23,2000N,2000Z,281.5,284.5,280.0,281.25,18028.0,76284.0,0.0238,0.0035619999999999996,0.001625
2000-05-24,2000N,2000Z,280.0,281.25,278.25,279.5,10733.0,76072.0,0.022000000000000002,-0.006242,-0.005698
2000-05-25,2000N,2000Z,280.5,282.0,276.0,279.5,18671.0,77421.0,0.0218,0.0,0.0016309999999999999
2000-05-26,2000N,2000Z,280.0,281.5,278.5,280.75,12319.0,75664.0,0.0203,0.004462,0.004878
2000-05-30,2000N,2000Z,275.5,277.5,272.5,274.25,20237.0,73137.0,0.02,-0.023424,-0.021312
2000-05-31,2000N,2000Z,275.75,276.5,274.25,274.75,12339.0,70476.0,0.0185,0.0018210000000000001,0.0
2000-06-01,2000N,2000Z,277.0,278.0,270.0,270.5,21870.0,71094.0,0.02,-0.015588999999999999,-0.013345
2000-06-02,2000N,2000Z,270.5,272.0,267.25,271.25,20755.0,68779.0,0.0198,0.002769,0.00586
2000-06-05,2000N,2000Z,269.5,270.25,264.0,266.0,24524.0,67361.0,0.0204,-0.019545,-0.020237
2000-06-06,2000N,2000Z,266.5,268.0,263.0,267.0,16650.0,66650.0,0.0202,0.003752,0.005098
2000-06-07,2000N,2000Z,265.0,265.5,260.0,264.25,23060.0,65375.0,0.0204,-0.010353,-0.0076560000000000005
2000-06-08,2000N,2000Z,265.5,268.0,263.5,266.5,14157.0,63131.0,0.02,0.008479,0.00596
2000-06-09,2000N,2000Z,265.5,271.75,265.5,269.75,23616.0,59522.0,0.0205,0.012121,0.011814
2000-06-12,2000N,2000Z,266.0,267.5,264.5,265.75,17050.0,56729.0,0.0192,-0.01494,-0.013513999999999998
2000-06-13,2000N,2000Z,266.5,268.25,264.25,264.75,16902.0,53475.0,0.0187,-0.0037700000000000003,-0.002554
2000-06-14,2000N,2000Z,262.0,264.75,260.5,261.25,18473.0,52692.0,0.0184,-0.013308,-0.01287
2000-06-15,2000N,2000Z,261.75,264.75,260.5,262.75,15819.0,50071.0,0.0181,0.005725,0.005168
2000-06-16,2000N,2000Z,265.5,265.5,262.5,263.0,11230.0,47434.0,0.0173,0.000951,0.002574
2000-06-19,2000N,2000Z,263.5,269.5,261.5,268.75,12836.0,45299.0,0.019,0.021628,0.017835
2000-06-20,2000N,2000Z,267.0,276.0,266.5,273.75,26083.0,42397.0,0.0211,0.018434,0.016694999999999998
2000-06-21,2000N,2000Z,273.0,279.75,273.0,277.0,19585.0,40645.0,0.0214,0.011802,0.011523
2000-06-22,2000N,2000Z,278.0,281.0,275.0,277.5,15007.0,36282.0,0.0213,0.0018030000000000001,0.0024519999999999998
2000-06-23,2000N,2000Z,277.0,277.25,272.0,272.25,14145.0,31926.0,0.0209,-0.0191,-0.014803
2000-06-26,2000N,2000Z,272.0,276.75,271.25,274.0,10943.0,25375.0,0.0207,0.0064069999999999995,0.004959000000000001
2000-06-27,2000N,2000Z,275.0,277.0,273.0,273.75,11154.0,20940.0,0.0199,-0.0009130000000000001,-0.003303
2000-06-28,2000U,2000Z,284.0,287.0,282.0,284.25,13253.0,54709.0,0.0185,-0.003512,-0.003314
